run,trades,return,return_delta_pctpt,sharpe,sharpe_delta,maxdd,maxdd_delta_pctpt,pf,pf_delta
VN30_2022_baseline_family,235,0.6534199499250093,0.0,0.8799849209895064,0.0,-0.1472970906266835,0.0,1.78050176766809,0.0
VN30_2022_static_setup_aware_family,232,0.4572878608750088,-19.61320890500005,0.6668188019314313,-0.21316611905807514,-0.1406286949113907,0.6668395715292791,1.5509064543503783,-0.22959531331771177
VN30_2022_adaptive_loose_family,237,0.7650550109700098,11.163506104500055,0.9637181568657764,0.08373323587627002,-0.1497829699564205,-0.2485879329736984,1.7872699017913565,0.006768134123266378
VN30_2022_adaptive_quality_family,217,0.2173538026150063,-43.6066147310003,0.4198745632219017,-0.4601103577676047,-0.2124895206373496,-6.51924300106661,1.6781774444475888,-0.10232432322050133
VN30_2022_adaptive_pullback_family,212,0.4694113721050095,-18.40085778199998,0.6892850921827575,-0.19069982880674896,-0.1700412894871806,-2.274419886049711,1.6997747485414385,-0.08072701912665159
VN30_2022_adaptive_no_breakout_family,216,0.3809494279500087,-27.24705219750006,0.5894365431571725,-0.2905483778323339,-0.1578790247723699,-1.0581934145686396,1.6253450484009244,-0.15515671926716568
VN30_2022_baseline_router,241,0.5091051657350085,0.0,0.7380902753086577,0.0,-0.1690894630902896,0.0,1.5882918215218125,0.0
VN30_2022_static_setup_aware_router,220,0.691790912815009,18.268574708000052,0.8841355928939512,0.1460453175852935,-0.1854898696953232,-1.6400406605033586,1.6673299912558217,0.07903816973400923
VN30_2022_adaptive_loose_router,227,0.6019904923850092,9.288532665000071,0.824260008282962,0.0861697329743043,-0.1774126588943141,-0.8323195804024491,1.6774705437142623,0.08917872219244982
VN30_2022_adaptive_quality_router,205,0.1630005960500062,-34.61045696850024,0.3346690214006535,-0.40342125390800415,-0.2361000366736599,-6.701057358337029,1.5915256964570197,0.003233874935207215
VN30_2022_adaptive_pullback_router,215,0.3788417172400062,-13.026344849500232,0.6086383163607559,-0.12945195894790174,-0.2076023996680324,-3.8512936577742796,1.69469127184404,0.10639945032222742
VN30_2022_adaptive_no_breakout_router,209,0.418880004575008,-9.022516116000052,0.6280401091529978,-0.11005016615565988,-0.1999258316032648,-3.0836368512975194,1.693876239670927,0.10558441814911457
VN100_2025_baseline_family,133,0.5292041986900045,0.0,2.09887317918347,0.0,-0.1078069718918046,0.0,2.319649938105925,0.0
VN100_2025_static_setup_aware_family,128,0.4888346443750042,-4.036955431500028,2.054260916737752,-0.04461226244571792,-0.1117872558059155,-0.3980283914110899,2.00802447619143,-0.3116254619144949
VN100_2025_adaptive_loose_family,125,0.5239442702350043,-0.5259928455000118,2.0184908362360527,-0.0803823429474173,-0.1651939280512536,-5.7386956159449,2.2363807960186755,-0.08326914208724956
VN100_2025_adaptive_quality_family,128,0.4891687595500043,-4.003543914000018,1.9325819359350005,-0.16629124324846956,-0.1511024335693959,-4.32954616775913,2.085144912722214,-0.2345050253837111
VN100_2025_adaptive_pullback_family,131,0.4634205014950046,-6.578369719499988,1.8618237547037584,-0.23704942447971167,-0.1753255914938706,-6.751861960206599,1.8320643597791004,-0.4875855783268246
VN100_2025_adaptive_no_breakout_family,129,0.5440854178300054,1.4881219140000956,2.2096985977475776,0.11082541856410755,-0.0943130731060198,1.3493898785784801,2.30763258836527,-0.012017349740654826
VN100_2025_baseline_router,129,0.4348763111750044,0.0,1.8332126966171105,0.0,-0.1160463022648659,0.0,2.21383276224275,0.0
VN100_2025_static_setup_aware_router,130,0.4022196573050041,-3.265665387000033,1.729101233442634,-0.10411146317447662,-0.1318686492074438,-1.5822346942577892,1.778925682812182,-0.43490707943056783
VN100_2025_adaptive_loose_router,123,0.4575434881950038,2.266717701999937,1.8156878511230763,-0.017524845494034214,-0.1612324261023845,-4.518612383751861,2.025993159074796,-0.18783960316795367
VN100_2025_adaptive_quality_router,122,0.4519518065150039,1.707549533999947,1.8286139428353696,-0.004598753781740905,-0.1452357028948621,-2.91894006299962,1.9608433926914093,-0.25298936955134055
VN100_2025_adaptive_pullback_router,130,0.4899264204300044,5.505010925499998,1.9322175954521064,0.09900489883499586,-0.1753255914938706,-5.927928922900469,1.7547170921826878,-0.45911567006006204
VN100_2025_adaptive_no_breakout_router,129,0.679809582870005,24.493327169500063,2.598973832643037,0.7657611360259267,-0.0943130731060198,2.1733229158846097,2.4871178973829013,0.2732851351401515
