run,run_label,trades,return,return_delta_pctpt,sharpe,sharpe_delta,maxdd,maxdd_delta_pctpt,pf,pf_delta
VN30_2022_baseline_family,VN30 2022 | Family | No Kalman - Baseline,235,0.6534199499250093,0.0,0.8799849209895064,0.0,-0.1472970906266835,0.0,1.78050176766809,0.0
VN30_2022_static_setup_aware_family,VN30 2022 | Family | Static Kalman Gate - Setup Aware,232,0.4572878608750088,-19.61320890500005,0.6668188019314313,-0.2131661190580751,-0.1406286949113907,0.6668395715292791,1.5509064543503783,-0.2295953133177117
VN30_2022_adaptive_loose_family,VN30 2022 | Family | Adaptive Kalman Gate - Loose,237,0.7650550109700098,11.163506104500057,0.9637181568657764,0.08373323587627,-0.1497829699564205,-0.2485879329736984,1.7872699017913565,0.0067681341232663
VN30_2022_adaptive_quality_family,VN30 2022 | Family | Adaptive Kalman Gate - Quality/Shock,217,0.2173538026150063,-43.6066147310003,0.4198745632219017,-0.4601103577676047,-0.2124895206373496,-6.51924300106661,1.6781774444475888,-0.1023243232205013
VN30_2022_adaptive_pullback_family,VN30 2022 | Family | Adaptive Kalman Gate - All MVP Setups,212,0.4694113721050095,-18.40085778199998,0.6892850921827575,-0.1906998288067489,-0.1700412894871806,-2.274419886049711,1.6997747485414385,-0.0807270191266515
VN30_2022_adaptive_no_breakout_family,VN30 2022 | Family | Adaptive Kalman Gate - Pullback Only,216,0.3809494279500087,-27.24705219750006,0.5894365431571725,-0.2905483778323339,-0.1578790247723699,-1.0581934145686396,1.6253450484009244,-0.1551567192671656
VN30_2022_baseline_router,VN30 2022 | Router | No Kalman - Baseline,241,0.5091051657350085,0.0,0.7380902753086577,0.0,-0.1690894630902896,0.0,1.5882918215218125,0.0
VN30_2022_static_setup_aware_router,VN30 2022 | Router | Static Kalman Gate - Setup Aware,220,0.691790912815009,18.26857470800005,0.8841355928939512,0.1460453175852935,-0.1854898696953232,-1.6400406605033586,1.6673299912558217,0.0790381697340092
VN30_2022_adaptive_loose_router,VN30 2022 | Router | Adaptive Kalman Gate - Loose,227,0.6019904923850092,9.288532665000073,0.824260008282962,0.0861697329743043,-0.1774126588943141,-0.8323195804024491,1.6774705437142623,0.0891787221924498
VN30_2022_adaptive_quality_router,VN30 2022 | Router | Adaptive Kalman Gate - Quality/Shock,205,0.1630005960500062,-34.61045696850024,0.3346690214006535,-0.4034212539080041,-0.2361000366736599,-6.701057358337029,1.5915256964570197,0.0032338749352072
VN30_2022_adaptive_pullback_router,VN30 2022 | Router | Adaptive Kalman Gate - All MVP Setups,215,0.3788417172400062,-13.026344849500232,0.6086383163607559,-0.1294519589479017,-0.2076023996680324,-3.85129365777428,1.69469127184404,0.1063994503222274
VN30_2022_adaptive_no_breakout_router,VN30 2022 | Router | Adaptive Kalman Gate - Pullback Only,209,0.418880004575008,-9.022516116000052,0.6280401091529978,-0.1100501661556598,-0.1999258316032648,-3.0836368512975194,1.693876239670927,0.1055844181491145
VN100_2025_baseline_family,VN100 2025 | Family | No Kalman - Baseline,133,0.5292041986900045,0.0,2.09887317918347,0.0,-0.1078069718918046,0.0,2.319649938105925,0.0
VN100_2025_static_setup_aware_family,VN100 2025 | Family | Static Kalman Gate - Setup Aware,128,0.4888346443750042,-4.036955431500028,2.054260916737752,-0.0446122624457179,-0.1117872558059155,-0.3980283914110899,2.00802447619143,-0.3116254619144949
VN100_2025_adaptive_loose_family,VN100 2025 | Family | Adaptive Kalman Gate - Loose,125,0.5239442702350043,-0.5259928455000118,2.0184908362360527,-0.0803823429474173,-0.1651939280512536,-5.7386956159449,2.2363807960186755,-0.0832691420872495
VN100_2025_adaptive_quality_family,VN100 2025 | Family | Adaptive Kalman Gate - Quality/Shock,128,0.4891687595500043,-4.003543914000018,1.9325819359350005,-0.1662912432484695,-0.1511024335693959,-4.32954616775913,2.085144912722214,-0.2345050253837111
VN100_2025_adaptive_pullback_family,VN100 2025 | Family | Adaptive Kalman Gate - All MVP Setups,131,0.4634205014950046,-6.578369719499988,1.8618237547037584,-0.2370494244797116,-0.1753255914938706,-6.751861960206599,1.8320643597791004,-0.4875855783268246
VN100_2025_adaptive_no_breakout_family,VN100 2025 | Family | Adaptive Kalman Gate - Pullback Only,129,0.5440854178300054,1.4881219140000956,2.2096985977475776,0.1108254185641075,-0.0943130731060198,1.34938987857848,2.30763258836527,-0.0120173497406548
VN100_2025_baseline_router,VN100 2025 | Router | No Kalman - Baseline,129,0.4348763111750044,0.0,1.8332126966171105,0.0,-0.1160463022648659,0.0,2.21383276224275,0.0
