hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,run
mean_reversion_uptrend_ma50_v1,GAS,2022-05-30,2022-06-13,74.94745499999999,77.08144000000001,100,7494.745499999999,7692.727712000001,197.9822120000017,2.641613541113594,TRAILING_ATR_STOP,10,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VRE,2022-05-30,2022-06-14,29.814899999999998,27.136425,400,11925.96,10832.860859999999,-1093.0991400000003,-9.165711942686377,STOP_LOSS,11,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,HDB,2022-05-30,2022-06-15,10.635315,10.184905,1300,13825.9095,13213.895747,-612.0137529999993,-4.426571380349331,STOP_LOSS,12,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,ACB,2022-05-31,2022-06-15,14.867429999999999,14.322835000000001,2700,40142.060999999994,38594.311191,-1547.7498089999935,-3.8556809751248045,STOP_LOSS,11,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VIC,2022-05-30,2022-06-23,39.0195,37.031475,300,11705.85,11087.223615,-618.6263849999996,-5.2847626186906504,ATR_STOP,18,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VHM,2022-05-30,2022-06-30,68.044005,63.26835,200,13608.801,12628.36266,-980.4383399999988,-7.204443212888475,STOP_LOSS,23,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,BID,2022-07-25,2022-09-08,25.752869999999998,27.466260000000002,1100,28328.157,30152.460228000004,1824.3032280000043,6.439893806010763,TRAILING_ATR_STOP,31,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,CTG,2022-07-14,2022-09-19,16.278135,15.912040000000001,4000,65112.53999999999,63520.86368,-1591.6763199999914,-2.4445004295639388,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,VIC,2022-12-01,2022-12-12,34.71735,33.88305,100,3471.735,3381.52839,-90.20661000000018,-2.5983149635556915,STOP_LOSS,7,VN30_2022_baseline_family
breakout_after_accumulation_v3,VRE,2022-11-29,2022-12-16,29.31465,27.5862,1000,29314.65,27531.0276,-1783.6224000000002,-6.0844062610333065,STOP_LOSS,13,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,GAS,2022-11-29,2022-12-22,77.19857999999999,72.30383,400,30879.431999999997,28863.688936000002,-2015.7430639999948,-6.527785433358991,STOP_LOSS,17,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,PLX,2022-12-21,2023-01-10,26.913449999999997,32.093945,1100,29604.795,35232.732821,5627.9378209999995,19.0102239214965,TAKE_PROFIT,13,VN30_2022_baseline_family
breakout_after_accumulation_v3,VCB,2023-01-10,2023-01-19,48.494234999999996,50.29484,100,4849.4235,5019.425032,170.00153200000022,3.50560292372898,TRAILING_ATR_STOP,7,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VNM,2023-01-10,2023-02-02,67.903935,64.897535,100,6790.3935,6476.773993000001,-313.61950699999943,-4.61857633140111,ATR_STOP,12,VN30_2022_baseline_family
compression_breakout_smt_v1,SSB,2023-01-19,2023-02-03,24.83241,24.397795000000002,500,12416.205,12174.499705,-241.70529499999975,-1.9466922058712768,ATR_STOP,6,VN30_2022_baseline_family
breakout_after_accumulation_v3,HDB,2023-02-02,2023-02-03,9.68484,9.41529,800,7747.871999999999,7517.167536000001,-230.70446399999855,-2.977649398441257,ATR_STOP,1,VN30_2022_baseline_family
breakout_after_accumulation_v3,CTG,2022-11-29,2023-02-08,16.578285,17.951020000000003,1900,31498.741500000004,34038.72412400001,2539.982624000004,8.063759067961504,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,MWG,2023-02-03,2023-02-08,46.563269999999996,44.247865000000004,200,9312.653999999999,8831.873854,-480.78014599999915,-5.162654448452602,ATR_STOP,3,VN30_2022_baseline_family
compression_breakout_smt_v1,VJC,2023-01-04,2023-02-09,112.55624999999999,107.64615,100,11255.625,10743.08577,-512.5392300000003,-4.5536274529402,STOP_LOSS,21,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,TPB,2023-01-05,2023-02-13,10.275134999999999,10.97451,300,3082.5404999999996,3285.768294,203.22779400000036,6.59286695503272,TRAILING_ATR_STOP,22,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,MWG,2023-02-08,2023-02-13,44.292135,40.75961,300,13287.640500000001,12203.427234,-1084.2132660000007,-8.159562008017906,STOP_LOSS,3,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VRE,2023-02-03,2023-02-23,28.864425,28.285850000000003,300,8659.3275,8468.783490000002,-190.5440099999978,-2.20044812948809,STOP_LOSS,14,VN30_2022_baseline_family
compression_breakout_smt_v1,HDB,2023-02-22,2023-02-23,9.624809999999998,9.345325,700,6737.366999999998,6528.644045000001,-208.72295499999746,-3.0979899862957962,ATR_STOP,1,VN30_2022_baseline_family
compression_breakout_smt_v1,BVH,2023-02-21,2023-02-24,48.134055,46.586695,300,14440.216499999999,13948.056483,-492.16001699999833,-3.4082592667499023,ATR_STOP,3,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,GAS,2023-02-21,2023-02-27,74.79738,73.32332000000001,100,7479.738,7317.667336000001,-162.07066399999894,-2.1667960027476756,ATR_STOP,4,VN30_2022_baseline_family
compression_breakout_smt_v1,BCM,2023-01-10,2023-02-28,78.35915999999999,80.19988,100,7835.915999999999,8003.948023999999,168.0320240000001,2.144382660559405,MAX_HOLDING,30,VN30_2022_baseline_family
compression_breakout_smt_v1,BID,2023-03-10,2023-03-14,34.43721,33.42328,500,17218.605,16678.21672,-540.3882799999992,-3.1383975647272195,ATR_STOP,2,VN30_2022_baseline_family
breakout_after_accumulation_v3,FPT,2023-01-04,2023-03-15,50.275124999999996,49.165405,300,15082.537499999999,14720.122256999999,-362.41524299999946,-2.402879774043323,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,SSB,2023-03-09,2023-03-20,23.841914999999997,23.598195,100,2384.1914999999995,2355.099861,-29.091638999999304,-1.2201888564739582,ATR_STOP,7,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,SAB,2023-01-10,2023-03-21,72.86641499999999,76.951505,100,7286.641499999999,7679.760198999999,393.11869900000056,5.395060248263904,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,BVH,2023-03-10,2023-04-18,46.073024999999994,44.907535,300,13821.907499999998,13445.315979,-376.59152099999665,-2.7245987646784404,ATR_STOP,27,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,VPB,2023-03-09,2023-04-19,16.008,18.01099,200,3201.6,3594.993604,393.39360399999987,12.287406421789102,TRAILING_ATR_STOP,29,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,SSI,2023-02-17,2023-04-21,12.98649,14.262865,2200,28570.278,31315.546394,2745.2683940000024,9.608826326436175,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,BID,2023-03-28,2023-04-24,33.73686,32.033975,100,3373.686,3196.990705,-176.695295,-5.237455264064289,ATR_STOP,19,VN30_2022_baseline_family
compression_breakout_smt_v1,CTG,2023-03-16,2023-04-27,17.8089,17.43128,1000,17808.9,17396.41744,-412.4825600000004,-2.3161596729725042,MAX_HOLDING,30,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,ACB,2023-03-09,2023-05-16,14.66733,14.65267,200,2933.466,2924.672932,-8.793067999999948,-0.2997501249375295,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,POW,2023-03-16,2023-05-23,11.08554,11.314340000000001,1600,17736.864,18066.738112000003,329.87411200000133,1.859822074522313,MAX_HOLDING,45,VN30_2022_baseline_family
mean_reversion_uptrend_ma50_v1,HDB,2023-03-28,2023-06-02,9.274634999999998,10.03498,600,5564.780999999999,6008.946023999999,444.1650239999999,7.98171615378934,MAX_HOLDING,45,VN30_2022_baseline_family
breakout_after_accumulation_v3,TPB,2023-05-16,2023-06-05,12.366179999999998,14.212890000000002,100,1236.6179999999997,1418.4464220000002,181.8284220000005,14.703685535872884,TRAILING_ATR_STOP,14,VN30_2022_baseline_family
breakout_after_accumulation_v3,GVR,2023-06-02,2023-06-09,18.199095,17.31134,300,5459.7285,5183.015196,-276.7133039999999,-5.068261251452336,ATR_STOP,5,VN30_2022_baseline_family
breakout_after_accumulation_v3,MWG,2023-06-13,2023-06-16,42.07102499999999,40.61968,100,4207.102499999999,4053.8440640000003,-153.2584359999987,-3.642850061295125,ATR_STOP,3,VN30_2022_baseline_family
