symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
HPG,MONEY_IN,2024-02-15,2024-02-16,21.78,21.0,23.0,2024-03-08,23.0,TSL,5.6,15,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
HPG,MONEY_IN,2024-05-07,2024-05-08,22.84,22.0,24.0,2024-05-22,24.0,DIST_EXIT,5.25,10,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
HPG,MONEY_IN,2024-05-23,2024-05-24,24.42,24.0,25.0,2024-05-24,24.0,SL,-1.72,0,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
HPG,BREAKOUT_FLOW,2024-10-09,2024-10-10,23.0,22.0,24.0,2024-10-23,22.0,SL,-4.35,9,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
HPG,MONEY_IN,2024-12-05,2024-12-06,23.21,23.0,24.0,2024-12-06,23.0,SL,-0.9,0,regime=MONEY_IN | score=5 | mkt=SIDEWAY | money_in
HPG,MONEY_IN,2025-02-11,2025-02-12,21.83,21.0,23.0,2025-03-04,23.0,REVERSAL_DOUBLE_TOP,6.32,14,regime=MONEY_IN | score=3 | mkt=SIDEWAY | money_in
HPG,BREAKOUT_FLOW,2025-07-08,2025-07-09,24.8,24.0,26.0,2025-07-17,26.0,DIST_EXIT,4.84,6,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
HPG,BREAKOUT_FLOW,2025-08-07,2025-08-08,28.6,27.0,31.0,2025-08-08,28.0,DIST_EXIT,-1.57,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
HPG,MONEY_IN,2025-09-04,2025-09-05,30.0,29.0,32.0,2025-09-05,29.0,SL,-3.33,0,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
HPG,MONEY_IN,2026-01-12,2026-01-13,27.75,27.0,29.0,2026-01-13,27.0,SL,-2.7,0,regime=MONEY_IN | score=3 | mkt=UPTREND | money_in
HPG,BREAKOUT_FLOW,2026-02-04,2026-02-05,28.3,27.0,30.0,2026-02-06,27.0,SL,-4.59,1,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
HPG,MONEY_IN,2026-02-24,2026-02-25,28.4,27.0,30.0,2026-03-02,29.0,DIST_EXIT,1.41,3,regime=MONEY_IN | score=5 | mkt=UPTREND | money_in
HPG,BREAKOUT_FLOW,2026-04-08,2026-04-09,27.9,27.0,29.0,2026-04-14,29.0,DIST_EXIT,2.87,3,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
