symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
VCB,EARLY_MONEY_IN,2024-03-13,2024-03-14,63.75,61.0,68.0,2024-04-15,62.0,DIST_EXIT,-2.29,22,0.0,regime=EARLY_MONEY_IN | score=5 | mkt=UPTREND | money_in
VCB,EARLY_MONEY_IN,2024-08-20,2024-08-21,60.3,59.0,62.0,2024-09-11,59.0,SL,-2.42,13,0.0,regime=EARLY_MONEY_IN | score=6 | mkt=SIDEWAY | money_in
VCB,MONEY_IN,2024-09-25,2024-09-26,61.69,60.0,64.0,2024-10-09,61.0,DIST_EXIT,-0.65,9,0.0,regime=MONEY_IN | score=3 | mkt=UPTREND | money_in
VCB,EARLY_MONEY_IN,2025-02-07,2025-02-10,61.69,60.0,64.0,2025-02-10,61.0,DIST_EXIT,-0.75,0,0.0,regime=EARLY_MONEY_IN | score=3 | mkt=SIDEWAY | money_in
VCB,EARLY_MONEY_IN,2025-02-21,2025-02-24,61.96,61.0,63.0,2025-03-13,65.0,DIST_EXIT,4.87,13,0.0,regime=EARLY_MONEY_IN | score=3 | mkt=UPTREND | money_in
VCB,EARLY_MONEY_IN,2025-06-20,2025-06-23,56.33,55.0,58.0,2025-07-03,58.0,DIST_EXIT,2.13,8,0.0,regime=EARLY_MONEY_IN | score=3 | mkt=UPTREND | money_in
VCB,MONEY_IN,2025-07-09,2025-07-10,61.4,60.0,64.0,2025-07-31,60.0,SL,-2.28,15,0.0,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
VCB,BREAKOUT_FLOW,2025-08-27,2025-08-28,69.05,66.0,74.0,2025-09-08,66.0,SL,-4.42,5,0.0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
VCB,EARLY_MONEY_IN,2025-10-08,2025-10-09,64.5,63.0,67.0,2025-10-13,63.0,SL,-2.33,2,0.0,regime=EARLY_MONEY_IN | score=3 | mkt=UPTREND | money_in
VCB,BREAKOUT_FLOW,2026-01-07,2026-01-08,59.8,58.0,62.0,2026-01-15,73.0,DIST_EXIT,22.07,5,0.0,regime=BREAKOUT_FLOW | score=7 | mkt=UPTREND | breakout_flow | money_in
VCB,EARLY_MONEY_IN,2026-04-08,2026-04-09,60.0,58.0,63.0,2026-04-24,61.0,DIST_EXIT,1.33,11,0.0,regime=EARLY_MONEY_IN | score=4 | mkt=SIDEWAY | money_in
