symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
BID,BREAKOUT_FLOW,2023-01-16,2023-01-17,32.64,31.0,35.0,2023-02-01,31.0,SL,-5.02,6,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
BID,MONEY_IN,2023-05-08,2023-05-09,32.43,32.0,33.0,2023-05-23,32.0,SL,-1.33,10,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
BID,MONEY_IN,2023-06-28,2023-06-29,32.93,32.0,34.0,2023-06-30,32.0,SL,-2.82,1,regime=MONEY_IN | score=3 | mkt=UPTREND | money_in
BID,BREAKOUT_FLOW,2023-07-10,2023-07-11,34.23,33.0,36.0,2023-07-11,34.0,DIST_EXIT,-0.53,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
BID,BREAKOUT_FLOW,2023-11-15,2023-11-16,32.09,31.0,34.0,2023-11-17,31.0,SL,-3.4,1,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
BID,BREAKOUT_FLOW,2023-12-08,2023-12-11,34.33,33.0,36.0,2023-12-11,34.0,DIST_EXIT,-1.19,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
BID,MONEY_IN,2024-01-08,2024-01-09,38.41,37.0,41.0,2024-01-09,38.0,DIST_EXIT,-2.0,0,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
BID,BREAKOUT_FLOW,2024-01-10,2024-01-11,38.58,37.0,41.0,2024-01-11,38.0,DIST_EXIT,-2.77,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
BID,BREAKOUT_FLOW,2024-01-19,2024-01-22,40.83,39.0,44.0,2024-01-31,39.0,SL,-4.48,7,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
BID,MONEY_IN,2024-02-23,2024-02-26,43.16,42.0,45.0,2024-03-08,42.0,SL,-2.69,9,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
BID,MONEY_IN,2024-03-20,2024-03-21,43.49,41.0,47.0,2024-03-22,44.0,DIST_EXIT,1.86,1,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
BID,MONEY_IN,2024-07-03,2024-07-04,38.41,37.0,41.0,2024-07-05,39.0,DIST_EXIT,1.2,1,regime=MONEY_IN | score=3 | mkt=UPTREND | money_in
BID,BREAKOUT_FLOW,2024-08-20,2024-08-21,40.42,39.0,43.0,2024-09-17,39.0,SL,-3.51,17,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
BID,MONEY_IN,2025-02-07,2025-02-10,40.05,39.0,42.0,2025-03-24,39.0,SL,-2.62,30,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
