symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
CEO,PV_PULLBACK,2021-01-12,2021-01-13,8.21,8.0,9.0,2021-01-13,8.0,SL,-2.56,0,35.0,pv_signal=constructive_pullback | pv_score=35 | pv_bias=bullish | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2021-01-13,2021-01-14,8.08,8.0,8.0,2021-01-14,8.0,SL,-0.99,0,35.0,pv_signal=constructive_pullback | pv_score=35 | pv_bias=bullish | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2021-01-14,2021-01-15,8.13,8.0,8.0,2021-01-15,8.0,SL,-1.6,0,35.0,pv_signal=constructive_pullback | pv_score=35 | pv_bias=bullish | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2021-01-15,2021-01-18,8.28,8.0,9.0,2021-01-19,8.0,SL,-3.38,1,35.0,"pv_signal=constructive_pullback | pv_score=35 | pv_bias=bullish | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_BULL_EXPANSION,2021-02-18,2021-02-19,7.32,7.0,8.0,2021-02-26,7.0,SL,-4.37,5,15.0,pv_signal=bullish_volume_expansion | pv_score=15 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
CEO,PV_BULL_EXPANSION,2021-03-03,2021-03-04,7.67,7.0,9.0,2021-03-26,8.0,TSL,4.3,16,15.0,pv_signal=bullish_volume_expansion | pv_score=15 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
CEO,PV_PULLBACK,2021-03-29,2021-03-30,8.34,8.0,9.0,2021-04-16,8.0,SL,-4.08,13,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2021-05-25,2021-05-26,6.57,6.0,7.0,2021-07-01,7.0,REVERSAL_MA20_BREAK,3.2,26,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2021-07-28,2021-07-29,5.77,5.0,7.0,2021-08-20,6.0,REVERSAL_DOUBLE_TOP,3.47,16,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2021-08-27,2021-08-30,6.1,6.0,6.0,2021-08-30,6.0,SL,-1.64,0,25.0,"pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_PULLBACK,2021-08-30,2021-08-31,6.1,6.0,6.0,2021-10-21,7.0,REVERSAL_DOUBLE_TOP,19.02,35,45.0,"pv_signal=constructive_pullback | pv_score=45 | pv_bias=bullish | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_PULLBACK,2021-10-21,2021-10-22,7.39,7.0,8.0,2022-01-18,39.0,REVERSAL_TREND_BREAK,428.69,61,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2022-02-28,2022-03-01,44.55,42.0,48.0,2022-03-31,43.0,REVERSAL_MA20_BREAK,-2.58,22,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_WASHOUT,2022-04-26,2022-04-27,27.06,26.0,29.0,2022-04-27,26.0,SL,-3.92,0,30.0,"pv_signal=washout | pv_score=30 | pv_bias=neutral | pv_tags=WASHOUT_REVERSAL,BULLISH_VOLUME_EXPANSION"
CEO,PV_PULLBACK,2022-06-09,2022-06-10,26.99,26.0,28.0,2022-06-10,26.0,SL,-3.67,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_ABSORPTION,2022-07-15,2022-07-18,20.89,20.0,22.0,2022-07-18,20.0,SL,-4.26,0,25.0,pv_signal=absorption_signal | pv_score=25 | pv_bias=neutral | pv_tags=ABSORPTION
CEO,PV_BREAKOUT,2022-07-20,2022-07-21,21.97,21.0,23.0,2022-07-22,21.0,SL,-4.42,1,45.0,"pv_signal=breakout_confirmed | pv_score=45 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
CEO,PV_PULLBACK,2022-07-26,2022-07-27,20.21,19.0,22.0,2022-08-31,21.0,REVERSAL_MA20_BREAK,6.04,25,5.0,pv_signal=constructive_pullback | pv_score=5 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_BULL_EXPANSION,2022-11-18,2022-11-21,7.46,7.0,8.0,2022-12-27,11.0,REVERSAL_TREND_BREAK,51.88,26,20.0,pv_signal=bullish_volume_expansion | pv_score=20 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
CEO,PV_PULLBACK,2023-01-05,2023-01-06,14.24,14.0,15.0,2023-01-06,14.0,SL,-1.69,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2023-01-10,2023-01-11,13.7,13.0,15.0,2023-02-14,13.0,REVERSAL_TREND_BREAK,-2.48,19,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2023-02-15,2023-02-16,14.45,14.0,15.0,2023-02-23,14.0,SL,-3.11,5,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2023-03-06,2023-03-07,14.24,14.0,15.0,2023-03-07,14.0,SL,-1.69,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2023-03-07,2023-03-08,13.7,13.0,15.0,2023-03-09,13.0,SL,-6.42,1,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
