symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
VCB,PV_PULLBACK,2021-01-04,2021-01-05,43.12,42.0,45.0,2021-01-19,44.0,TSL,2.04,10,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2021-01-25,2021-01-26,44.63,42.0,49.0,2021-01-27,42.0,SL,-5.89,1,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2021-02-04,2021-02-05,43.07,41.0,46.0,2021-02-08,41.0,SL,-4.81,1,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_BULL_EXPANSION,2021-02-09,2021-02-17,42.46,40.0,46.0,2021-05-10,43.0,REVERSAL_MA20_BREAK,0.64,55,30.0,pv_signal=bullish_volume_expansion | pv_score=30 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
VCB,PV_PULLBACK,2021-05-12,2021-05-13,42.33,40.0,46.0,2021-07-12,46.0,TSL,8.67,42,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2021-08-03,2021-08-04,43.18,41.0,46.0,2021-10-20,41.0,SL,-5.05,53,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2021-11-02,2021-11-03,42.53,42.0,43.0,2021-12-06,42.0,SL,-1.25,23,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2021-12-07,2021-12-08,42.66,41.0,45.0,2022-02-25,48.0,REVERSAL_MA20_BREAK,12.17,51,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2022-03-03,2022-03-04,47.9,46.0,51.0,2022-03-08,46.0,SL,-3.97,2,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2022-03-10,2022-03-11,47.06,46.0,49.0,2022-03-15,46.0,SL,-2.25,2,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2022-03-16,2022-03-17,46.67,45.0,49.0,2022-04-18,45.0,SL,-3.62,21,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_BULL_EXPANSION,2022-04-22,2022-04-25,46.22,45.0,48.0,2022-04-25,45.0,SL,-2.64,0,15.0,pv_signal=bullish_volume_expansion | pv_score=15 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
VCB,PV_PULLBACK,2022-04-28,2022-04-29,45.77,44.0,48.0,2022-05-09,44.0,SL,-3.87,4,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2022-05-25,2022-05-26,43.29,41.0,47.0,2022-06-13,42.0,TSL,-2.98,12,20.0,"pv_signal=constructive_pullback | pv_score=20 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
VCB,PV_PULLBACK,2022-06-23,2022-06-24,42.85,41.0,46.0,2022-07-01,41.0,SL,-4.32,5,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2022-07-08,2022-07-11,41.22,39.0,45.0,2022-09-08,44.0,TSL,6.74,41,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2022-09-12,2022-09-13,44.64,43.0,47.0,2022-09-23,43.0,SL,-3.67,8,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2022-10-24,2022-10-25,37.11,35.0,40.0,2023-02-09,52.0,REVERSAL_DOUBLE_TOP,40.93,72,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-02-09,2023-02-10,53.14,50.0,58.0,2023-03-20,50.0,SL,-5.91,26,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-03-23,2023-03-24,51.17,49.0,54.0,2023-04-24,49.0,SL,-4.24,21,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-05-05,2023-05-08,50.61,50.0,52.0,2023-07-24,59.0,REVERSAL_DOUBLE_TOP,16.2,55,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-08-03,2023-08-04,60.23,59.0,62.0,2023-08-10,59.0,SL,-2.04,4,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-09-14,2023-09-15,59.03,58.0,61.0,2023-09-19,58.0,SL,-1.74,2,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-09-19,2023-09-20,58.5,57.0,61.0,2023-10-03,57.0,SL,-2.56,9,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-10-03,2023-10-04,57.31,56.0,59.0,2023-10-06,56.0,SL,-2.29,2,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-10-06,2023-10-09,56.71,55.0,59.0,2023-10-20,55.0,SL,-3.02,9,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-10-20,2023-10-23,56.11,55.0,58.0,2023-10-23,55.0,SL,-1.98,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-10-25,2023-10-26,56.45,55.0,59.0,2023-11-13,57.0,TSL,0.97,12,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2023-11-13,2023-11-14,57.11,55.0,60.0,2023-12-15,55.0,SL,-3.69,23,5.0,pv_signal=constructive_pullback | pv_score=5 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2024-01-23,2024-01-24,60.83,59.0,64.0,2024-01-31,59.0,SL,-3.01,5,25.0,pv_signal=constructive_pullback | pv_score=25 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2024-01-31,2024-02-01,58.43,57.0,61.0,2024-03-18,62.0,TSL,6.11,27,20.0,"pv_signal=constructive_pullback | pv_score=20 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
VCB,PV_PULLBACK,2024-03-22,2024-03-25,63.09,61.0,66.0,2024-04-16,61.0,SL,-3.31,16,5.0,pv_signal=constructive_pullback | pv_score=5 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2024-05-15,2024-05-16,61.09,60.0,63.0,2024-05-24,60.0,SL,-1.78,6,0.0,"pv_signal=constructive_pullback | pv_score=0 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
VCB,PV_PULLBACK,2024-05-27,2024-05-28,59.63,58.0,62.0,2024-05-31,58.0,SL,-2.73,3,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2024-07-12,2024-07-15,58.18,57.0,60.0,2024-09-04,60.0,TSL,3.13,35,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2024-09-04,2024-09-05,60.16,59.0,62.0,2024-09-11,59.0,SL,-2.21,4,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2024-09-11,2024-09-12,58.77,58.0,60.0,2024-11-15,61.0,TSL,3.79,46,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2024-12-12,2024-12-13,61.89,61.0,63.0,2024-12-31,61.0,SL,-1.44,12,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
VCB,PV_PULLBACK,2025-01-14,2025-01-15,61.02,60.0,63.0,2025-03-28,65.0,TSL,6.52,47,0.0,"pv_signal=constructive_pullback | pv_score=0 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
