symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
FPT,PV_BREAKOUT,2021-02-03,2021-02-04,30.34,29.0,32.0,2021-04-14,35.0,REVERSAL_DOUBLE_TOP,15.43,44,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
FPT,PV_BREAKOUT,2021-05-10,2021-05-11,37.19,36.0,39.0,2021-08-13,48.0,REVERSAL_DOUBLE_TOP,28.29,68,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
FPT,PV_BREAKOUT,2021-10-08,2021-10-11,50.25,49.0,52.0,2021-10-22,49.0,SL,-2.49,9,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
FPT,PV_BREAKOUT,2022-03-08,2022-03-09,48.01,47.0,50.0,2022-03-14,47.0,SL,-2.1,3,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
FPT,PV_BREAKOUT,2022-03-28,2022-03-29,50.04,49.0,52.0,2022-04-19,57.0,REVERSAL_DOUBLE_TOP,13.59,14,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
FPT,PV_BREAKOUT,2022-05-27,2022-05-30,56.38,54.0,60.0,2022-06-13,54.0,SL,-4.22,10,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
FPT,PV_BREAKOUT,2022-08-15,2022-08-16,54.65,53.0,57.0,2022-08-19,53.0,SL,-3.02,3,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
FPT,PV_WASHOUT,2022-09-30,2022-10-03,49.5,48.0,52.0,2022-10-03,48.0,SL,-3.03,0,30.0,"pv_signal=washout | pv_score=30 | pv_bias=neutral | pv_tags=WASHOUT_REVERSAL,BULLISH_VOLUME_EXPANSION"
FPT,PV_BREAKOUT,2023-01-03,2023-01-04,50.25,49.0,52.0,2023-03-01,49.0,SL,-2.49,35,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
FPT,PV_BREAKOUT,2023-05-18,2023-05-19,51.61,51.0,53.0,2023-05-19,51.0,SL,-1.18,0,35.0,"pv_signal=breakout_confirmed | pv_score=35 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
FPT,PV_BREAKOUT,2023-06-05,2023-06-06,53.04,52.0,55.0,2023-06-08,52.0,SL,-1.96,2,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
