symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
SSI,RETEST,2025-01-02,2025-01-03,23.01,22.0,25.0,2025-01-07,22.0,SL,-4.39,2,Retest vùng breakout 24 (cách -2.2%) | Volume cạn 0.58× TB20 | Giá vẫn giữ trên vùng breakout
SSI,NR7,2025-01-08,2025-01-09,21.94,21.0,23.0,2025-01-10,21.0,SL,-4.28,1,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.1% — SL hẹp, risk thấp"
SSI,NR7,2025-01-14,2025-01-15,21.45,21.0,22.0,2025-01-16,22.0,TP,2.56,1,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.3% — SL hẹp, risk thấp"
SSI,MOMENTUM_SURGE,2025-01-17,2025-01-20,21.9,21.0,23.0,2025-01-23,22.0,TIMEOUT,2.01,3,3 phiên tăng liên tiếp (+2.5% tổng) | Volume tăng theo đà giá
SSI,MACD_CROSSOVER,2025-01-23,2025-01-24,22.3,22.0,23.0,2025-02-03,22.0,SL,-1.35,1,MACD crossover bullish (hist=0.04)
SSI,MACD_CROSSOVER,2025-02-03,2025-02-04,22.12,21.0,24.0,2025-02-11,22.0,TIMEOUT,-0.81,5,MACD crossover bullish (hist=0.08)
SSI,BB_SQUEEZE,2025-02-11,2025-02-12,22.02,21.0,24.0,2025-02-19,23.0,TIMEOUT,2.27,5,BB squeeze: width 0.070 ≈ min 20 phiên (0.070) | Giá trên BB mid — bias bullish
SSI,BB_SQUEEZE,2025-02-19,2025-02-20,22.61,22.0,24.0,2025-02-27,23.0,TIMEOUT,2.52,5,BB squeeze: width 0.048 ≈ min 20 phiên (0.048) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
SSI,SPRING,2025-02-27,2025-02-28,23.27,23.0,24.0,2025-03-07,24.0,TP,3.14,5,HH: đỉnh 23 > 23 | HL: đáy 22 > 22 | Volume phiên tăng > giảm
SSI,SPRING,2025-03-07,2025-03-10,23.98,23.0,25.0,2025-03-17,24.0,TIMEOUT,0.0,5,HH: đỉnh 23 > 23 | HL: đáy 22 > 22 | Volume phiên tăng > giảm
SSI,RETEST,2025-03-17,2025-03-18,24.07,23.0,26.0,2025-03-25,24.0,TIMEOUT,-0.75,5,Retest vùng breakout 24 (cách +0.4%) | Volume cạn 0.68× TB20 | Giá vẫn giữ trên vùng breakout
SSI,BB_SQUEEZE,2025-03-25,2025-03-26,23.89,23.0,25.0,2025-04-01,23.0,SL,-3.73,4,BB squeeze: width 0.050 ≈ min 20 phiên (0.050) | Giá trên BB mid — bias bullish
SSI,RETEST,2025-04-02,2025-04-03,22.38,22.0,23.0,2025-04-03,22.0,SL,-1.7,0,Retest vùng breakout 24 (cách -2.6%) | Volume cạn 0.60× TB20 | Giá vẫn giữ trên vùng breakout
SSI,NR7,2025-04-10,2025-04-11,20.43,19.0,23.0,2025-04-16,20.0,TIMEOUT,0.0,3,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 3.8% — SL hẹp, risk thấp"
SSI,MACD_CROSSOVER,2025-04-25,2025-04-28,20.34,19.0,22.0,2025-05-08,21.0,TIMEOUT,0.88,5,MACD crossover bullish (hist=0.01)
SSI,BB_SQUEEZE,2025-05-08,2025-05-09,20.6,20.0,22.0,2025-05-14,21.0,TSL,1.12,3,BB squeeze: width 0.120 ≈ min 20 phiên (0.120) | Giá trên BB mid — bias bullish
SSI,SPRING,2025-05-14,2025-05-15,21.45,21.0,22.0,2025-05-19,21.0,SL,-2.52,2,HH: đỉnh 21 > 21 | HL: đáy 20 > 19 | Volume phiên tăng > giảm
SSI,SPRING,2025-05-19,2025-05-20,20.79,20.0,22.0,2025-05-27,21.0,TIMEOUT,1.25,5,HH: đỉnh 21 > 21 | HL: đáy 21 > 20 | Volume phiên tăng > giảm
SSI,BB_SQUEEZE,2025-05-27,2025-05-28,21.27,21.0,22.0,2025-05-28,21.0,SL,-1.27,0,BB squeeze: width 0.055 ≈ min 20 phiên (0.054) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
SSI,BB_SQUEEZE,2025-05-28,2025-05-29,21.19,20.0,23.0,2025-06-05,21.0,TIMEOUT,0.38,5,BB squeeze: width 0.053 ≈ min 20 phiên (0.053) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
SSI,SPRING,2025-06-05,2025-06-06,21.23,20.0,23.0,2025-06-13,21.0,TIMEOUT,-3.16,5,HH: đỉnh 22 > 21 | HL: đáy 21 > 20 | Volume phiên tăng > giảm
SSI,GOLDEN_CROSS,2025-06-13,2025-06-16,20.52,20.0,21.0,2025-06-16,21.0,TSL,0.0,0,Golden Cross: MA20 (21) cắt lên MA50 (21) | Volume xác nhận cross
SSI,RETEST,2025-06-16,2025-06-17,21.23,21.0,22.0,2025-06-17,21.0,SL,-1.08,0,Retest vùng breakout 22 (cách -2.6%) | Volume cạn 0.77× TB20 | Giá vẫn giữ trên vùng breakout
