symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars
VCB,MACD_CROSSOVER,2024-01-02,2024-01-03,55.45,54.0,58.0,2024-01-09,58.0,TP,4.6,4
VCB,MOMENTUM_SURGE,2024-01-09,2024-01-10,58.3,57.0,60.0,2024-01-17,60.0,TP,2.92,5
VCB,SPRING,2024-01-17,2024-01-18,60.36,59.0,62.0,2024-01-22,62.0,TP,2.72,2
VCB,RETEST,2024-01-22,2024-01-23,61.16,60.0,63.0,2024-01-30,60.0,SL,-1.9,5
VCB,RETEST,2024-01-30,2024-01-31,60.16,59.0,62.0,2024-01-31,59.0,SL,-1.93,0
VCB,BB_SQUEEZE,2024-02-02,2024-02-05,59.89,58.0,63.0,2024-02-19,60.0,TIMEOUT,0.0,5
VCB,BB_SQUEEZE,2024-02-20,2024-02-21,60.9,59.0,64.0,2024-02-28,64.0,TP,5.09,5
VCB,BREAKOUT,2024-02-28,2024-02-29,65.41,63.0,69.0,2024-03-07,64.0,TIMEOUT,-2.74,5
VCB,SPRING,2024-03-07,2024-03-08,63.69,62.0,66.0,2024-03-15,62.0,TIMEOUT,-1.99,5
VCB,MA_PULLBACK,2024-03-15,2024-03-18,62.62,61.0,65.0,2024-03-25,64.0,TIMEOUT,1.49,5
VCB,RETEST,2024-03-25,2024-03-26,63.74,62.0,66.0,2024-04-02,63.0,TIMEOUT,-1.55,5
VCB,RETEST,2024-04-02,2024-04-03,62.68,61.0,65.0,2024-04-10,63.0,TIMEOUT,0.11,5
VCB,RETEST,2024-04-10,2024-04-11,62.42,61.0,65.0,2024-04-16,61.0,SL,-2.27,3
VCB,RSI_BOUNCE,2024-04-22,2024-04-23,60.16,58.0,63.0,2024-05-03,61.0,TIMEOUT,2.09,5
VCB,SPRING,2024-05-06,2024-05-07,62.02,60.0,65.0,2024-05-14,60.0,TIMEOUT,-3.0,5
VCB,BB_SQUEEZE,2024-05-16,2024-05-17,61.49,60.0,64.0,2024-05-24,60.0,SL,-2.42,5
VCB,MACD_CROSSOVER,2024-07-02,2024-07-03,58.43,57.0,61.0,2024-07-10,59.0,TIMEOUT,0.68,5
VCB,BB_SQUEEZE,2024-07-10,2024-07-11,58.83,57.0,62.0,2024-07-18,58.0,TIMEOUT,-0.68,5
VCB,BB_SQUEEZE,2024-07-18,2024-07-19,58.43,57.0,61.0,2024-07-26,58.0,TIMEOUT,-0.79,5
VCB,RETEST,2024-07-26,2024-07-29,58.18,57.0,60.0,2024-08-01,60.0,TP,3.13,3
VCB,GOLDEN_CROSS,2024-08-01,2024-08-02,60.03,59.0,62.0,2024-08-02,59.0,SL,-1.72,0
VCB,MACD_CROSSOVER,2024-08-02,2024-08-05,58.77,58.0,60.0,2024-08-05,58.0,SL,-1.31,0
VCB,GOLDEN_CROSS,2024-08-05,2024-08-06,57.71,56.0,60.0,2024-08-13,59.0,TIMEOUT,3.0,5
VCB,MOMENTUM_SURGE,2024-08-13,2024-08-14,59.3,58.0,61.0,2024-08-21,61.0,TP,2.87,5
VCB,BREAKOUT,2024-08-21,2024-08-22,61.69,60.0,64.0,2024-08-29,61.0,TIMEOUT,-1.51,5
VCB,FLAG_PENNANT,2024-08-29,2024-08-30,60.76,59.0,63.0,2024-09-10,59.0,TIMEOUT,-2.73,5
VCB,RETEST,2024-09-17,2024-09-18,60.16,59.0,62.0,2024-09-25,62.0,TIMEOUT,2.43,5
VCB,SPRING,2024-09-25,2024-09-26,61.69,60.0,64.0,2024-10-03,61.0,TIMEOUT,-0.32,5
VCB,RETEST,2024-10-04,2024-10-07,61.29,60.0,63.0,2024-10-14,61.0,TIMEOUT,-0.96,5
VCB,RETEST,2024-10-14,2024-10-15,60.63,59.0,63.0,2024-10-22,61.0,TIMEOUT,0.12,5
VCB,RETEST,2024-10-23,2024-10-24,61.22,60.0,63.0,2024-10-31,63.0,TP,2.91,5
VCB,BREAKOUT,2024-10-31,2024-11-01,62.42,61.0,65.0,2024-11-08,61.0,TIMEOUT,-1.92,5
VCB,SPRING,2024-11-08,2024-11-11,61.62,60.0,64.0,2024-11-18,60.0,TIMEOUT,-1.93,5
VCB,MOMENTUM_SURGE,2024-11-26,2024-11-27,61.29,60.0,63.0,2024-12-02,63.0,TP,2.79,3
VCB,MACD_CROSSOVER,2024-12-02,2024-12-03,62.68,61.0,65.0,2024-12-10,63.0,TIMEOUT,0.11,5
VCB,RETEST,2024-12-10,2024-12-11,62.75,61.0,65.0,2024-12-18,62.0,TIMEOUT,-1.48,5
VCB,RETEST,2024-12-18,2024-12-19,61.62,60.0,64.0,2024-12-26,61.0,TIMEOUT,-0.75,5
VCB,MA_PULLBACK,2025-01-06,2025-01-07,61.89,61.0,63.0,2025-01-08,61.0,SL,-1.44,1
VCB,RETEST,2025-01-08,2025-01-09,61.09,60.0,63.0,2025-01-16,62.0,TIMEOUT,0.77,5
VCB,BB_SQUEEZE,2025-01-16,2025-01-17,61.56,60.0,64.0,2025-01-24,61.0,TIMEOUT,-0.11,5
VCB,RETEST,2025-01-24,2025-02-03,61.29,60.0,63.0,2025-02-10,61.0,TIMEOUT,-0.11,5
VCB,SPRING,2025-02-10,2025-02-11,61.22,60.0,63.0,2025-02-18,61.0,TIMEOUT,-0.64,5
