symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars
VIC,BB_SQUEEZE,2024-01-02,2024-01-03,21.75,21.0,23.0,2024-01-10,22.0,TIMEOUT,0.23,5
VIC,RETEST,2024-01-11,2024-01-12,21.75,21.0,23.0,2024-01-19,22.0,TIMEOUT,-0.46,5
VIC,NR7,2024-01-19,2024-01-22,21.75,21.0,23.0,2024-01-29,21.0,TIMEOUT,-1.93,5
VIC,NR7,2024-01-30,2024-01-31,21.35,21.0,22.0,2024-02-05,21.0,SL,-1.64,3
VIC,HAMMER,2024-02-07,2024-02-15,21.25,21.0,22.0,2024-02-16,22.0,TP,3.53,1
VIC,BREAKOUT,2024-02-16,2024-02-19,22.15,22.0,22.0,2024-02-19,22.0,TP,-0.68,0
VIC,GOLDEN_CROSS,2024-02-23,2024-02-26,22.68,22.0,24.0,2024-03-04,23.0,TIMEOUT,-0.22,5
VIC,DOUBLE_BOTTOM,2024-03-04,2024-03-05,22.6,22.0,24.0,2024-03-12,22.0,TIMEOUT,-2.3,5
VIC,DOUBLE_BOTTOM,2024-03-12,2024-03-13,22.13,21.0,24.0,2024-03-20,23.0,TIMEOUT,5.06,5
VIC,BB_SQUEEZE,2024-03-20,2024-03-21,23.25,22.0,25.0,2024-03-28,24.0,TIMEOUT,2.37,5
VIC,NR7,2024-03-29,2024-04-01,23.83,23.0,25.0,2024-04-08,24.0,TIMEOUT,0.08,5
VIC,RETEST,2024-04-08,2024-04-09,23.8,23.0,25.0,2024-04-15,23.0,SL,-3.36,4
VIC,HAMMER,2024-04-16,2024-04-17,23.25,22.0,25.0,2024-04-19,22.0,SL,-6.24,1
VIC,NR7,2024-04-24,2024-04-25,20.85,20.0,22.0,2024-04-26,22.0,TP,5.52,1
VIC,MOMENTUM_SURGE,2024-04-26,2024-05-02,22.0,21.0,24.0,2024-05-09,23.0,TIMEOUT,3.18,5
VIC,DOUBLE_BOTTOM,2024-05-09,2024-05-10,22.7,22.0,24.0,2024-05-14,24.0,TP,5.73,2
VIC,DOUBLE_BOTTOM,2024-05-14,2024-05-15,23.1,22.0,25.0,2024-05-22,23.0,TIMEOUT,-1.52,5
VIC,DOUBLE_BOTTOM,2024-05-22,2024-05-23,22.63,22.0,24.0,2024-05-30,22.0,SL,-2.78,5
VIC,HAMMER,2024-07-01,2024-07-02,20.7,20.0,22.0,2024-07-09,20.0,TIMEOUT,-1.45,5
VIC,INSIDE_BAR,2024-07-11,2024-07-12,20.85,20.0,22.0,2024-07-19,20.0,TIMEOUT,-2.25,5
VIC,RETEST,2024-07-23,2024-07-24,20.4,20.0,21.0,2024-07-25,21.0,TP,2.94,1
VIC,MOMENTUM_SURGE,2024-07-25,2024-07-26,20.95,20.0,22.0,2024-08-02,21.0,TIMEOUT,0.24,5
VIC,RETEST,2024-08-06,2024-08-07,20.88,20.0,22.0,2024-08-14,20.0,TIMEOUT,-2.3,5
VIC,RETEST,2024-08-19,2024-08-20,20.58,20.0,21.0,2024-08-20,21.0,TP,2.04,0
VIC,GOLDEN_CROSS,2024-08-20,2024-08-21,20.8,20.0,22.0,2024-08-27,22.0,TP,5.77,4
VIC,DOUBLE_BOTTOM,2024-08-27,2024-08-28,22.75,22.0,24.0,2024-09-04,22.0,SL,-4.18,3
VIC,DOUBLE_BOTTOM,2024-09-04,2024-09-05,22.28,22.0,23.0,2024-09-09,22.0,SL,-1.26,2
VIC,DOUBLE_BOTTOM,2024-09-09,2024-09-10,21.85,21.0,23.0,2024-09-17,21.0,TIMEOUT,-1.83,5
VIC,DOUBLE_BOTTOM,2024-09-17,2024-09-18,21.45,21.0,22.0,2024-09-25,21.0,TIMEOUT,-0.7,5
VIC,RETEST,2024-10-11,2024-10-14,21.25,21.0,22.0,2024-10-15,21.0,SL,-1.18,1
VIC,RETEST,2024-10-15,2024-10-16,20.75,20.0,22.0,2024-10-23,22.0,TP,6.02,5
VIC,DOUBLE_BOTTOM,2024-10-23,2024-10-24,21.5,21.0,22.0,2024-10-25,21.0,SL,-2.33,1
VIC,RETEST,2024-10-28,2024-10-29,20.75,20.0,22.0,2024-11-05,21.0,TIMEOUT,-0.48,5
VIC,BB_SQUEEZE,2024-11-06,2024-11-07,21.0,20.0,22.0,2024-11-14,20.0,TIMEOUT,-3.1,5
VIC,BB_SQUEEZE,2024-11-25,2024-11-26,20.5,20.0,21.0,2024-12-03,20.0,TIMEOUT,-1.46,5
VIC,BB_SQUEEZE,2024-12-05,2024-12-06,20.43,20.0,21.0,2024-12-06,21.0,TP,2.79,0
VIC,BREAKOUT,2024-12-06,2024-12-09,21.05,21.0,21.0,2024-12-09,21.0,SL,-0.24,0
VIC,DOUBLE_BOTTOM,2024-12-09,2024-12-10,20.93,20.0,22.0,2024-12-17,20.0,TIMEOUT,-3.11,5
VIC,RETEST,2024-12-26,2024-12-27,20.35,20.0,21.0,2025-01-06,20.0,TIMEOUT,-0.49,5
VIC,RETEST,2025-01-08,2025-01-09,20.28,20.0,21.0,2025-01-13,20.0,SL,-2.12,2
VIC,RETEST,2025-01-15,2025-01-16,20.15,20.0,20.0,2025-01-16,20.0,TP,-0.74,0
VIC,MACD_CROSSOVER,2025-01-17,2025-01-20,20.15,20.0,20.0,2025-01-20,20.0,TP,-0.74,0
VIC,RETEST,2025-01-20,2025-01-21,20.28,20.0,21.0,2025-02-03,20.0,SL,-1.38,4
VIC,RETEST,2025-02-05,2025-02-06,20.18,20.0,20.0,2025-02-06,20.0,TP,-0.89,0
VIC,MACD_CROSSOVER,2025-02-07,2025-02-10,20.18,20.0,20.0,2025-02-10,20.0,SL,-0.89,0
VIC,RETEST,2025-02-13,2025-02-14,20.25,20.0,21.0,2025-02-18,20.0,SL,-1.23,2
VIC,MACD_CROSSOVER,2025-02-18,2025-02-19,20.1,20.0,20.0,2025-02-19,20.0,TP,-0.5,0
VIC,MACD_CROSSOVER,2025-02-19,2025-02-20,20.23,20.0,21.0,2025-02-27,21.0,TIMEOUT,1.48,5
VIC,DOUBLE_BOTTOM,2025-02-27,2025-02-28,20.53,20.0,21.0,2025-03-03,21.0,TP,2.29,1
VIC,DOUBLE_BOTTOM,2025-03-03,2025-03-04,21.23,21.0,22.0,2025-03-04,21.0,SL,-1.08,0
VIC,GOLDEN_CROSS,2025-03-04,2025-03-05,21.03,21.0,21.0,2025-03-05,21.0,SL,-0.14,0
VIC,DOUBLE_BOTTOM,2025-03-05,2025-03-06,21.15,21.0,21.0,2025-03-06,21.0,TP,-0.71,0
VIC,DOUBLE_BOTTOM,2025-03-06,2025-03-07,21.15,21.0,21.0,2025-03-07,21.0,TP,-0.71,0
VIC,FLAG_PENNANT,2025-04-01,2025-04-02,30.25,29.0,32.0,2025-04-03,29.0,SL,-4.13,1
VIC,DOUBLE_BOTTOM,2025-04-03,2025-04-04,27.1,26.0,29.0,2025-04-04,29.0,TP,7.01,0
VIC,DOUBLE_BOTTOM,2025-04-08,2025-04-09,26.05,25.0,28.0,2025-04-09,28.0,TP,7.49,0
VIC,BB_SQUEEZE,2025-04-09,2025-04-10,30.45,29.0,33.0,2025-04-14,33.0,TP,8.37,2
VIC,MACD_CROSSOVER,2025-04-16,2025-04-17,33.85,32.0,37.0,2025-04-21,32.0,SL,-5.47,2
VIC,NR7,2025-04-23,2025-04-24,29.45,28.0,32.0,2025-04-25,32.0,TP,8.66,1
VIC,MOMENTUM_SURGE,2025-04-28,2025-04-29,33.5,32.0,36.0,2025-04-29,32.0,SL,-4.48,0
VIC,RETEST,2025-05-05,2025-05-06,35.3,34.0,37.0,2025-05-07,37.0,TP,4.82,1
VIC,RETEST,2025-05-07,2025-05-08,37.6,36.0,40.0,2025-05-09,40.0,TP,6.38,1
VIC,MACD_CROSSOVER,2025-05-09,2025-05-12,39.2,37.0,43.0,2025-05-19,43.0,TIMEOUT,9.18,5
VIC,RETEST,2025-05-29,2025-05-30,48.55,46.0,52.0,2025-06-06,48.0,TIMEOUT,-0.1,5
VIC,BB_SQUEEZE,2025-06-06,2025-06-09,48.45,46.0,52.0,2025-06-09,46.0,SL,-5.06,0
VIC,DOUBLE_BOTTOM,2025-06-12,2025-06-13,42.85,41.0,46.0,2025-06-13,41.0,SL,-4.32,0
VIC,NR7,2025-06-18,2025-06-19,44.0,42.0,47.0,2025-06-24,47.0,TP,6.82,3
VIC,RETEST,2025-06-25,2025-06-26,47.5,45.0,51.0,2025-07-03,47.0,TIMEOUT,-0.53,5
VIC,BB_SQUEEZE,2025-07-03,2025-07-04,47.2,45.0,51.0,2025-07-11,51.0,TP,8.05,5
VIC,NR7,2025-07-28,2025-07-29,57.5,55.0,61.0,2025-07-30,55.0,SL,-4.35,1
VIC,DOUBLE_BOTTOM,2025-08-01,2025-08-04,53.1,50.0,58.0,2025-08-05,58.0,TP,9.23,1
VIC,BB_SQUEEZE,2025-08-06,2025-08-07,59.25,56.0,64.0,2025-08-14,59.0,TIMEOUT,-0.25,5
VIC,BB_SQUEEZE,2025-08-14,2025-08-15,59.6,57.0,64.0,2025-08-22,62.0,TIMEOUT,4.11,5
VIC,DOUBLE_BOTTOM,2025-08-22,2025-08-25,62.0,59.0,66.0,2025-08-25,66.0,TP,6.45,0
VIC,RETEST,2025-08-28,2025-08-29,65.55,62.0,71.0,2025-09-04,62.0,SL,-5.42,2
VIC,DOUBLE_BOTTOM,2025-09-04,2025-09-05,62.6,59.0,68.0,2025-09-11,68.0,TP,8.63,4
VIC,MOMENTUM_SURGE,2025-09-11,2025-09-12,68.0,65.0,72.0,2025-09-18,72.0,TP,5.88,4
VIC,RETEST,2025-09-24,2025-09-25,74.5,71.0,80.0,2025-09-26,80.0,TP,7.38,1
VIC,RETEST,2025-10-06,2025-10-07,90.55,86.0,97.0,2025-10-13,97.0,TP,7.12,4
VIC,DOUBLE_BOTTOM,2025-10-20,2025-10-21,101.0,96.0,108.0,2025-10-24,108.0,TP,6.93,3
VIC,BB_SQUEEZE,2025-10-24,2025-10-27,111.45,106.0,120.0,2025-10-28,106.0,SL,-4.89,1
VIC,BB_SQUEEZE,2025-10-28,2025-10-29,109.5,104.0,118.0,2025-10-30,104.0,SL,-5.02,1
VIC,BB_SQUEEZE,2025-10-30,2025-10-31,101.0,96.0,108.0,2025-10-31,96.0,SL,-4.95,0
VIC,DOUBLE_BOTTOM,2025-10-31,2025-11-03,95.55,91.0,102.0,2025-11-04,102.0,TP,6.75,1
VIC,DOUBLE_BOTTOM,2025-11-04,2025-11-05,100.5,95.0,109.0,2025-11-12,106.0,TIMEOUT,5.07,5
VIC,BB_SQUEEZE,2025-11-12,2025-11-13,105.0,100.0,112.0,2025-11-19,112.0,TP,6.67,4
VIC,RETEST,2025-11-19,2025-11-20,110.45,105.0,119.0,2025-11-24,119.0,TP,7.74,2
VIC,DOUBLE_BOTTOM,2025-11-24,2025-11-25,121.5,115.0,131.0,2025-11-28,131.0,TP,7.82,3
VIC,NR7,2025-12-17,2025-12-18,143.0,136.0,154.0,2025-12-22,154.0,TP,7.69,2
VIC,BB_SQUEEZE,2025-12-25,2025-12-26,147.0,140.0,158.0,2025-12-29,158.0,TP,7.48,1
VIC,BB_SQUEEZE,2025-12-29,2025-12-30,159.7,152.0,171.0,2025-12-30,152.0,SL,-4.82,0
VIC,BB_SQUEEZE,2025-12-30,2025-12-31,163.0,155.0,175.0,2026-01-06,175.0,TP,7.36,2
VIC,BB_SQUEEZE,2026-01-06,2026-01-07,173.1,164.0,187.0,2026-01-08,187.0,TP,8.03,1
VIC,RETEST,2026-01-09,2026-01-12,174.6,166.0,188.0,2026-01-12,166.0,SL,-4.93,0
VIC,DOUBLE_BOTTOM,2026-01-13,2026-01-14,171.2,163.0,183.0,2026-01-14,163.0,SL,-4.79,0
VIC,DOUBLE_BOTTOM,2026-01-15,2026-01-16,153.0,145.0,165.0,2026-01-23,165.0,TP,7.84,5
VIC,BB_SQUEEZE,2026-01-23,2026-01-26,167.0,159.0,179.0,2026-01-27,159.0,SL,-4.79,1
VIC,NR7,2026-01-29,2026-01-30,140.5,133.0,152.0,2026-02-02,133.0,SL,-5.34,1
VIC,RSI_BOUNCE,2026-02-05,2026-02-06,130.1,124.0,139.0,2026-02-10,139.0,TP,6.84,2
VIC,MOMENTUM_SURGE,2026-02-10,2026-02-11,148.0,141.0,158.0,2026-02-12,158.0,TP,6.76,1
VIC,MACD_CROSSOVER,2026-02-12,2026-02-13,161.9,154.0,174.0,2026-02-13,154.0,SL,-4.88,0
VIC,MOMENTUM_SURGE,2026-02-13,2026-02-23,160.0,152.0,172.0,2026-02-27,172.0,TP,7.5,4
VIC,DOUBLE_BOTTOM,2026-02-27,2026-03-02,171.0,162.0,184.0,2026-03-03,162.0,SL,-5.26,1
VIC,NR7,2026-03-06,2026-03-09,151.4,144.0,162.0,2026-03-10,144.0,SL,-4.89,1
VIC,GOLDEN_CROSS,2026-03-18,2026-03-19,146.6,139.0,158.0,2026-03-20,139.0,SL,-5.18,1
VIC,GOLDEN_CROSS,2026-03-20,2026-03-23,135.6,129.0,146.0,2026-03-23,129.0,SL,-4.87,0
VIC,RSI_BOUNCE,2026-03-25,2026-03-26,129.9,123.0,140.0,2026-04-01,140.0,TP,7.78,4
VIC,MACD_CROSSOVER,2026-04-01,2026-04-02,142.8,136.0,153.0,2026-04-08,153.0,TP,7.14,4
VIC,MOMENTUM_SURGE,2026-04-08,2026-04-09,154.0,146.0,166.0,2026-04-15,166.0,TP,7.79,4
VIC,BREAKOUT,2026-04-15,2026-04-16,180.0,171.0,194.0,2026-04-17,194.0,TP,7.78,1
