symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars
CTG,MACD_CROSSOVER,2024-01-02,2024-01-03,18.65,18.0,20.0,2024-01-04,20.0,TP,7.24,1
CTG,DOUBLE_BOTTOM,2024-01-04,2024-01-05,19.72,19.0,21.0,2024-01-10,21.0,TP,6.49,3
CTG,DOUBLE_BOTTOM,2024-01-19,2024-01-22,22.32,22.0,23.0,2024-01-22,22.0,SL,-1.43,0
CTG,SPRING,2024-01-22,2024-01-23,22.39,22.0,23.0,2024-01-23,22.0,SL,-1.74,0
CTG,SPRING,2024-01-23,2024-01-24,21.91,21.0,23.0,2024-01-31,22.0,TIMEOUT,-1.05,5
CTG,RETEST,2024-02-01,2024-02-02,21.94,21.0,23.0,2024-02-05,23.0,TP,4.83,1
CTG,BB_SQUEEZE,2024-02-05,2024-02-06,23.32,23.0,24.0,2024-02-07,24.0,TP,2.92,1
CTG,SPRING,2024-02-21,2024-02-22,24.48,24.0,25.0,2024-02-23,24.0,SL,-1.96,1
CTG,RETEST,2024-02-26,2024-02-27,24.48,24.0,25.0,2024-02-28,25.0,TP,2.12,1
CTG,SPRING,2024-02-28,2024-02-29,24.83,24.0,26.0,2024-03-01,24.0,SL,-3.34,1
CTG,RETEST,2024-03-05,2024-03-06,24.97,24.0,26.0,2024-03-08,24.0,SL,-3.88,2
CTG,NR7,2024-03-21,2024-03-22,24.07,23.0,26.0,2024-03-29,24.0,TIMEOUT,1.29,5
CTG,RETEST,2024-03-29,2024-04-01,24.28,23.0,26.0,2024-04-04,23.0,SL,-5.27,3
CTG,NR7,2024-04-05,2024-04-08,22.84,22.0,24.0,2024-04-12,24.0,TP,5.08,4
CTG,BREAKOUT,2024-04-12,2024-04-15,24.55,24.0,25.0,2024-04-15,24.0,SL,-2.24,0
CTG,HAMMER,2024-04-16,2024-04-17,23.49,22.0,26.0,2024-04-19,22.0,SL,-6.34,1
CTG,HAMMER,2024-04-25,2024-04-26,22.32,21.0,24.0,2024-05-08,22.0,TIMEOUT,0.18,5
CTG,MACD_CROSSOVER,2024-05-08,2024-05-09,22.5,21.0,25.0,2024-05-16,23.0,TIMEOUT,1.2,5
CTG,BB_SQUEEZE,2024-05-16,2024-05-17,22.87,22.0,24.0,2024-05-24,22.0,TIMEOUT,-2.54,5
CTG,MOMENTUM_SURGE,2024-06-03,2024-06-04,22.43,22.0,23.0,2024-06-10,23.0,TP,2.54,4
CTG,MOMENTUM_SURGE,2024-06-10,2024-06-11,23.29,23.0,24.0,2024-06-11,23.0,SL,-1.25,0
CTG,RETEST,2024-06-12,2024-06-13,23.32,23.0,24.0,2024-06-13,23.0,SL,-1.37,0
CTG,RETEST,2024-06-19,2024-06-20,22.15,21.0,24.0,2024-06-27,21.0,TIMEOUT,-3.07,5
CTG,MOMENTUM_SURGE,2024-07-03,2024-07-04,22.22,22.0,23.0,2024-07-04,22.0,SL,-0.99,0
CTG,MACD_CROSSOVER,2024-07-04,2024-07-05,22.19,22.0,22.0,2024-07-05,22.0,TP,-0.86,0
CTG,MACD_CROSSOVER,2024-07-05,2024-07-08,22.46,22.0,23.0,2024-07-12,22.0,SL,-2.05,4
CTG,RETEST,2024-07-12,2024-07-15,21.98,21.0,23.0,2024-07-17,23.0,TP,4.64,2
CTG,MOMENTUM_SURGE,2024-07-17,2024-07-18,22.84,22.0,24.0,2024-07-23,22.0,SL,-3.68,3
CTG,SPRING,2024-07-23,2024-07-24,22.19,21.0,24.0,2024-07-31,22.0,TIMEOUT,-1.13,5
CTG,GOLDEN_CROSS,2024-08-01,2024-08-02,21.29,21.0,22.0,2024-08-02,21.0,SL,-1.36,0
CTG,HAMMER,2024-08-06,2024-08-07,21.02,20.0,23.0,2024-08-14,22.0,TIMEOUT,3.76,5
CTG,MACD_CROSSOVER,2024-08-14,2024-08-15,21.81,21.0,23.0,2024-08-21,23.0,TP,5.46,4
CTG,BREAKOUT,2024-08-21,2024-08-22,23.56,23.0,24.0,2024-08-22,24.0,TP,1.87,0
CTG,SPRING,2024-08-22,2024-08-23,23.59,23.0,24.0,2024-08-26,24.0,TP,1.74,1
CTG,SPRING,2024-08-26,2024-08-27,23.73,23.0,25.0,2024-09-05,24.0,TIMEOUT,1.14,5
CTG,SPRING,2024-09-05,2024-09-06,23.87,23.0,25.0,2024-09-13,24.0,TIMEOUT,0.29,5
CTG,RETEST,2024-09-13,2024-09-16,23.97,23.0,25.0,2024-09-20,25.0,TP,4.3,4
