symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
BCM,TREND_PULLBACK,2024-03-12,2024-03-13,65.94,63.0,70.0,2024-03-18,63.0,SL,-4.46,3,Uptrend: 66 > MA20(63) > MA60(61) | Breakout vùng 64 → recent high 67 | Pullback về vùng breakout (cách +2.9%)
BCM,PIN_BAR,2024-04-12,2024-04-15,59.26,57.0,63.0,2024-04-15,57.0,SL,-3.81,0,Pin Bar: wick dưới 1 (3.3× thân) | Đóng gần đỉnh nến (0% từ đỉnh) | Tại support 59 (cách 0.1%)
BCM,BULLISH_ENGULFING,2024-05-09,2024-05-10,56.64,54.0,61.0,2024-05-15,57.0,TIMEOUT,0.18,3,Engulfing: [53–56] nuốt [53–53] (body 6.6%) | Volume xanh 3.4× bar đỏ | Tại support 55
BCM,BREAKOUT_RETEST_ENTRY,2024-05-23,2024-05-24,61.97,59.0,66.0,2024-05-24,59.0,SL,-4.79,0,Breakout 3 bars trước tại level 61 | Retest thành công (cách +2.1%) | Nến đóng xanh — support giữ vững
BCM,BREAKOUT_RETEST_ENTRY,2024-05-27,2024-05-28,60.9,58.0,65.0,2024-06-04,60.0,TIMEOUT,-0.95,5,Breakout 5 bars trước tại level 61 | Retest thành công (cách -1.3%) | Nến đóng xanh — support giữ vững
BCM,BREAKOUT_RETEST_ENTRY,2024-06-04,2024-06-05,61.0,58.0,66.0,2024-06-12,62.0,TIMEOUT,1.9,5,Breakout 11 bars trước tại level 61 | Retest thành công (cách -1.0%) | Volume cạn 0.49× TB20
BCM,PIN_BAR,2024-06-19,2024-06-20,60.9,59.0,64.0,2024-06-25,61.0,TIMEOUT,0.16,3,Pin Bar: wick dưới 1 (7.7× thân) | Đóng gần đỉnh nến (0% từ đỉnh) | Tại support 60 (cách 1.2%)
BCM,TREND_PULLBACK,2024-07-02,2024-07-03,62.16,59.0,67.0,2024-07-10,63.0,TIMEOUT,1.72,5,Uptrend: 62 > MA20(62) > MA60(58) | Breakout vùng 63 → recent high 64 | Pullback về vùng breakout (cách -1.2%) | Volume cạn — áp lực bán suy yếu
BCM,TREND_PULLBACK,2024-07-10,2024-07-11,63.9,61.0,68.0,2024-07-17,64.0,TSL,0.16,4,Uptrend: 63 > MA20(62) > MA60(59) | Breakout vùng 63 → recent high 65 | Pullback về vùng breakout (cách +1.1%) | Volume cạn — áp lực bán suy yếu
BCM,BREAKOUT_RETEST_ENTRY,2024-07-18,2024-07-19,65.36,62.0,70.0,2024-07-26,67.0,TSL,2.37,5,Breakout 3 bars trước tại level 65 | Retest thành công (cách +1.2%) | Nến đóng xanh — support giữ vững
BCM,TREND_PULLBACK,2024-08-02,2024-08-05,64.87,62.0,69.0,2024-08-06,65.0,TSL,0.2,1,Uptrend: 67 > MA20(66) > MA60(62) | Breakout vùng 65 → recent high 71 | Pullback về vùng breakout (cách +3.2%)
BCM,TREND_PULLBACK,2024-08-06,2024-08-07,68.75,65.0,74.0,2024-08-14,70.0,TIMEOUT,1.4,5,Uptrend: 69 > MA20(66) > MA60(63) | Breakout vùng 66 → recent high 71 | Pullback về vùng breakout (cách +3.6%)
BCM,BREAKOUT_RETEST_ENTRY,2024-08-14,2024-08-15,69.81,66.0,76.0,2024-08-22,70.0,TIMEOUT,-0.14,5,Breakout 14 bars trước tại level 67 | Retest thành công (cách +4.2%) | Nến đóng xanh — support giữ vững
BCM,BULLISH_ENGULFING,2024-08-29,2024-08-30,69.13,66.0,74.0,2024-09-06,70.0,TIMEOUT,0.84,3,Engulfing: [67–69] nuốt [67–68] (body 3.3%) | Volume xanh 1.2× bar đỏ
BCM,PIN_BAR,2024-09-18,2024-09-19,69.13,67.0,72.0,2024-09-24,70.0,TIMEOUT,0.84,3,Pin Bar: wick dưới 1 (6.4× thân) | Đóng gần đỉnh nến (0% từ đỉnh) | Tại MA60 (67)
BCM,BULLISH_ENGULFING,2024-10-29,2024-10-30,64.68,63.0,67.0,2024-11-04,65.0,TIMEOUT,0.0,3,Engulfing: [63–65] nuốt [63–63] (body 2.1%) | Volume xanh 1.7× bar đỏ | Tại support 64
BCM,PIN_BAR,2024-11-04,2024-11-05,64.68,63.0,67.0,2024-11-08,65.0,TIMEOUT,1.22,3,Pin Bar: wick dưới 1 (13.7× thân) | Đóng gần đỉnh nến (7% từ đỉnh) | Tại support 64 (cách 1.1%) | Tại MA200 (63)
BCM,BREAKOUT_RETEST_ENTRY,2024-11-11,2024-11-12,66.35,65.0,68.0,2024-11-18,65.0,SL,-2.03,4,Breakout 4 bars trước tại level 66 | Retest thành công (cách +0.2%) | Nến đóng xanh — support giữ vững
BCM,BREAKOUT_RETEST_ENTRY,2024-11-18,2024-11-19,66.25,64.0,70.0,2024-11-19,64.0,SL,-3.4,0,Breakout 3 bars trước tại level 67 | Retest thành công (cách -1.3%) | Nến đóng xanh — support giữ vững
BCM,PIN_BAR,2024-11-25,2024-11-26,64.29,62.0,68.0,2024-11-29,65.0,TIMEOUT,1.68,3,Pin Bar: wick dưới 1 (6.8× thân) | Đóng gần đỉnh nến (13% từ đỉnh) | Tại support 64 (cách 0.9%) | Tại MA200 (64)
BCM,PIN_BAR,2024-12-13,2024-12-16,66.55,65.0,69.0,2024-12-19,65.0,TIMEOUT,-1.77,3,Pin Bar: wick dưới 1 (3.9× thân) | Đóng gần đỉnh nến (0% từ đỉnh) | Tại support 66 (cách 0.8%) | Tại MA60 (66)
BCM,BULLISH_ENGULFING,2024-12-20,2024-12-23,66.84,65.0,70.0,2024-12-26,69.0,TIMEOUT,2.51,3,Engulfing: [65–67] nuốt [65–66] (body 1.8%) | Volume xanh 1.1× bar đỏ | Tại support 66
BCM,BREAKOUT_RETEST_ENTRY,2024-12-27,2024-12-30,67.63,66.0,70.0,2024-12-31,68.0,TSL,0.55,1,Breakout 3 bars trước tại level 67 | Retest thành công (cách +2.6%) | Nến đóng xanh — support giữ vững
BCM,BREAKOUT_RETEST_ENTRY,2024-12-31,2025-01-02,68.81,67.0,72.0,2025-01-07,69.0,TSL,0.28,3,Breakout 5 bars trước tại level 67 | Retest thành công (cách +4.3%) | Nến đóng xanh — support giữ vững
BVH,BREAKOUT_RETEST_ENTRY,2024-02-29,2024-03-01,41.08,40.0,43.0,2024-03-07,43.0,TP,4.67,4,Breakout 9 bars trước tại level 41 | Retest thành công (cách +0.9%) | Nến đóng xanh — support giữ vững
BVH,TREND_PULLBACK,2024-03-12,2024-03-13,41.66,41.0,43.0,2024-03-18,41.0,SL,-1.58,3,Uptrend: 42 > MA20(41) > MA60(39) | Breakout vùng 41 → recent high 43 | Pullback về vùng breakout (cách +0.5%)
BVH,BREAKOUT_RETEST_ENTRY,2024-03-21,2024-03-22,41.18,40.0,43.0,2024-03-29,41.0,TIMEOUT,-0.46,5,Breakout 11 bars trước tại level 42 | Retest thành công (cách -1.2%) | Volume cạn 0.72× TB20 | Nến đóng xanh — support giữ vững
BVH,PIN_BAR,2024-04-12,2024-04-15,40.07,39.0,42.0,2024-04-15,39.0,SL,-2.67,0,Pin Bar: wick dưới 0 (4.7× thân) | Đóng gần đỉnh nến (0% từ đỉnh) | Tại support 40 (cách 0.4%)
BVH,BREAKOUT_RETEST_ENTRY,2024-06-04,2024-06-05,44.01,42.0,47.0,2024-06-12,44.0,TIMEOUT,0.64,5,Breakout 6 bars trước tại level 44 | Retest thành công (cách -1.2%) | Nến đóng xanh — support giữ vững
BVH,BREAKOUT_RETEST_ENTRY,2024-06-12,2024-06-13,44.34,42.0,48.0,2024-06-20,43.0,TIMEOUT,-2.17,5,Breakout 6 bars trước tại level 45 | Retest thành công (cách -1.7%) | Volume cạn 0.47× TB20 | Nến đóng xanh — support giữ vững
BVH,BREAKOUT_RETEST_ENTRY,2024-07-04,2024-07-05,45.16,43.0,48.0,2024-07-12,44.0,TIMEOUT,-3.41,5,Breakout 3 bars trước tại level 45 | Retest thành công (cách -0.8%) | Volume cạn 0.70× TB20 | Nến đóng xanh — support giữ vững
BVH,BREAKOUT_RETEST_ENTRY,2024-07-16,2024-07-17,44.87,43.0,48.0,2024-07-17,43.0,SL,-4.17,0,Breakout 11 bars trước tại level 45 | Retest thành công (cách -1.6%) | Nến đóng xanh — support giữ vững
