hypothesis,risk,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
leader_pullback_market_healthy_v2__stop_loss=0.08__take_profit=0.25__max_holding_bars=60,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 60}",125,28,0.408,2.876905594894627,-2.3327203857714367,15.175885755351452,-5.599418569744537,1.867882579000628,30.285585494105533,-12.046909475775694,31.144,1.1598749148700054,1.245674171498396,-0.20016643549270385,215987.49148700055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.08__take_profit=0.3__max_holding_bars=60,"{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60}",116,28,0.4224137931034483,4.1290419943670535,-2.2716833451215805,17.189131302142155,-5.422366603856529,2.318389118045133,31.526961034473988,-12.046909475775683,34.48275862068966,1.315656865295006,1.2317844293772924,-0.20016643549270385,231565.68652950058,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.1__take_profit=0.25__max_holding_bars=60,"{'stop_loss': 0.1, 'take_profit': 0.25, 'max_holding_bars': 60}",107,28,0.42990654205607476,2.129954934824764,-2.3987027538862074,14.326820759597044,-7.067681588774008,1.528624615090336,30.285585494105543,-15.502837987105965,35.308411214953274,1.023731300510005,1.0840147418167636,-0.2515190779910722,202373.1300510005,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.06__take_profit=0.3__max_holding_bars=90,"{'stop_loss': 0.06, 'take_profit': 0.3, 'max_holding_bars': 90}",94,28,0.2765957446808511,1.8353212040272546,-3.6737441920747154,19.076010216525454,-4.756706947810294,1.5333651394182544,32.375121682856054,-12.046909475775683,30.393617021276597,0.9865100454900058,1.0427686055873444,-0.22315618873778265,198651.0045490006,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.08__take_profit=0.3__max_holding_bars=90,"{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 90}",101,28,0.38613861386138615,3.2352415522990334,-3.780172811339147,18.320925196291768,-6.2541400947286565,1.8426918443620985,32.37512168285609,-12.769531232057052,42.45544554455446,0.7409757193600051,0.9185830058624455,-0.22834512646701244,174097.57193600052,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.08__take_profit=0.2__max_holding_bars=60,"{'stop_loss': 0.08, 'take_profit': 0.2, 'max_holding_bars': 60}",138,28,0.43478260869565216,2.250465636139174,-2.365711569828822,12.703687144954824,-5.790473986026712,1.6876109033840938,21.108753142808446,-12.046909475775694,28.108695652173914,0.5705726214550058,0.8006814414069274,-0.20016643549270385,157057.26214550057,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.1__take_profit=0.3__max_holding_bars=60,"{'stop_loss': 0.1, 'take_profit': 0.3, 'max_holding_bars': 60}",96,28,0.4375,3.271373557358057,-2.1354368924657896,17.0953529493065,-7.480610414157399,1.777446610783843,31.526961034473985,-12.333307329348285,38.979166666666664,0.7387749316850043,0.792524051029964,-0.2515190779910722,173877.49316850043,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.06__take_profit=0.2__max_holding_bars=90,"{'stop_loss': 0.06, 'take_profit': 0.2, 'max_holding_bars': 90}",128,29,0.328125,1.2620077846766466,-3.0555469641426387,13.332598967041262,-4.6329320950828174,1.4054316206974853,22.321314972765737,-12.046909475775694,25.359375,0.5385198680250067,0.7475773838877697,-0.22315618873778265,153851.98680250067,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.06__take_profit=0.3__max_holding_bars=60,"{'stop_loss': 0.06, 'take_profit': 0.3, 'max_holding_bars': 60}",123,28,0.3089430894308943,2.8227856223532584,-2.726909766090714,18.555872522315067,-4.210829697629669,1.9700551043557033,32.375121682856076,-12.046909475775683,25.357723577235774,0.5424908917750062,0.7295656652018128,-0.20785433408932663,154249.08917750063,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.08__take_profit=0.3__max_holding_bars=45,"{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 45}",142,29,0.4084507042253521,2.03645284081169,-1.9176113489190887,12.708128458435581,-5.332085085642901,1.645633928402454,31.776680807255417,-13.227914394451108,27.950704225352112,0.5179905090400057,0.7208833058863704,-0.2070602625266148,151799.05090400056,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.08__take_profit=0.25__max_holding_bars=90,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",119,27,0.3445378151260504,1.6465756228222204,-3.9790572760424556,16.116037086572288,-5.95916694145666,1.4215494123049268,30.285585494105533,-12.769531232057048,35.260504201680675,0.49136091393000414,0.6962230206259816,-0.22834512646701244,149136.09139300042,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.1__take_profit=0.2__max_holding_bars=60,"{'stop_loss': 0.1, 'take_profit': 0.2, 'max_holding_bars': 60}",117,28,0.4700854700854701,1.8956829868590361,-1.5401886925899273,12.437510542666677,-7.45593823200258,1.4797970608233495,21.108753142808446,-15.743693506134177,33.51282051282051,0.48673631742500434,0.6598238769942066,-0.25218650942450727,148673.63174250044,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
