hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,portfolio_run
breakout_after_accumulation_v3,CTD,2025-01-03,2025-02-05,62.691329999999994,70.78459,700,43883.931,49450.114574,5566.183574000002,12.68387641480888,TRAILING_ATR_STOP,18,breakout_after_accumulation_v3
breakout_after_accumulation_v3,CTD,2025-02-05,2025-02-27,70.85540999999999,82.69863,100,7085.540999999999,8253.323273999998,1167.7822739999992,16.481201280184525,TRAILING_ATR_STOP,16,breakout_after_accumulation_v3
breakout_after_accumulation_v3,NAB,2025-02-27,2025-03-03,14.48724,14.152920000000002,1200,17384.688,16949.536992,-435.1510079999971,-2.5030705641654145,ATR_STOP,2,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VGC,2025-01-03,2025-03-04,44.802389999999995,49.71513,1100,49282.62899999999,54577.269714,5294.640714000008,10.74342181298812,TRAILING_ATR_STOP,37,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SBT,2025-02-05,2025-03-05,12.036014999999999,12.873560000000001,1100,13239.616499999998,14132.594168000001,892.9776680000032,6.744739683358678,TRAILING_ATR_STOP,20,breakout_after_accumulation_v3
breakout_after_accumulation_v3,PLX,2025-03-05,2025-03-06,43.08153,42.258860000000006,300,12924.459,12652.302684000002,-272.1563159999987,-2.1057462908118527,ATR_STOP,1,breakout_after_accumulation_v3
breakout_after_accumulation_v3,EIB,2025-03-03,2025-03-13,21.510749999999998,20.9895,700,15057.524999999998,14663.2647,-394.2602999999981,-2.618360587148274,ATR_STOP,8,breakout_after_accumulation_v3
breakout_after_accumulation_v3,DXS,2025-03-13,2025-03-18,7.543769999999999,7.686155000000001,2000,15087.539999999999,15341.565380000004,254.0253800000046,1.6836765967149356,ATR_STOP,3,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VRE,2025-03-04,2025-03-25,17.608800000000002,19.1904,3200,56348.16,61286.46144,4938.301439999996,8.763908954613594,TRAILING_ATR_STOP,15,breakout_after_accumulation_v3
breakout_after_accumulation_v3,DXG,2025-03-18,2025-03-31,14.66733,13.623185000000001,1000,14667.33,13595.93863,-1071.3913699999994,-7.304610791466472,ATR_STOP,9,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VCG,2025-02-05,2025-04-04,18.36918,17.241375,700,12858.426,12044.824575,-813.6014249999989,-6.327379610848163,ATR_STOP,42,breakout_after_accumulation_v3
breakout_after_accumulation_v3,CTG,2025-02-05,2025-04-04,27.203595,24.917535,500,13601.7975,12433.849965,-1167.9475350000012,-8.586714623563548,ATR_STOP,42,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SBT,2025-03-06,2025-04-15,13.636815,13.91304,1000,13636.815,13885.21392,248.39891999999963,1.8215317872978376,TRAILING_ATR_STOP,27,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VSC,2025-05-06,2025-05-14,18.98949,18.540725000000002,2000,37978.98,37007.2871,-971.6929000000018,-2.55850183443579,STOP_LOSS,6,breakout_after_accumulation_v3
breakout_after_accumulation_v3,GEX,2025-05-06,2025-05-29,18.639314999999996,24.22788,2100,39142.56149999999,50776.790903999994,11634.229404000005,29.722708372061977,TAKE_PROFIT,17,breakout_after_accumulation_v3
breakout_after_accumulation_v3,GEE,2025-05-14,2025-05-29,46.813395,57.201385,200,9362.679,11417.396446,2054.7174460000006,21.945828175888554,TRAILING_ATR_STOP,11,breakout_after_accumulation_v3
breakout_after_accumulation_v3,EIB,2025-05-14,2025-06-04,19.70985,23.238375,600,11825.91,13915.138950000002,2089.2289500000024,17.666538558132125,TRAILING_ATR_STOP,15,breakout_after_accumulation_v3
breakout_after_accumulation_v3,TCB,2025-06-04,2025-06-09,30.895439999999997,29.50524,500,15447.72,14723.11476,-724.605239999999,-4.690693772284835,ATR_STOP,3,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VHM,2025-05-29,2025-06-10,75.73785,68.46575,400,30295.14,27331.5274,-2963.6126000000004,-9.782468739210316,STOP_LOSS,8,breakout_after_accumulation_v3
breakout_after_accumulation_v3,DXS,2025-06-09,2025-06-10,8.994495,8.495750000000001,1900,17089.540500000003,16109.641150000001,-979.8993500000015,-5.733912798884214,STOP_LOSS,1,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VRE,2025-05-29,2025-06-13,26.813399999999998,24.7876,1200,32176.079999999998,29685.629760000003,-2490.4502399999947,-7.740067279792923,STOP_LOSS,11,breakout_after_accumulation_v3
breakout_after_accumulation_v3,DPM,2025-06-11,2025-06-17,19.34967,20.1899,2200,42569.274,44328.94444000001,1759.670440000009,4.133663261440656,TRAILING_ATR_STOP,4,breakout_after_accumulation_v3
breakout_after_accumulation_v3,NLG,2025-05-14,2025-06-20,29.85492,33.88305,400,11941.968,13526.11356,1584.145559999999,13.265364301763318,TRAILING_ATR_STOP,27,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HT1,2025-06-12,2025-06-23,12.086039999999999,11.484255000000001,100,1208.6039999999998,1146.128649,-62.47535099999982,-5.169215971484443,ATR_STOP,7,breakout_after_accumulation_v3
breakout_after_accumulation_v3,NVL,2025-05-07,2025-07-09,12.30615,15.792100000000001,2900,35687.835,45705.495820000004,10017.660820000005,28.070239676909523,MAX_HOLDING,45,breakout_after_accumulation_v3
breakout_after_accumulation_v3,CTG,2025-06-23,2025-07-29,28.094039999999996,31.394295000000003,100,2809.4039999999995,3133.150641,323.74664100000064,11.523676943579517,TRAILING_ATR_STOP,26,breakout_after_accumulation_v3
breakout_after_accumulation_v3,MSB,2025-07-09,2025-07-29,10.675334999999999,12.283854999999999,4400,46971.473999999995,53940.864076,6969.390076000003,14.837494935756125,TRAILING_ATR_STOP,14,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HDB,2025-07-29,2025-07-30,21.910949999999996,20.419785,1300,28484.234999999993,26492.629059,-1991.6059409999943,-6.991958678195131,STOP_LOSS,1,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SSB,2025-07-29,2025-07-30,20.71035,19.840075000000002,1300,26923.454999999998,25740.513305000004,-1182.941694999994,-4.393721738164713,ATR_STOP,1,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VGC,2025-07-31,2025-08-01,61.01048999999999,57.801085,800,48808.39199999999,46148.386264,-2660.005735999992,-5.449894223108174,STOP_LOSS,1,breakout_after_accumulation_v3
breakout_after_accumulation_v3,STB,2025-06-13,2025-08-05,44.72235,50.3748,600,26833.41,30164.43024,3331.0202400000016,12.41370455711742,TRAILING_ATR_STOP,37,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SHB,2025-08-01,2025-08-05,15.277634999999998,17.091450000000002,1600,24444.215999999997,27291.627360000002,2847.4113600000055,11.64860987973599,TRAILING_ATR_STOP,2,breakout_after_accumulation_v3
breakout_after_accumulation_v3,REE,2025-06-17,2025-08-19,68.2341,64.91752500000001,600,40940.46,38872.613970000006,-2067.8460299999933,-5.050861739218351,MAX_HOLDING,45,breakout_after_accumulation_v3
breakout_after_accumulation_v3,KBC,2025-08-01,2025-08-20,32.016,40.029975,800,25612.8,31959.93204,6347.13204,24.781093984257872,TRAILING_ATR_STOP,13,breakout_after_accumulation_v3
