hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,portfolio_run
leader_pullback_market_healthy_v2,CTG,2022-07-22,2022-09-19,16.94847,15.912040000000001,4100,69488.727,65108.885272,-4379.841727999999,-6.302952891912956,STOP_LOSS,39,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,SAB,2022-08-03,2022-10-28,74.33715,75.86205000000001,400,29734.859999999997,30284.130360000003,549.2703600000059,1.8472269921567008,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,POW,2022-12-05,2022-12-06,9.88494,9.505245,1300,12850.422,12332.104863,-518.317137,-4.03346393604817,STOP_LOSS,1,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,TCB,2022-12-05,2022-12-06,13.946969999999999,13.603195,900,12552.273,12218.389749,-333.8832509999993,-2.659942553830683,STOP_LOSS,1,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,SHB,2022-12-05,2022-12-06,7.103549999999999,6.946525,1800,12786.39,12478.73751,-307.6524899999986,-2.40609343215715,STOP_LOSS,1,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,STB,2022-12-06,2022-12-07,22.261125,20.539725,600,13356.675,12299.18733,-1057.4876699999986,-7.917297306402968,STOP_LOSS,1,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,VIC,2022-12-05,2022-12-12,34.417199999999994,33.88305,300,10325.159999999998,10144.585169999998,-180.57482999999957,-1.7488816638192493,STOP_LOSS,5,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,VHM,2022-12-06,2022-12-12,58.32914999999999,54.172900000000006,200,11665.829999999998,10812.910840000002,-852.9191599999958,-7.3112599789298836,STOP_LOSS,4,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,SSI,2022-12-06,2022-12-21,13.616805,13.463265000000002,1000,13616.805,13436.33847,-180.4665299999997,-1.3253221295303832,STOP_LOSS,11,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,GVR,2022-12-15,2022-12-21,14.787389999999998,13.713140000000001,1500,22181.085,20528.570580000003,-1652.5144199999959,-7.450106340605051,STOP_LOSS,4,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,TCB,2022-12-09,2022-12-26,13.44672,12.873560000000001,3300,44374.176,42397.78250400001,-1976.3934959999897,-4.453927203065111,STOP_LOSS,11,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,HPG,2022-12-22,2022-12-26,14.477235,13.863065,200,2895.447,2767.067774,-128.37922600000002,-4.433830976702389,STOP_LOSS,2,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,VPB,2022-12-23,2023-02-13,16.26813,15.502245,1700,27655.821,26301.108867,-1354.712133000001,-4.898470137624917,STOP_LOSS,30,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,SSI,2023-02-21,2023-02-23,13.876934999999998,12.873560000000001,600,8326.160999999998,7708.687728000001,-617.4732719999975,-7.41606212034571,STOP_LOSS,2,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,HDB,2023-02-21,2023-02-27,9.58479,8.905545,900,8626.311,7998.960519,-627.3504809999995,-7.2725233416694515,STOP_LOSS,4,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,ACB,2022-12-05,2023-03-07,13.8069,14.492750000000001,900,12426.210000000001,13017.38805,591.1780499999986,4.757508926696061,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,STB,2022-12-22,2023-03-24,23.761875,25.237375,100,2376.1875,2518.6900250000003,142.50252500000033,5.997107761908533,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,FPT,2023-01-04,2023-04-05,50.275124999999996,50.024975,900,45247.612499999996,44932.432545,-315.17995499999233,-0.6965670398631362,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,POW,2023-02-21,2023-05-19,10.50525,11.07446,800,8404.2,8841.848864,437.64886399999887,5.207501772923048,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,TPB,2023-03-10,2023-06-05,11.295644999999999,14.212890000000002,100,1129.5645,1418.4464220000002,288.88192200000026,25.574628274879416,TAKE_PROFIT,58,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,SHB,2023-03-28,2023-06-23,6.573285,7.866065000000001,900,5915.9565,7065.299583000001,1149.3430830000007,19.42784878489219,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,SSI,2023-04-05,2023-06-28,14.94747,18.430780000000002,2300,34379.181,42306.012412000004,7926.831412000007,23.057068788229735,TAKE_PROFIT,57,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,MBB,2023-04-05,2023-07-03,10.16508,11.264365,3400,34561.272,38222.243318,3660.9713180000035,10.592698434247453,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,GVR,2023-05-11,2023-07-07,16.228109999999997,19.760115,100,1622.8109999999997,1972.0594769999998,349.2484770000001,21.52120468742202,TAKE_PROFIT,41,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,STB,2023-05-19,2023-08-11,27.363675,30.734625,100,2736.3675000000003,3067.315575,330.9480749999998,12.094430846733847,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,MWG,2023-06-27,2023-08-15,42.98148,53.3733,100,4298.148,5326.65534,1028.50734,23.929081548611173,TAKE_PROFIT,35,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,VHM,2023-05-26,2023-08-18,55.027499999999996,60.769600000000004,100,5502.75,6064.80608,562.0560800000003,10.21409440734179,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,MWG,2023-08-15,2023-08-18,53.4267,52.683645000000006,100,5342.67,5257.827771,-84.84222899999986,-1.5880117806265381,STOP_LOSS,3,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,SSI,2023-07-05,2023-08-30,18.519255,22.448770000000003,4500,83336.6475,100817.42607000002,17480.77857000001,20.976100064500447,TAKE_PROFIT,40,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,HPG,2023-06-19,2023-09-13,17.778885,21.80909,100,1777.8884999999998,2176.5471820000002,398.65868200000045,22.42315432042001,TAKE_PROFIT,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,SSI,2023-09-13,2023-09-22,25.11255,23.32833,100,2511.255,2328.167334,-183.0876659999999,-7.290683980718799,STOP_LOSS,7,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,TPB,2023-08-31,2023-09-25,14.14707,13.343325,7100,100444.197,94548.132285,-5896.064715,-5.869990393770583,STOP_LOSS,15,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,CTG,2023-08-18,2023-09-28,19.839914999999998,18.83058,700,13887.940499999999,13155.043188000001,-732.8973119999973,-5.277220996158483,STOP_LOSS,27,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,MBB,2023-07-12,2023-10-06,11.775884999999999,11.524235,200,2355.1769999999997,2300.2373059999995,-54.939694000000145,-2.3327203857714367,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,BID,2023-11-16,2024-01-19,32.106045,39.130425,2400,77054.508,93725.19396,16670.685960000003,21.634926226509684,TAKE_PROFIT,45,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,GVR,2023-12-05,2024-02-16,20.180085000000002,24.307840000000002,1600,32288.136000000002,38814.758912000005,6526.6229120000025,20.213687504289506,TAKE_PROFIT,47,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,SSI,2023-11-27,2024-02-27,22.161074999999997,24.437775000000002,100,2216.1074999999996,2438.8899450000004,222.78244500000073,10.052871758251834,MAX_HOLDING,60,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,VPB,2024-01-22,2024-03-18,18.359175,17.231379999999998,100,1835.9175,1719.6917239999998,-116.22577600000022,-6.330664422557126,STOP_LOSS,35,leader_pullback_market_healthy_v2
leader_pullback_market_healthy_v2,VRE,2024-03-19,2024-03-20,28.514249999999997,26.88655,100,2851.4249999999997,2683.27769,-168.14730999999983,-5.89695713546735,STOP_LOSS,1,leader_pullback_market_healthy_v2
