date,equity,cash,positions,gross_exposure,portfolio_run
2022-05-09,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-10,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-11,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-12,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-13,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-16,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-17,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-18,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-19,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-20,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-23,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-24,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-25,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-26,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-27,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-30,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-05-31,100000.0,100000.0,0,0.0,breakout_after_accumulation_v3
2022-06-01,101716.67224000001,4336.672240000014,1,0.9573651777580016,breakout_after_accumulation_v3
2022-06-02,100024.67224000001,4336.672240000014,1,0.956643974502665,breakout_after_accumulation_v3
2022-06-03,104272.67224000001,4336.672240000014,1,0.9584102704300271,breakout_after_accumulation_v3
2022-06-06,108880.67224000001,4336.672240000014,1,0.9601704127024407,breakout_after_accumulation_v3
2022-06-07,108952.67224000003,4336.672240000014,1,0.9601967335831174,breakout_after_accumulation_v3
2022-06-08,108076.67224000001,4336.672240000014,1,0.9598741139034166,breakout_after_accumulation_v3
2022-06-09,107020.67224,4336.672240000014,1,0.9594781816519076,breakout_after_accumulation_v3
2022-06-10,99856.67224000001,4336.672240000014,1,0.9565710318327346,breakout_after_accumulation_v3
2022-06-13,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-14,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-15,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-16,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-17,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-20,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-21,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-22,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-23,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-24,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-27,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-28,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
2022-06-29,96649.40478400003,96649.40478400003,0,0.0,breakout_after_accumulation_v3
