hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,portfolio_run
breakout_after_accumulation_v3,VSC,2025-05-06,2025-05-14,18.98949,18.540725000000002,1800,34181.082,33306.55839,-874.5236100000038,-2.558501834435796,STOP_LOSS,6,breakout_after_accumulation_v3
breakout_after_accumulation_v3,GEX,2025-05-06,2025-05-29,18.639314999999996,24.22788,1800,33550.76699999999,43522.963632,9972.196632000007,29.722708372061984,TAKE_PROFIT,17,breakout_after_accumulation_v3
breakout_after_accumulation_v3,GEE,2025-05-14,2025-05-29,46.813395,57.201385,100,4681.3395,5708.698223,1027.3587230000003,21.945828175888554,TRAILING_ATR_STOP,11,breakout_after_accumulation_v3
breakout_after_accumulation_v3,MWG,2025-05-14,2025-06-02,62.93145,61.08944,100,6293.1449999999995,6096.726112,-196.41888799999924,-3.1211562422286354,ATR_STOP,13,breakout_after_accumulation_v3
breakout_after_accumulation_v3,EIB,2025-05-14,2025-06-04,19.70985,23.238375,400,7883.94,9276.7593,1392.8193,17.666538558132107,TRAILING_ATR_STOP,15,breakout_after_accumulation_v3
breakout_after_accumulation_v3,PAN,2025-06-03,2025-06-09,27.953969999999998,26.68665,200,5590.794,5326.65534,-264.1386599999996,-4.724528573222329,STOP_LOSS,4,breakout_after_accumulation_v3
breakout_after_accumulation_v3,TCB,2025-06-04,2025-06-09,30.895439999999997,29.50524,300,9268.632,8833.868856000001,-434.76314399999865,-4.690693772284828,ATR_STOP,3,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VHM,2025-05-29,2025-06-10,75.73785,68.46575,300,22721.355,20498.645549999997,-2222.709450000002,-9.782468739210325,STOP_LOSS,8,breakout_after_accumulation_v3
breakout_after_accumulation_v3,DXS,2025-06-09,2025-06-10,8.994495,8.495750000000001,1600,14391.192000000001,13566.0136,-825.1784000000007,-5.7339127988842105,STOP_LOSS,1,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VRE,2025-05-29,2025-06-13,26.813399999999998,24.7876,900,24132.059999999998,22264.22232,-1867.837679999997,-7.740067279792927,STOP_LOSS,11,breakout_after_accumulation_v3
