date,equity,cash,positions,gross_exposure,regime,active_strategies
2026-01-08,100000.0,100000.0,0,0.0,,breakout_after_accumulation_v3
2026-01-09,104154.01302000003,5899.013020000028,2,0.9433625949787717,,breakout_after_accumulation_v3
2026-01-12,110964.01302000003,5899.013020000028,2,0.9468385032277374,,breakout_after_accumulation_v3
2026-01-13,110841.20860750004,10361.208607500044,5,0.9065220531455036,,breakout_after_accumulation_v3
2026-01-14,113433.39491750006,2488.3949175000525,4,0.9780629424050133,,breakout_after_accumulation_v3
2026-01-15,113543.30288250005,10358.302882500055,5,0.9087722250495098,,breakout_after_accumulation_v3
2026-01-16,111763.30288250005,10358.302882500055,5,0.9073192844578866,,breakout_after_accumulation_v3
2026-01-19,115378.30288250005,10358.302882500055,5,0.9102231301404318,,breakout_after_accumulation_v3
2026-01-20,117408.30288250005,10358.302882500055,5,0.9117753802057216,,breakout_after_accumulation_v3
2026-01-21,113127.72688250008,4937.726882500079,5,0.9563526376904166,,breakout_after_accumulation_v3
2026-01-22,112672.72688250008,4937.726882500079,5,0.956176378977236,,breakout_after_accumulation_v3
2026-01-23,111136.65934250009,87191.65934250009,2,0.21545545944661235,,breakout_after_accumulation_v3
2026-01-26,111119.86556750009,105869.86556750009,1,0.047246277460719854,,breakout_after_accumulation_v3
2026-01-27,111129.86556750009,105869.86556750009,1,0.04733201082480465,,breakout_after_accumulation_v3
2026-01-28,111059.86556750009,105869.86556750009,1,0.046731553054560615,,breakout_after_accumulation_v3
2026-01-29,111059.86556750009,105869.86556750009,1,0.046731553054560615,,breakout_after_accumulation_v3
2026-01-30,111259.86556750009,105869.86556750009,1,0.0484451421229693,,breakout_after_accumulation_v3
2026-02-02,111692.07798250011,40602.07798250011,2,0.6364820252617949,,breakout_after_accumulation_v3
2026-02-03,110062.07798250011,40602.07798250011,2,0.6310983880482809,,breakout_after_accumulation_v3
2026-02-04,111152.13300750012,592.133007500117,3,0.9946727697302924,,breakout_after_accumulation_v3
2026-02-05,108632.13300750012,592.133007500117,3,0.9945491910072387,,breakout_after_accumulation_v3
2026-02-06,107365.22079750012,63225.22079750012,2,0.4111200971052979,,breakout_after_accumulation_v3
2026-02-09,106535.22079750012,63225.22079750012,2,0.4065322216989884,,breakout_after_accumulation_v3
2026-02-10,107035.46471750012,107035.46471750012,0,0.0,,breakout_after_accumulation_v3
