hypothesis,symbol,signal_date,entry_date,exit_date,hold,entry_price,exit_price,pnl_pct,holding_bars,rank
leader_pullback_market_healthy,CTG,2022-07-21,2022-07-22,2022-08-05,10,16.94,17.8,5.0767414403778,10,4.0
leader_pullback_market_healthy,CTG,2022-07-21,2022-07-22,2022-08-19,20,16.94,17.34,2.3612750885478073,20,4.0
leader_pullback_market_healthy,CTG,2022-07-21,2022-07-22,2022-09-06,30,16.94,17.34,2.3612750885478073,30,4.0
leader_pullback_market_healthy,CTG,2022-07-21,2022-07-22,2022-10-18,60,16.94,14.11,-16.706021251475807,60,4.0
leader_pullback_market_healthy,VIB,2022-07-22,2022-07-25,2022-08-08,10,13.07,13.15,0.6120887528691665,10,4.0
leader_pullback_market_healthy,VIB,2022-07-22,2022-07-25,2022-08-22,20,13.07,12.56,-3.9020657995409316,20,4.0
leader_pullback_market_healthy,VIB,2022-07-22,2022-07-25,2022-09-07,30,13.07,12.32,-5.738332058148432,30,4.0
leader_pullback_market_healthy,VIB,2022-07-22,2022-07-25,2022-10-19,60,13.07,10.26,-21.49961744452946,60,4.0
leader_pullback_market_healthy,SAB,2022-07-26,2022-07-27,2022-08-10,10,67.02,72.69,8.460161145926593,10,4.0
leader_pullback_market_healthy,SAB,2022-07-26,2022-07-27,2022-08-24,20,67.02,74.69,11.444344971650258,20,4.0
leader_pullback_market_healthy,SAB,2022-07-26,2022-07-27,2022-09-09,30,67.02,77.41,15.502834974634439,30,4.0
leader_pullback_market_healthy,SAB,2022-07-26,2022-07-27,2022-10-21,60,67.02,77.1,15.040286481647266,60,4.0
leader_pullback_market_healthy,BVH,2022-07-27,2022-07-28,2022-08-11,10,50.47,49.77,-1.3869625520110873,10,4.0
leader_pullback_market_healthy,BVH,2022-07-27,2022-07-28,2022-08-25,20,50.47,50.03,-0.8718050326926843,20,4.0
leader_pullback_market_healthy,BVH,2022-07-27,2022-07-28,2022-09-12,30,50.47,49.68,-1.565286308698235,30,4.0
leader_pullback_market_healthy,BVH,2022-07-27,2022-07-28,2022-10-24,60,50.47,42.04,-16.702991876362194,60,4.0
leader_pullback_market_healthy,STB,2022-07-28,2022-07-29,2022-08-12,10,24.65,25.65,4.056795131845842,10,3.25
leader_pullback_market_healthy,STB,2022-07-28,2022-07-29,2022-08-26,20,24.65,25.1,1.8255578093306404,20,3.25
leader_pullback_market_healthy,STB,2022-07-28,2022-07-29,2022-09-13,30,24.65,23.05,-6.490872210953338,30,3.25
leader_pullback_market_healthy,STB,2022-07-28,2022-07-29,2022-10-25,60,24.65,14.9,-39.55375253549695,60,3.25
leader_pullback_market_healthy,VIB,2022-07-28,2022-07-29,2022-08-12,10,13.32,12.98,-2.5525525525525516,10,2.75
leader_pullback_market_healthy,VIB,2022-07-28,2022-07-29,2022-08-26,20,13.32,12.77,-4.129129129129135,20,2.75
leader_pullback_market_healthy,VIB,2022-07-28,2022-07-29,2022-09-13,30,13.32,11.75,-11.786786786786788,30,2.75
leader_pullback_market_healthy,VIB,2022-07-28,2022-07-29,2022-10-25,60,13.32,9.68,-27.327327327327332,60,2.75
leader_pullback_market_healthy,BVH,2022-07-29,2022-08-01,2022-08-15,10,50.65,50.82,0.3356367226061238,10,4.0
leader_pullback_market_healthy,BVH,2022-07-29,2022-08-01,2022-08-29,20,50.65,50.3,-0.6910167818361331,20,4.0
leader_pullback_market_healthy,BVH,2022-07-29,2022-08-01,2022-09-14,30,50.65,49.52,-2.2309970384994977,30,4.0
leader_pullback_market_healthy,BVH,2022-07-29,2022-08-01,2022-10-26,60,50.65,44.95,-11.25370187561697,60,4.0
leader_pullback_market_healthy,SSI,2022-08-01,2022-08-02,2022-08-16,10,15.35,16.41,6.905537459283392,10,3.0
leader_pullback_market_healthy,SSI,2022-08-01,2022-08-02,2022-08-30,20,15.35,15.98,4.104234527687302,20,3.0
leader_pullback_market_healthy,SSI,2022-08-01,2022-08-02,2022-09-15,30,15.35,14.45,-5.863192182410425,30,3.0
leader_pullback_market_healthy,SSI,2022-08-01,2022-08-02,2022-10-27,60,15.35,10.58,-31.074918566775242,60,3.0
leader_pullback_market_healthy,GVR,2022-08-01,2022-08-02,2022-08-16,10,22.89,23.17,1.2232415902140723,10,2.9
leader_pullback_market_healthy,GVR,2022-08-01,2022-08-02,2022-08-30,20,22.89,24.9,8.781127129750974,20,2.9
leader_pullback_market_healthy,GVR,2022-08-01,2022-08-02,2022-09-15,30,22.89,23.84,4.150283966797725,30,2.9
leader_pullback_market_healthy,GVR,2022-08-01,2022-08-02,2022-10-27,60,22.89,13.82,-39.624290083005675,60,2.9
leader_pullback_market_healthy,BID,2022-08-01,2022-08-02,2022-08-16,10,28.0,29.37,4.892857142857147,10,2.6
leader_pullback_market_healthy,BID,2022-08-01,2022-08-02,2022-08-30,20,28.0,28.87,3.1071428571428608,20,2.6
leader_pullback_market_healthy,BID,2022-08-01,2022-08-02,2022-09-15,30,28.0,25.92,-7.428571428571423,30,2.6
leader_pullback_market_healthy,BID,2022-08-01,2022-08-02,2022-10-27,60,28.0,24.59,-12.178571428571429,60,2.6
leader_pullback_market_healthy,BCM,2022-08-01,2022-08-02,2022-08-16,10,71.45,75.82,6.11616515045485,10,2.0
leader_pullback_market_healthy,BCM,2022-08-01,2022-08-02,2022-08-30,20,71.45,86.15,20.57382785164451,20,2.0
leader_pullback_market_healthy,BCM,2022-08-01,2022-08-02,2022-09-15,30,71.45,92.77,29.83904828551433,30,2.0
leader_pullback_market_healthy,BCM,2022-08-01,2022-08-02,2022-10-27,60,71.45,78.04,9.223233030090977,60,2.0
leader_pullback_market_healthy,SAB,2022-08-01,2022-08-02,2022-08-16,10,72.69,75.1,3.315449167698441,10,1.5000000000000002
leader_pullback_market_healthy,SAB,2022-08-01,2022-08-02,2022-08-30,20,72.69,75.06,3.2604209657449505,20,1.5000000000000002
leader_pullback_market_healthy,SAB,2022-08-01,2022-08-02,2022-09-15,30,72.69,74.02,1.8296877149539117,30,1.5000000000000002
leader_pullback_market_healthy,SAB,2022-08-01,2022-08-02,2022-10-27,60,72.69,75.06,3.2604209657449505,60,1.5000000000000002
leader_pullback_market_healthy,SAB,2022-08-02,2022-08-03,2022-08-17,10,74.3,75.29,1.3324360699865534,10,4.0
leader_pullback_market_healthy,SAB,2022-08-02,2022-08-03,2022-08-31,20,74.3,75.06,1.0228802153432102,20,4.0
leader_pullback_market_healthy,SAB,2022-08-02,2022-08-03,2022-09-16,30,74.3,74.02,-0.37685060565276063,30,4.0
leader_pullback_market_healthy,SAB,2022-08-02,2022-08-03,2022-10-28,60,74.3,74.34,0.05383580080754543,60,4.0
leader_pullback_market_healthy,SSI,2022-08-03,2022-08-04,2022-08-18,10,15.89,16.74,5.349276274386393,10,4.0
leader_pullback_market_healthy,SSI,2022-08-03,2022-08-04,2022-09-05,20,15.89,15.81,-0.5034612964128387,20,4.0
