date,equity,cash,positions,gross_exposure,portfolio_run
2022-05-09,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-10,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-11,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-12,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-13,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-16,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-17,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-18,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-19,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-20,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-23,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-24,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-25,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-26,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-27,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-30,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-05-31,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-01,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-02,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-03,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-06,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-07,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-08,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-09,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-10,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-13,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-14,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-15,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-16,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-17,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-20,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-21,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-22,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-23,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-24,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-27,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-28,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-29,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-06-30,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
2022-07-01,100000.0,100000.0,0,0.0,leader_pullback_market_healthy
