hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,portfolio_run
breakout_after_accumulation_v3,GVR,2023-05-11,2023-05-16,16.228109999999997,15.53223,6100,98991.47099999999,94557.109794,-4434.361205999987,-4.479538652375402,ATR_STOP,3,breakout_after_accumulation_v3
breakout_after_accumulation_v3,TPB,2023-05-16,2023-06-05,12.366179999999998,14.212890000000002,7700,95219.58599999998,109220.37449400002,14000.788494000037,14.703685535872882,TRAILING_ATR_STOP,14,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SHB,2023-06-06,2023-08-08,7.493745,9.815090000000001,14500,108659.30249999999,142034.16739000002,33374.864890000026,30.715147366236803,MAX_HOLDING,45,breakout_after_accumulation_v3
breakout_after_accumulation_v3,CTG,2023-08-08,2023-08-10,20.17008,19.940025000000002,7000,141190.56,139301.01465000003,-1889.5453499999712,-1.3382943944694117,ATR_STOP,2,breakout_after_accumulation_v3
breakout_after_accumulation_v3,STB,2023-08-14,2023-10-03,31.915949999999995,30.634675,4400,140430.18,134522.98486,-5907.195139999996,-4.206499728192328,ATR_STOP,34,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VJC,2023-11-09,2023-11-17,113.0565,108.64565,300,33916.95,32528.50761,-1388.4423899999965,-4.0936534387673325,ATR_STOP,6,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VIB,2023-11-15,2023-11-20,12.88644,12.29385,1000,12886.44,12269.2623,-617.1777000000002,-4.789357650367364,ATR_STOP,3,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HDB,2023-11-09,2023-11-28,11.66583,11.164415,3800,44330.154,42339.927446,-1990.2265540000008,-4.489554793786642,ATR_STOP,13,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HPG,2023-11-09,2024-01-12,20.43021,20.70964,2100,42903.441,43403.263512,499.8225119999988,1.164993996635372,MAX_HOLDING,45,breakout_after_accumulation_v3
breakout_after_accumulation_v3,BVH,2024-01-12,2024-01-16,40.290135,39.290345,1100,44319.148499999996,43132.940741000006,-1186.20775899999,-2.6765129727164996,ATR_STOP,2,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SSI,2023-12-05,2024-02-07,23.35167,24.257865000000002,3700,86401.17899999999,89574.59229900001,3173.4132990000217,3.672881939493004,MAX_HOLDING,45,breakout_after_accumulation_v3
breakout_after_accumulation_v3,GVR,2024-01-30,2024-02-16,21.99099,24.307840000000002,100,2199.099,2425.9224320000003,226.82343200000014,10.314380207530453,TRAILING_ATR_STOP,8,breakout_after_accumulation_v3
breakout_after_accumulation_v3,TCB,2024-02-15,2024-02-23,17.728859999999997,19.240375,2500,44322.149999999994,48004.735625,3682.585625000007,8.308680027931874,TRAILING_ATR_STOP,6,breakout_after_accumulation_v3
breakout_after_accumulation_v3,MWG,2024-01-19,2024-02-26,45.012495,43.008485,900,40511.245500000005,38630.221227,-1881.0242730000027,-4.643215111715098,ATR_STOP,21,breakout_after_accumulation_v3
breakout_after_accumulation_v3,BID,2024-02-26,2024-03-08,43.18158,43.61818,900,38863.422,39177.849276,314.42727600000217,0.8090571025886557,ATR_STOP,9,breakout_after_accumulation_v3
breakout_after_accumulation_v3,MBB,2024-02-16,2024-03-11,15.397695,15.022485,200,3079.539,2998.488006,-81.05099400000017,-2.6319197126582963,ATR_STOP,16,breakout_after_accumulation_v3
breakout_after_accumulation_v3,TPB,2024-02-23,2024-03-11,14.10705,13.343325,1700,23981.984999999997,22638.285195,-1343.6998049999966,-5.602954905525947,ATR_STOP,11,breakout_after_accumulation_v3
breakout_after_accumulation_v3,BVH,2024-03-08,2024-03-11,43.451715,42.588695,300,13035.5145,12751.055283,-284.4592169999996,-2.182186341781904,ATR_STOP,1,breakout_after_accumulation_v3
breakout_after_accumulation_v3,CTG,2024-02-15,2024-03-18,24.422204999999998,23.818085,1800,43959.969,42786.807894,-1173.1611059999996,-2.6687032149635947,STOP_LOSS,22,breakout_after_accumulation_v3
breakout_after_accumulation_v3,MSN,2024-03-08,2024-03-18,81.0405,77.7611,100,8104.049999999999,7760.55778,-343.4922199999992,-4.238525428643694,ATR_STOP,6,breakout_after_accumulation_v3
breakout_after_accumulation_v3,GVR,2024-03-13,2024-03-18,31.465725,33.7831,1500,47198.5875,50573.30069999999,3374.713199999991,7.150030072404161,TRAILING_ATR_STOP,3,breakout_after_accumulation_v3
breakout_after_accumulation_v3,GVR,2024-03-18,2024-03-25,33.8169,32.02398,1400,47343.659999999996,44743.904856,-2599.755143999995,-5.491242426124206,ATR_STOP,5,breakout_after_accumulation_v3
breakout_after_accumulation_v3,TCB,2024-02-23,2024-04-04,19.259625,21.959015,1200,23111.55,26298.116363999998,3186.5663639999984,13.787765701564796,TRAILING_ATR_STOP,29,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VIB,2024-03-21,2024-04-08,15.877934999999999,15.072460000000001,200,3175.587,3008.463016,-167.12398399999984,-5.26277453585746,ATR_STOP,12,breakout_after_accumulation_v3
breakout_after_accumulation_v3,GAS,2024-03-18,2024-04-11,70.53524999999999,67.54621,700,49374.674999999996,47187.782306,-2186.8926939999947,-4.429178914089045,ATR_STOP,18,breakout_after_accumulation_v3
breakout_after_accumulation_v3,PLX,2024-03-08,2024-04-15,34.93746,34.34282,300,10481.238000000001,10282.240308000002,-198.997691999999,-1.898608656725465,ATR_STOP,26,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HDB,2024-03-27,2024-04-17,15.007499999999999,14.522735,3000,45022.49999999999,43481.06859,-1541.4314099999901,-3.423691287689467,ATR_STOP,15,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VJC,2024-04-15,2024-04-17,106.65329999999999,106.04695,400,42661.31999999999,42333.94244,-327.37755999999354,-0.7673873194734565,ATR_STOP,2,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VJC,2024-05-08,2024-05-22,117.95895,112.7436,700,82571.265,78762.67896,-3808.5860399999947,-4.612483580092899,ATR_STOP,10,breakout_after_accumulation_v3
breakout_after_accumulation_v3,POW,2024-05-28,2024-06-04,10.255125,11.1944,3800,38969.475,42453.64256,3484.1675600000017,8.940760839092654,TRAILING_ATR_STOP,5,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SAB,2024-05-09,2024-06-14,49.634805,54.552710000000005,900,44671.3245,48999.244122000004,4327.919622000001,9.68836198711771,TRAILING_ATR_STOP,26,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SSB,2024-06-24,2024-06-25,21.05052,19.89005,100,2105.0519999999997,1985.0269899999998,-120.02500999999984,-5.701759861514103,STOP_LOSS,1,breakout_after_accumulation_v3
breakout_after_accumulation_v3,POW,2024-06-04,2024-07-01,11.205599999999999,12.223885000000001,4000,44822.399999999994,48797.74892,3975.348920000004,8.869112140358402,TRAILING_ATR_STOP,19,breakout_after_accumulation_v3
breakout_after_accumulation_v3,MWG,2024-07-09,2024-07-17,66.283125,63.748110000000004,400,26513.25,25448.245512,-1065.0044879999987,-4.016876422166271,ATR_STOP,6,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HPG,2024-05-16,2024-07-18,23.95197,23.48825,100,2395.197,2344.12735,-51.06964999999991,-2.132169086718124,MAX_HOLDING,45,breakout_after_accumulation_v3
breakout_after_accumulation_v3,GVR,2024-05-28,2024-07-22,34.69734,33.20339,1100,38167.07399999999,36450.681542,-1716.3924579999948,-4.4970501485128125,ATR_STOP,39,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HDB,2024-07-10,2024-08-02,15.58779,16.441775,2800,43645.812,45944.89606,2299.084060000001,5.267593738432455,TRAILING_ATR_STOP,17,breakout_after_accumulation_v3
breakout_after_accumulation_v3,PLX,2024-07-09,2024-09-04,45.112545000000004,46.706635,600,27067.527000000002,27967.933038,900.4060379999974,3.3265175573667936,TRAILING_ATR_STOP,39,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SSB,2024-08-23,2024-09-04,19.659824999999998,18.740625,100,1965.9824999999998,1870.3143750000002,-95.66812499999969,-4.866173783337324,ATR_STOP,6,breakout_after_accumulation_v3
breakout_after_accumulation_v3,MWG,2024-08-19,2024-10-09,68.05400999999999,64.04796,800,54443.20799999999,51135.891264000005,-3307.316735999986,-6.07480135263151,ATR_STOP,35,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HDB,2024-08-19,2024-10-23,17.44872,17.341325,3100,54091.03200000001,53650.591285,-440.4407150000043,-0.8142582951643522,MAX_HOLDING,45,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HPG,2024-10-10,2024-10-23,23.011499999999998,22.198895000000004,2200,50625.299999999996,48739.89386200001,-1885.406137999984,-3.7242369684722543,ATR_STOP,9,breakout_after_accumulation_v3
breakout_after_accumulation_v3,VHM,2024-09-05,2024-10-24,42.72135,46.5767,700,29904.945,32538.482620000002,2633.537620000003,8.806361690349215,TRAILING_ATR_STOP,35,breakout_after_accumulation_v3
breakout_after_accumulation_v3,BVH,2024-12-03,2024-12-18,47.70384,50.894540000000006,1900,90637.296,96506.22674800002,5868.930748000013,6.475182962210185,TRAILING_ATR_STOP,11,breakout_after_accumulation_v3
breakout_after_accumulation_v3,ACB,2024-12-06,2024-12-19,21.320655,20.919535,500,10660.3275,10438.847964999999,-221.4795350000004,-2.0776053549949607,ATR_STOP,9,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HDB,2024-12-10,2024-12-30,17.358675,19.23038,200,3471.735,3838.383848,366.6488479999998,10.560968737533246,TRAILING_ATR_STOP,14,breakout_after_accumulation_v3
breakout_after_accumulation_v3,SSI,2024-12-26,2025-01-03,23.551769999999998,22.998495000000002,1500,35327.655,34428.747015,-898.907984999998,-2.544488121274956,ATR_STOP,5,breakout_after_accumulation_v3
breakout_after_accumulation_v3,HDB,2024-12-30,2025-01-08,19.249619999999997,18.65067,400,7699.847999999999,7445.347464000001,-254.50053599999774,-3.305267013063086,ATR_STOP,6,breakout_after_accumulation_v3
breakout_after_accumulation_v3,BCM,2024-12-26,2025-01-10,68.15406,70.24486,500,34077.03,35052.18514,975.1551400000026,2.8616201001084973,ATR_STOP,10,breakout_after_accumulation_v3
breakout_after_accumulation_v3,TCB,2024-12-06,2025-01-13,23.591789999999996,22.588700000000003,400,9436.715999999999,9017.409040000002,-419.30695999999625,-4.44335677792991,ATR_STOP,25,breakout_after_accumulation_v3
breakout_after_accumulation_v3,STB,2024-12-26,2025-01-13,36.468225000000004,34.9825,900,32821.402500000004,31421.2815,-1400.1210000000028,-4.265878034919448,ATR_STOP,11,breakout_after_accumulation_v3
