symbol,selected_hypothesis,train_trades,train_win_rate,train_avg_trade_pct,train_total_pnl_pct,train_profit_factor,router_score,fold,train_start,train_end,test_start,test_end
CTG,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.36868459170718154,2.580792141950271,1.442520755668647,0.9035136900418225,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
GAS,rotation_weekly_smt_money_cycle_v1,6,0.5,1.8155832997823673,10.893499798694204,2.9919017727614174,1.6734466287274035,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
HDB,rotation_weekly_smt_money_cycle_v1,6,0.6666666666666666,1.9255083990778454,11.553050394467073,8.611074668644758,2.6514522546021158,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
HPG,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.7452725438409323,5.2169078068865264,2.6227344454015786,1.4609710070710042,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
MBB,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,1.2456293784770043,8.71940564933903,2.7051753013278237,1.5902372278051968,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
SHB,rotation_weekly_smt_money_cycle_v1,4,1.0,4.2820050950681345,17.128020380272538,inf,2.9497403566547695,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
STB,rotation_weekly_smt_money_cycle_v1,10,0.6,1.024793825023331,10.247938250233311,1.7165518182364592,1.0841838859580397,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
TCB,rotation_weekly_smt_money_cycle_v1,5,0.6,0.34616644958058973,1.7308322479029485,1.1607752787069048,0.7865805268887485,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
VNM,rotation_weekly_smt_money_cycle_v1,4,1.0,0.8434672054622978,3.3738688218491912,inf,2.7090427043823606,1,2022-05-08,2023-05-07,2023-05-08,2023-08-07
ACB,rotation_weekly_smt_money_cycle_v1,4,0.75,0.35617546361283886,1.4247018544513554,2.1915764318798767,1.3111416767988433,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
