symbol,selected_hypothesis,train_trades,train_win_rate,train_avg_trade_pct,train_median_trade_pct,train_profit_factor,train_worst_trade_pct,validation_trades,validation_win_rate,validation_avg_trade_pct,validation_median_trade_pct,validation_profit_factor,validation_worst_trade_pct,router_score,fold,train_start,train_end,validation_start,test_start,test_end
SHB,rotation_weekly_smt_money_cycle_v1,4,1.0,4.2820050950681345,4.770572560022879,inf,0.6886042728325832,1,1.0,6.8982709873941985,6.8982709873941985,inf,6.8982709873941985,0.6257320558284769,1,2022-05-08,2023-05-07,2023-02-08,2023-05-08,2023-08-07
TPB,rotation_weekly_smt_money_cycle_v1,3,1.0,1.917807620461395,1.7093229204037972,inf,0.6803238237896277,2,1.0,2.5365495187972784,2.5365495187972784,inf,1.7093229204037972,0.5073110182819088,1,2022-05-08,2023-05-07,2023-02-08,2023-05-08,2023-08-07
FPT,rotation_monthly_smt_money_cycle_v1,3,1.0,2.5621344688588157,2.636603846527546,inf,1.5793721687025375,2,1.0,3.053515618936955,3.053515618936955,inf,2.636603846527546,0.520537361269408,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
GVR,leader_pullback_market_regime_v3,4,0.5,7.033585920655145,6.787311867073201,3.9366593812193247,-7.450106340605058,1,1.0,15.704907908882277,15.704907908882277,inf,15.704907908882277,0.630868378765111,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
HPG,rotation_weekly_smt_money_cycle_v1,9,0.6666666666666666,1.5953382777535543,0.6892170157946704,4.967883545115385,-2.583420706765364,2,0.5,3.387992389900466,3.387992389900466,3.6228731394992075,-2.583420706765364,0.5358141462771713,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
PLX,mean_reversion_uptrend_ma20_v1,3,0.6666666666666666,6.1689284281606795,7.870976543114675,5.16934170522716,-4.438778731251466,1,1.0,7.870976543114675,7.870976543114675,inf,7.870976543114675,0.5828860146466008,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
SHB,composite_edge_score_v1,3,0.6666666666666666,9.921032248412695,7.169649702835914,12.819899614164825,-2.5180498749388995,1,1.0,25.11149691734107,25.11149691734107,inf,25.11149691734107,0.7615848902686917,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
SSI,composite_edge_score_v2,3,0.6666666666666666,8.325053025555727,10.480721679037767,6.73733029074218,-4.353097662333887,1,1.0,18.847535059963302,18.847535059963302,inf,18.847535059963302,0.7290019560631479,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
TPB,mean_reversion_uptrend_ma20_v1,3,1.0,8.175486640891366,5.384913245131856,inf,4.15877674863806,1,1.0,14.982769928904183,14.982769928904183,inf,14.982769928904183,0.7808375725190166,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
VCB,composite_edge_score_v2,3,0.6666666666666666,4.791304874389373,4.9500875118256635,9.87829895540245,-1.6189942122214285,1,1.0,11.042821323563885,11.042821323563885,inf,11.042821323563885,0.6275293082736259,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
VHM,rotation_weekly_smt_money_cycle_v1,6,0.6666666666666666,0.29115739402960267,1.1789596924916754,1.3130292023814136,-4.8877262253828775,5,0.8,0.48799787208343426,2.1138499651477876,1.4992074530987127,-4.8877262253828775,0.2413317116531626,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
VNM,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,0.8417186874786754,1.1967166958948936,3.90446816861539,-1.190908074267716,4,0.5,0.7329947250722499,0.7342778108573017,2.4453148087906578,-1.190908074267716,0.41709394260938154,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
VPB,composite_edge_score_v2,3,0.6666666666666666,4.3763651838679545,6.829411837959685,2.721759240432354,-7.625395725076516,1,1.0,6.829411837959685,6.829411837959685,inf,6.829411837959685,0.4146414103527887,2,2022-08-08,2023-08-07,2023-05-08,2023-08-08,2023-11-07
SSI,composite_edge_score_v1,5,0.6,4.448424776153321,3.606582016204719,3.080119421676166,-6.147055054506907,1,1.0,3.606582016204719,3.606582016204719,inf,3.606582016204719,0.400447047544455,3,2022-11-08,2023-11-07,2023-08-08,2023-11-08,2024-02-07
TPB,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,0.7417570100220173,2.321385947727208,1.804742904643835,-4.7491827639899125,1,1.0,3.851392492212639,3.851392492212639,inf,3.851392492212639,0.3476688425777273,3,2022-11-08,2023-11-07,2023-08-08,2023-11-08,2024-02-07
ACB,rotation_weekly_smt_money_cycle_v1,3,1.0,3.4896732251627522,2.298669985120768,inf,1.1883133060335764,3,1.0,3.4896732251627522,2.298669985120768,inf,1.1883133060335764,0.5430750790414899,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
BID,rotation_weekly_smt_money_cycle_v1,4,0.5,0.9266707283325912,0.4815820624582968,1.9202499872830627,-2.0863879752250516,3,0.6666666666666666,1.882734540014286,2.9046848316290874,3.7071684112029093,-2.0863879752250516,0.26145498283590163,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
FPT,rotation_weekly_smt_money_cycle_v1,9,0.6666666666666666,0.4005861985321411,0.3027270185570041,1.425701289186768,-4.961096435688908,2,0.5,0.3346602209687992,0.3346602209687992,1.4314972151080998,-1.5511581963974406,0.28708516763273695,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
GVR,leader_pullback_market_regime_v3,3,1.0,15.9487703547873,21.69658661001675,inf,4.139898165265905,1,1.0,21.69658661001675,21.69658661001675,inf,21.69658661001675,0.8813005091736705,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
HDB,composite_edge_score_v2,4,0.5,6.499374909666126,4.824852110462717,6.5927548954003745,-3.412521930035895,1,1.0,19.760317347774965,19.760317347774965,inf,19.760317347774965,0.6942615556915903,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
HPG,composite_edge_score_v1,4,0.75,4.506402885446384,4.6537821333870735,3.323523540888919,-7.757877733784186,1,1.0,5.56204832312297,5.56204832312297,inf,5.56204832312297,0.45182642345026164,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
MBB,rotation_monthly_smt_money_cycle_v1,4,0.75,6.597231554814499,5.463387440859864,6.746556212321605,-4.592128788834537,1,1.0,20.054280126372806,20.054280126372806,inf,20.054280126372806,0.7297987521931066,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
MWG,rotation_weekly_smt_money_cycle_v1,5,0.8,2.7178930074662424,3.006982378869636,3.652600972423526,-5.123071724170905,1,1.0,3.006982378869636,3.006982378869636,inf,3.006982378869636,0.4356836368935605,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
SHB,composite_edge_score_v1,3,1.0,13.276461449934539,10.019301612511875,inf,1.8702674055958681,1,1.0,1.8702674055958681,1.8702674055958681,inf,1.8702674055958681,0.58125308243167,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
SSI,composite_edge_score_v2,4,1.0,12.05838811880666,8.547601033799609,inf,3.606582016204719,1,1.0,9.24266656739353,9.24266656739353,inf,9.24266656739353,0.7439346370636831,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
TCB,rotation_weekly_smt_money_cycle_v1,6,0.5,1.258841722285437,1.172146470438969,2.027770117685146,-4.166066235795003,2,1.0,5.889611588975152,5.889611588975152,inf,4.977037695349112,0.3531994318203675,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
VCB,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.2662774952764367,0.6943879082936162,1.5452782646972993,-1.3870703522469077,3,0.6666666666666666,1.0129936838762668,0.6943879082936162,5.712235311793188,-0.6449128387165262,0.2767798785788819,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
VHM,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.43759301061451794,1.1664300202840014,1.3386674064634174,-5.235406059346546,1,1.0,3.397268710142562,3.397268710142562,inf,3.397268710142562,0.28828190682671,4,2023-02-08,2024-02-07,2023-11-08,2024-02-08,2024-05-07
BID,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,2.3176183034118294,2.9046848316290905,7.314543919417726,-2.0863879752250516,4,0.75,2.643781125959987,2.1767221958150555,22.903178501875193,-0.4828123234686958,0.5181460075416556,5,2023-05-08,2024-05-07,2024-02-08,2024-05-08,2024-08-07
FPT,rotation_weekly_smt_money_cycle_v1,14,0.7142857142857143,0.8315182893280966,1.3310458902697624,2.0044571804964457,-4.961096435688908,5,0.8,1.6071960527608162,2.169568616682359,3.5751626363882605,-3.1205719399046474,0.3636049151920843,5,2023-05-08,2024-05-07,2024-02-08,2024-05-08,2024-08-07
GVR,composite_edge_score_v1,3,0.6666666666666666,9.640616283245022,16.523805179014907,6.662223773096618,-5.107860446482844,1,1.0,16.523805179014907,16.523805179014907,inf,16.523805179014907,0.7445230699218461,5,2023-05-08,2024-05-07,2024-02-08,2024-05-08,2024-08-07
HDB,composite_edge_score_v2,3,0.6666666666666666,8.320162461516956,7.1724313432149325,13.655770968613552,-1.9722613064390266,1,1.0,7.1724313432149325,7.1724313432149325,inf,7.1724313432149325,0.6079417702728124,5,2023-05-08,2024-05-07,2024-02-08,2024-05-08,2024-08-07
MWG,rotation_weekly_smt_money_cycle_v1,7,0.8571428571428571,3.1808329709218364,4.2253631057757834,5.34618759901439,-5.123071724170905,2,1.0,4.33818287956081,4.33818287956081,inf,4.266362320781985,0.5655906415018291,5,2023-05-08,2024-05-07,2024-02-08,2024-05-08,2024-08-07
TCB,rotation_weekly_smt_money_cycle_v1,6,0.5,3.726465657281555,3.011841328591579,4.042439712103442,-4.166066235795022,1,1.0,9.98231771748812,9.98231771748812,inf,9.98231771748812,0.5515786881219295,5,2023-05-08,2024-05-07,2024-02-08,2024-05-08,2024-08-07
VIB,composite_edge_score_v2,4,0.75,5.731891757158143,8.05356485697677,6.167074035965682,-4.437243760984277,2,0.5,3.4102186573395157,3.4102186573395157,2.537088715893785,-4.437243760984277,0.5169672048187062,5,2023-05-08,2024-05-07,2024-02-08,2024-05-08,2024-08-07
VIC,rotation_weekly_smt_money_cycle_v1,4,1.0,1.1666600444587714,1.047468633824158,inf,0.9808035431825467,2,1.0,1.297210241131801,1.297210241131801,inf,1.003521115259379,0.48896236012759137,5,2023-05-08,2024-05-07,2024-02-08,2024-05-08,2024-08-07
ACB,composite_edge_score_v2,3,0.6666666666666666,1.0469447017486664,0.05541615960468185,2.0589947302361944,-2.9658637720940106,1,1.0,0.05541615960468185,0.05541615960468185,inf,0.05541615960468185,0.24230075208922933,6,2023-08-08,2024-08-07,2024-05-08,2024-08-08,2024-11-07
BVH,rotation_weekly_smt_money_cycle_v1,4,0.75,1.7306351595517415,2.046267769380748,8.925452417642067,-0.873456841756741,2,1.0,2.046267769380748,2.046267769380748,inf,0.8645016140032455,0.4697556491080671,6,2023-08-08,2024-08-07,2024-05-08,2024-08-08,2024-11-07
FPT,composite_edge_score_v2,4,0.75,8.294021241401882,11.277559306746824,7.0116158516733735,-5.518663498162935,1,1.0,16.139629850276815,16.139629850276815,inf,16.139629850276815,0.7500523273830797,6,2023-08-08,2024-08-07,2024-05-08,2024-08-08,2024-11-07
HPG,rotation_weekly_smt_money_cycle_v1,11,0.45454545454545453,0.4766496561005132,-0.29975012493751513,1.4990765770602448,-2.8088257390772746,3,0.6666666666666666,0.29313444736975214,0.18937620314942324,1.3761708380297224,-2.3377764919665887,0.2810963977866299,6,2023-08-08,2024-08-07,2024-05-08,2024-08-08,2024-11-07
MBB,rotation_weekly_smt_money_cycle_v1,5,0.6,0.9541202928965424,1.8434194768480217,1.3125809611299692,-7.836348129586701,1,1.0,8.152807775017704,8.152807775017704,inf,8.152807775017704,0.33426083418240427,6,2023-08-08,2024-08-07,2024-05-08,2024-08-08,2024-11-07
MSN,rotation_weekly_smt_money_cycle_v1,4,0.75,2.4593763139226663,2.019546851558186,3.007121583355359,-4.901300119171179,1,1.0,3.0015826523824027,3.0015826523824027,inf,3.0015826523824027,0.3799315104475189,6,2023-08-08,2024-08-07,2024-05-08,2024-08-08,2024-11-07
PLX,accumulation_breakout_smt_v1,3,0.6666666666666666,2.952253661213103,0.9827103968530224,5.6648691673588845,-1.8986086567254694,2,1.0,5.37768482018239,5.37768482018239,inf,0.9827103968530224,0.5085163008704164,6,2023-08-08,2024-08-07,2024-05-08,2024-08-08,2024-11-07
POW,mean_reversion_uptrend_ma50_v1,3,0.3333333333333333,2.787940051993336,-4.882499097744278,1.6842155511440098,-7.341455973133141,1,1.0,20.587775226857428,20.587775226857428,inf,20.587775226857428,0.4203581873518157,6,2023-08-08,2024-08-07,2024-05-08,2024-08-08,2024-11-07
FPT,composite_edge_score_v2,3,1.0,11.326292641654888,9.43655196103545,inf,2.895252931640228,1,1.0,2.895252931640228,2.895252931640228,inf,2.895252931640228,0.5837598095922165,7,2023-11-08,2024-11-07,2024-08-08,2024-11-08,2025-02-07
HPG,mean_reversion_uptrend_ma50_v1,3,0.6666666666666666,0.7128317592020624,1.164993996635375,2.8285626989466253,-1.169495188126775,1,1.0,2.142996469097587,2.142996469097587,inf,2.142996469097587,0.32333300958266237,7,2023-11-08,2024-11-07,2024-08-08,2024-11-08,2025-02-07
SSI,composite_edge_score_v2,3,0.6666666666666666,2.2439439519294258,1.5886747543146345,2.371124867001089,-4.909714656778178,1,1.0,1.5886747543146345,1.5886747543146345,inf,1.5886747543146345,0.29189359971206186,7,2023-11-08,2024-11-07,2024-08-08,2024-11-08,2025-02-07
TCB,composite_edge_score_v2,4,0.75,9.57277270020236,10.02818177775293,31.174297665337253,-1.2689969200110451,1,1.0,6.103431911362296,6.103431911362296,inf,6.103431911362296,0.6245816536591091,7,2023-11-08,2024-11-07,2024-08-08,2024-11-08,2025-02-07
VIB,composite_edge_score_v1,4,0.75,4.158298690710041,4.90637872408058,4.748542036182966,-4.437243760984277,1,1.0,1.3946796825924277,1.3946796825924277,inf,1.3946796825924277,0.44662292792963637,7,2023-11-08,2024-11-07,2024-08-08,2024-11-08,2025-02-07
ACB,rotation_monthly_smt_money_cycle_v1,3,0.6666666666666666,1.0345609084611953,0.6925272434872553,3.6348419646502306,-1.1779388544070015,1,1.0,0.6925272434872553,0.6925272434872553,inf,0.6925272434872553,0.3412231581512434,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
BCM,composite_edge_score_v2,4,0.5,1.0444760290613486,-0.5058851095583123,1.3524038820658333,-6.867339895712988,1,1.0,3.976332826814576,3.976332826814576,inf,3.976332826814576,0.24551899384919473,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
CTG,rotation_weekly_smt_money_cycle_v1,3,1.0,3.1206930778379793,2.96911052670388,inf,0.38867564593007975,3,1.0,3.1206930778379793,2.96911052670388,inf,0.38867564593007975,0.535757876157381,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
HDB,composite_edge_score_v2,3,0.6666666666666666,4.676498301789557,8.528997704171656,3.3038662653233755,-6.089543962049144,1,1.0,11.59004116324616,11.59004116324616,inf,11.59004116324616,0.5308338279634617,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
HPG,rotation_weekly_smt_money_cycle_v1,5,0.6,0.4391296376995603,1.0912258683953082,1.6321310411281622,-1.9709497258428554,2,0.5,0.15196407566805303,0.15196407566805303,1.154203908578203,-1.9709497258428554,0.24144509749500984,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
PLX,rotation_monthly_smt_money_cycle_v1,3,0.6666666666666666,3.340845681542597,0.9818113241385775,4.391724569265979,-2.954997329513941,1,1.0,0.9818113241385775,0.9818113241385775,inf,0.9818113241385775,0.3936756148100124,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
SSB,mean_reversion_uptrend_ma50_v1,3,0.3333333333333333,0.73491612726785,-0.9526988646734619,1.4547722707670385,-3.8953284305812086,1,1.0,7.052775677058221,7.052775677058221,inf,7.052775677058221,0.26930894087677176,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
STB,rotation_weekly_smt_money_cycle_v1,6,0.5,1.6014197243464487,-0.3187214654747346,3.524404415390059,-1.565785043985928,2,1.0,4.591345265809114,4.591345265809114,inf,0.14010391862894078,0.4222915002621536,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
TCB,rotation_weekly_smt_money_cycle_v1,5,0.6,1.6981677538735305,0.5070236176630699,2.37033176348588,-3.7319860186041374,3,0.6666666666666666,0.3242423588037786,0.5070236176630699,1.2606459594334607,-3.7319860186041374,0.2820508300515088,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
VIB,mean_reversion_uptrend_ma50_v1,3,1.0,6.764323130970813,7.369499865451913,inf,1.6657884517972388,1,1.0,7.369499865451913,7.369499865451913,inf,7.369499865451913,0.6507931281758164,8,2024-02-08,2025-02-07,2024-11-08,2025-02-08,2025-05-07
BCM,rotation_monthly_smt_money_cycle_v1,4,0.75,0.5664548417602449,0.7543165694886302,1.7011261716773562,-3.231685620321792,1,1.0,3.9888718483855112,3.9888718483855112,inf,3.9888718483855112,0.31362558205888924,9,2024-05-08,2025-05-07,2025-02-08,2025-05-08,2025-08-07
