run_type,hypothesis,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd,selection_rows,selected_symbols
single,breakout_after_accumulation_v3,112,30,0.3839285714285714,1.7488444325441734,-2.5615505502498106,11.238524508016024,-4.165014165213647,1.6815592681910845,33.68470416392555,-11.626079227689232,14.089285714285714,1.313386987430011,1.6152612725212727,-0.1490198943956745,231338.69874300112,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
router,symbol_router_t12_o3_min3,130,27,0.4538461538461538,1.434296652731646,-0.6962385143071037,7.151598356725754,-3.3167005379113443,1.791804065447568,31.218393383953217,-8.033753677251076,14.107692307692307,1.221068059110011,1.4578269398002577,-0.1686262118952313,222106.80591100108,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,237.0,30.0
router_v1,router_v1_t12_o3_min3_pf115,130,27,0.45384615384615384,1.434296652731646,-0.6962385143071037,7.151598356725754,-3.3167005379113443,1.791804065447568,31.218393383953217,-8.033753677251076,14.107692307692307,1.221068059110011,1.4578269398002575,-0.1686262118952313,222106.80591100108,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.18618972099703868,237.0,30.0
single,composite_edge_score_v2,161,30,0.4472049689440994,3.300496524844025,-1.8155797705846388,13.11228859247266,-4.637133013012849,2.287554424783045,33.32010157711846,-10.80894236658022,27.217391304347824,1.0384941278800088,1.703707797894483,-0.159678435275585,203849.4127880009,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,accumulation_breakout_smt_v2,120,30,0.4166666666666667,1.2607704016165555,-2.070114133753628,8.607272874097632,-3.986731364441357,1.542128498489484,22.85566290260406,-9.597966788090329,16.15,0.9182644996350096,1.2863541277345,-0.1774290085655816,191826.44996350096,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,money_cycle_reset_smt_confirm,49,26,0.3877551020408163,4.306868790951167,-4.011993471349437,20.126352807371784,-5.7121377527818895,2.231509578901113,29.002171742225013,-12.826191775906906,28.142857142857142,0.8921705416700059,1.3032241248953853,-0.184668278464156,189217.05416700055,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
router,symbol_router_t12_o3_min4,100,24,0.51,1.2281108305276391,0.0910345431776085,5.185749718732494,-2.8910643388284347,1.866929386547496,26.422128307380504,-8.27151850513975,11.63,0.8886684105250084,1.0833279072707884,-0.1574110282702495,188866.84105250085,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,175.0,29.0
single,composite_edge_score_v1,176,30,0.4375,3.197510120234837,-1.5554899508378652,13.162301715210628,-4.552883342524113,2.248541200886905,33.78679971566144,-10.80894236658022,25.375,0.882607359650007,1.5771226837222834,-0.1743534388919574,188260.7359650007,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,mean_reversion_uptrend_ma20_v1,120,29,0.45,1.4658988005359628,-1.305347730651757,7.810470557980849,-3.725114455555308,1.7154868872429605,17.94821574237842,-12.62632647312704,18.375,0.6520441429600097,1.1598836685193468,-0.1744799134777889,165204.41429600096,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,accumulation_breakout_smt_v1,114,30,0.4122807017543859,1.0537799830918324,-2.070114133753628,8.299814818533065,-4.029259379083362,1.4449946276749563,22.85566290260404,-9.597966788090332,16.403508771929825,0.6234054324100085,1.0298084264642453,-0.1738656444379147,162340.54324100085,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
