hypothesis,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,run
mean_reversion_uptrend_ma50_v1,DBC,2025-01-03,2025-01-06,24.712349999999997,24.20789,800,19769.879999999997,19327.579375999998,-442.3006239999995,-2.2372448593516987,STOP_LOSS,1,VN100_recent_family_baseline
mean_reversion_uptrend_ma50_v1,TPB,2025-01-03,2025-01-13,14.657325,14.022985,1300,19054.5225,18193.420739,-861.1017609999981,-4.519146365383851,ATR_STOP,6,VN100_recent_family_baseline
breakout_after_accumulation_v3,VIB,2025-01-24,2025-02-03,16.408199999999997,16.35182,100,1640.8199999999997,1631.911636,-8.908363999999665,-0.5429214660961998,ATR_STOP,1,VN100_recent_family_baseline
breakout_after_accumulation_v3,CTD,2025-01-03,2025-02-05,62.691329999999994,70.78459,300,18807.398999999998,21192.906245999995,2385.5072459999974,12.68387641480886,TRAILING_ATR_STOP,18,VN100_recent_family_baseline
breakout_after_accumulation_v3,GEE,2025-02-03,2025-02-06,16.938464999999997,19.450270000000003,100,1693.8464999999997,1941.1369460000003,247.29044600000066,14.59934214818171,TRAILING_ATR_STOP,3,VN100_recent_family_baseline
breakout_after_accumulation_v3,VGC,2025-01-03,2025-03-04,44.802389999999995,49.71513,400,17920.956,19846.279896,1925.3238960000017,10.743421812988112,TRAILING_ATR_STOP,37,VN100_recent_family_baseline
breakout_after_accumulation_v3,EIB,2025-02-13,2025-03-04,19.2096,21.639174999999998,100,1920.9599999999998,2159.589665,238.62966500000016,12.422417176828263,TRAILING_ATR_STOP,13,VN100_recent_family_baseline
breakout_after_accumulation_v3,SBT,2025-02-05,2025-03-05,12.036014999999999,12.873560000000001,2300,27682.834499999997,29549.969624,1867.135124000004,6.744739683358669,TRAILING_ATR_STOP,20,VN100_recent_family_baseline
breakout_after_accumulation_v3,PLX,2025-03-05,2025-03-06,43.08153,42.258860000000006,700,30157.071,29522.039596000006,-635.0314039999939,-2.105746290811843,ATR_STOP,1,VN100_recent_family_baseline
mean_reversion_uptrend_ma50_v1,HHV,2025-01-03,2025-03-13,10.935464999999999,12.03398,1800,19683.837,21617.841672000002,1934.0046720000028,9.825343869693713,TRAILING_ATR_STOP,44,VN100_recent_family_baseline
compression_breakout_smt_v1,VCI,2025-02-03,2025-03-17,24.692339999999998,28.32583,100,2469.234,2826.917834,357.68383399999993,14.485619183925053,MAX_HOLDING,30,VN100_recent_family_baseline
