symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
SAB,2,0.5,0.02011061089437643,662680.8480347544,3.6016020975411234
HPG,2,0.5,0.009591141046346726,331838.92897000164,1.561926725272285
MSN,2,0.5,-0.007862415685366643,-421425.7829308994,0.7372004585179909
HDB,2,0.5,-0.01627709619717583,-681912.5569999889,0.18593303261520921
FPT,1,0.0,-0.043984390521544674,-737664.4943599962,0.0
DGC,1,0.0,-0.04869750977131961,-882999.3337199986,0.0
TCB,1,0.0,-0.0539239833552077,-942475.4727499969,0.0
LPB,1,0.0,-0.051376475393017956,-988286.3422499932,0.0
CTG,1,0.0,-0.06184678743548453,-1121790.7668000013,0.0
GVR,2,0.5,-0.028410047018304168,-1142009.9546999894,0.029433098599272612
VRE,1,0.0,-0.06540039808913774,-1142943.8866599966,0.0
ACB,1,0.0,-0.08184790293078638,-1638518.747449994,0.0
VJC,2,0.0,-0.05306154507682667,-2060131.8396599926,0.0
MWG,2,0.0,-0.0635846876375214,-2386537.5593199916,0.0
