symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,reasons
GVR,MACD_CROSSOVER,2026-03-02,2026-03-03,2026-03-05,44.444399999999995,41.958,450000,19999979.999999996,-1176642.1799999923,-0.058773394437729734,2,SL,94.3,MACD crossover bullish (hist=0.04) | Cross xảy ra trên zero line — signal mạnh hơn | Money flow: MONEY_IN score=3
VJC,SUPERTREND_PULLBACK,2026-03-02,2026-03-03,2026-03-05,168.4683,159.84,118700,19997187.21,-1082122.4132099971,-0.05405967151708028,2,SL,89.5,"Supertrend bullish, pullback near EMA/VWMA support | RSI 43.0, volume 0.9x MA20 | Money flow: ACCUMULATION score=1"
HDB,SUPERTREND_PULLBACK,2026-03-02,2026-03-03,2026-03-05,27.026999999999997,25.974,740000,19999979.999999996,-837661.4999999925,-0.04184127560750902,2,SL,69.7,"Supertrend bullish, pullback near EMA/VWMA support | RSI 41.6, volume 1.3x MA20"
ACB,SUPERTREND_PULLBACK,2026-03-02,2026-03-03,2026-03-09,23.973949999999995,22.0779,834200,19999069.089999996,-1638518.747449994,-0.08184790293078638,4,SL,81.3,"Supertrend bullish, pullback near EMA/VWMA support | RSI 48.0, volume 1.2x MA20"
LPB,SPRING,2026-03-05,2026-03-06,2026-03-10,42.942899999999995,40.8591,447500,19216947.749999996,-988286.3422499932,-0.051376475393017956,2,SL,92.1,HH: đỉnh 44 > 43 | HL: đáy 42 > 41 | Volume phiên tăng > giảm
MWG,OVERSOLD_MEAN_REVERSION,2026-03-05,2026-03-06,2026-03-10,84.88479999999998,78.921,226400,19217918.719999995,-1405157.667519994,-0.0730440134573734,2,SL,77.3,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -86.7, StochK 29.2, ADX 16.4"
MSN,OVERSOLD_MEAN_REVERSION,2026-03-05,2026-03-06,2026-03-10,74.97489999999999,68.931,256300,19216066.869999997,-1603601.6674699932,-0.08336771924452568,2,SL,75.3,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -82.9, StochK 20.9, ADX 16.9"
DGC,DOUBLE_BOTTOM,2026-03-10,2026-03-11,2026-03-16,77.4774,73.926,233800,18114216.12,-882999.3337199986,-0.04869750977131961,3,SL,79.6,Hai đáy 65 và 66 (chênh 1.4%) | Vượt neckline 71 | Chưa quá xa neckline — vào hàng còn hợp lý
CTG,RSI_BOUNCE,2026-03-10,2026-03-11,2026-03-23,35.035,32.967,517200,18120102.0,-1121790.7668000013,-0.06184678743548453,8,SL,90.6,RSI 38.9 oversold | Trên MA200 (34) — long-term trend ok | Nến đảo chiều tăng | Money flow: EARLY_MONEY_IN score=3
MWG,RSI_BOUNCE,2026-03-10,2026-03-11,2026-03-23,81.08099999999999,76.923,223400,18113495.4,-981379.8917999975,-0.05412536181766939,8,SL,86.1,RSI 36.6 oversold | Trên MA200 (77) — long-term trend ok | Nến đảo chiều tăng | Money flow: EARLY_MONEY_IN score=4
VJC,OVERSOLD_MEAN_REVERSION,2026-03-09,2026-03-10,2026-03-24,154.4543,146.853,121500,18766197.45,-978009.4264499955,-0.05206341863657306,10,SL,72.5,"Oversold mean reversion, no fresh 20-day breakdown | WILLR -81.8, StochK 10.8, ADX 24.0"
VRE,BB_SQUEEZE,2026-04-01,2026-04-02,2026-04-06,28.028,26.2737,622900,17458641.2,-1142943.8866599966,-0.06540039808913774,2,SL,100.0,BB squeeze: width 0.117 ≈ min 20 phiên (0.117) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | Money flow: EARLY_MONEY_IN score=4
TCB,BB_SQUEEZE,2026-04-01,2026-04-02,2026-04-06,30.530499999999996,28.971,571900,17460392.95,-942475.4727499969,-0.0539239833552077,2,SL,93.6,BB squeeze: width 0.093 ≈ min 20 phiên (0.093) | Giá trên BB mid — bias bullish
HPG,BB_SQUEEZE,2026-04-01,2026-04-02,2026-04-09,27.026999999999997,28.538932499999994,646000,17459442.0,922376.6522099972,0.05277689842624892,5,TP,93.6,BB squeeze: width 0.087 ≈ min 20 phiên (0.087) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
FPT,BB_SQUEEZE,2026-04-08,2026-04-09,2026-04-13,79.17909999999999,75.924,211600,16754297.559999999,-737664.4943599962,-0.043984390521544674,2,SL,100.0,BB squeeze: width 0.100 ≈ min 20 phiên (0.100) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | Money flow: EARLY_MONEY_IN score=3
MSN,BB_SQUEEZE,2026-04-01,2026-04-02,2026-04-17,76.67659999999998,82.10930849999995,227700,17459261.819999997,1182175.8845390938,0.0676428878737924,11,TP,93.6,BB squeeze: width 0.123 ≈ min 20 phiên (0.120) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
SAB,RETEST,2026-04-13,2026-04-14,2026-04-28,45.79575,48.44088562499999,366600,16788721.95,917401.1408347487,0.05458930458840378,9,TP,96.2,Retest vùng breakout 45 (cách +0.8%) | Volume cạn 0.69× TB20 | Giá vẫn giữ trên vùng breakout | Money flow: ACCUMULATION score=1
HDB,SPRING,2026-04-08,2026-04-09,2026-04-29,26.276249999999997,26.6,637600,16753736.999999998,155748.9430000037,0.009287083213157361,13,END_OF_DATA,100.0,HH: đỉnh 26 > 25 | HL: đáy 25 > 24 | Volume phiên tăng > giảm | Money flow: BREAKOUT_FLOW score=7
HPG,SPRING,2026-04-09,2026-04-10,2026-04-29,28.6286,27.75,613400,17560783.24,-590537.7232399955,-0.03359461633355547,12,END_OF_DATA,100.0,HH: đỉnh 28 > 26 | HL: đáy 26 > 25 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
