date,equity,cash,positions,gross_exposure
2021-01-04,100000000.0,100000000.0,0,0.0
2021-01-05,100497835.035472,19931575.035472006,4,0.8016715979161452
2021-01-06,102387241.035472,19931575.035472006,4,0.8053314569872361
2021-01-07,103745511.4621006,62513295.462100595,2,0.39743614368379293
2021-01-08,104516912.98101808,41576559.98101808,3,0.6022025642053833
2021-01-11,105869356.98570397,41935521.985703975,3,0.6038936744334178
2021-01-12,105825534.56764598,64318088.56764598,2,0.392225242892277
2021-01-13,105380123.150355,21397084.150354993,4,0.7969533199365699
2021-01-14,105040890.150355,21397084.150354993,4,0.796297574023532
2021-01-15,105932975.791955,41357861.791954994,3,0.6095846313882567
2021-01-18,105312147.678226,20660800.678225998,4,0.8038136992386326
2021-01-19,102117296.670826,60985842.670826,2,0.40278635785460315
2021-01-20,100794276.57236402,59831705.57236402,2,0.4063977875826255
2021-01-21,101806248.94897401,19908588.94897402,4,0.8044462972115559
2021-01-22,102661108.06287423,41002260.06287423,3,0.6006057129466923
2021-01-25,103145553.55535424,20493784.555354234,4,0.8013119921417067
2021-01-26,101451593.34615424,60867779.346154235,2,0.40003131209115134
2021-01-27,98721270.07226424,59353991.07226424,2,0.3987720069969019
2021-01-28,95420180.17808025,19748715.17808025,4,0.7930341868855862
2021-01-29,95564954.28074026,54689976.28074025,2,0.42771932773516497
2021-02-01,92323387.55708727,18199451.55708727,4,0.802872792705599
2021-02-02,95336144.24088727,37333814.24088727,3,0.6083981103058316
2021-02-03,97067732.08275327,37824615.08275327,3,0.6103276107192181
2021-02-04,96821154.91661628,18894674.916616272,4,0.8048497259417259
2021-02-05,98187055.25341351,40181992.25341351,3,0.5907607968310408
2021-02-08,94986066.51107752,20071495.511077516,4,0.7886901074197369
2021-02-09,97549532.51107752,20071495.511077516,4,0.7942430374148821
2021-02-17,99846319.67151889,59322223.67151889,2,0.4058646941952281
2021-02-18,100433449.3220949,19741757.3220949,4,0.8034344388712357
2021-02-19,99800088.3220949,19741757.3220949,4,0.8021869754425434
2021-02-22,99749085.3220949,19741757.3220949,4,0.8020858310795758
2021-02-23,99653847.3220949,19741757.3220949,4,0.8018966868555829
2021-02-24,98827022.3220949,19741757.3220949,4,0.8002392781019649
2021-02-25,99840765.08340657,41261463.083406575,3,0.5867272947183757
2021-02-26,100634615.48591259,20610729.485912584,4,0.7951924455974316
2021-03-01,101386970.48591259,20610729.485912584,4,0.796712246286357
2021-03-02,101508327.48591259,20610729.485912584,4,0.7969552843950368
2021-03-03,101383556.48591259,20610729.485912584,4,0.7967054007542487
2021-03-04,100173934.25911258,39341007.25911258,3,0.6072730141819919
2021-03-05,100946890.57959759,19652173.579597585,4,0.8053216551122824
2021-03-08,101939849.72870086,40860411.72870086,3,0.599171356074731
2021-03-09,100395570.85496888,20409839.85496887,4,0.7967057741575785
2021-03-10,100851576.85496888,20409839.85496887,4,0.7976249802784983
2021-03-11,101775792.85496888,20409839.85496887,4,0.7994627279980709
2021-03-12,102071024.93192893,41233882.93192894,3,0.5960275410242254
2021-03-15,101601915.83968094,20596421.839680944,4,0.7972831351705975
2021-03-16,100427201.03528094,40334868.03528094,3,0.5983670995559166
2021-03-17,100054135.37937295,39642625.37937295,3,0.6037882369473193
2021-03-18,100194802.91904294,19802674.919042952,4,0.8023582626831111
2021-03-19,100454407.91904294,19802674.919042952,4,0.8028690295501807
2021-03-22,100039704.39464295,39182200.39464295,3,0.6083335048644833
2021-03-23,99270055.88567296,19574072.885672957,4,0.8028199670984777
2021-03-24,98043298.88567296,19574072.885672957,4,0.8003527716004535
2021-03-25,98538812.88567296,19574072.885672957,4,0.8013567211492262
2021-03-26,98843866.63467295,57085774.634672955,2,0.42246518091342944
2021-03-29,99364861.27850297,18993534.278502963,4,0.8088505933172161
2021-03-30,99848431.13118964,39219069.13118964,3,0.6072139673415581
2021-03-31,100039285.26304965,19591733.263049643,4,0.8041596037843143
2021-04-01,101847298.26304965,19591733.263049643,4,0.8076362004964686
2021-04-02,103307027.43662764,42543007.43662764,3,0.5881886402865952
2021-04-05,104598081.57647964,41976750.57647964,3,0.5986852727715926
2021-04-06,104750477.80907965,20967394.809079647,4,0.7998348528080679
2021-04-07,104563607.80907965,20967394.809079647,4,0.7994771292956576
2021-04-08,103800496.80907965,20967394.809079647,4,0.7980029435924089
2021-04-09,104347104.80907965,20967394.809079647,4,0.799061077473659
2021-04-12,106305672.67357811,63872608.67357811,2,0.3991608625655833
2021-04-13,104011398.73611712,41451294.736117125,3,0.6014735380947868
2021-04-14,105587416.50735313,20709108.507353127,4,0.8038676464263055
2021-04-15,104286580.34095313,40765598.34095313,3,0.609100248491468
2021-04-16,103289647.02653313,82974231.02653313,1,0.19668395221431398
2021-04-19,105182867.25973114,20687041.259731144,4,0.8033230905500225
2021-04-20,105111018.61960314,42206268.61960314,3,0.5984600932053787
2021-04-22,102274217.36385316,61424227.36385315,2,0.3994163050367926
2021-04-23,102720476.19004716,40050599.19004716,3,0.6101011144462767
2021-04-26,100278051.02046117,20012998.020461164,4,0.8004249402855104
2021-04-27,99660404.69879717,59983972.69879717,2,0.39811630426259814
2021-04-28,99683350.91547717,38950580.91547717,3,0.6092569064165602
2021-04-29,99847614.90970218,19455874.909702174,4,0.8051443198989057
2021-05-04,101200000.35381049,40475961.35381049,3,0.6000399089693635
2021-05-05,102371369.7826335,20218329.782633495,4,0.8025001538461061
2021-05-06,102414386.7826335,20218329.782633495,4,0.8025831094849465
2021-05-07,102249758.10977687,41823847.10977687,3,0.5909638527958749
2021-05-10,104596425.29277217,42747939.292772174,3,0.5913059249097862
2021-05-11,104188225.04882617,21353268.048826177,4,0.7950510430634623
2021-05-12,105165254.54130754,64346882.541307546,2,0.388135531816424
2021-05-13,104615966.05649155,21408318.056491558,4,0.7953628029881091
2021-05-14,104653717.55889156,40402402.55889156,3,0.6139420223065081
2021-05-17,104673164.40551257,40811804.405512564,3,0.6101025068144091
2021-05-18,104648981.93296857,20386470.93296857,4,0.8051918847521438
2021-05-19,105112730.83892596,41527050.83892596,3,0.6049284372360021
2021-05-20,106776041.1914517,44406731.19145169,3,0.5841133395100359
2021-05-21,106923763.8353597,22190272.835359696,4,0.7924664074720743
2021-05-24,107005979.8353597,22190272.835359696,4,0.792625861942465
2021-05-25,107783620.8353597,22190272.835359696,4,0.7941220320548007
2021-05-26,108315706.8353597,22190272.835359696,4,0.795133379232903
2021-05-27,107617183.93175441,66166031.93175442,2,0.3851722418818012
2021-05-28,108056518.94079043,22014897.940790433,4,0.7962649717334176
2021-05-31,108033752.92238516,44954633.922385156,3,0.5838834372931395
2021-06-01,108262254.28208116,43404616.28208116,3,0.5990789535105293
2021-06-02,108943241.83362016,42497398.83362016,3,0.6099124817808996
2021-06-03,110587620.83234017,45117363.832340166,3,0.5920215708343906
2021-06-04,111257368.05285797,45319953.052857965,3,0.5926566137055604
2021-06-07,110565662.76903397,22638834.769033972,4,0.795245339266628
2021-06-08,108467973.42986397,44276684.429863974,3,0.5917994682689123
2021-06-09,108965239.46480398,43886709.46480398,3,0.5972411965470925
2021-06-10,108158178.51328398,21931344.513283987,4,0.7972289769045031
2021-06-11,109974830.0397113,46079918.03971129,3,0.5809957785515822
2021-06-14,110661477.23081529,23016965.230815295,4,0.7920056210454609
2021-06-15,111035221.23081529,23016965.230815295,4,0.7927057290860113
2021-06-16,110130626.2598393,45232674.2598393,3,0.589281603165331
2021-06-17,111206133.0210163,22594643.021016303,4,0.7968219700909279
2021-06-18,111444454.11290717,45509842.11290718,3,0.5916365468774246
2021-06-21,111439832.37140217,22732851.37140218,4,0.796007846676949
2021-06-22,112085269.37140217,22732851.37140218,4,0.7971825245289341
2021-06-23,111403394.37140217,22732851.37140218,4,0.7959411245979251
2021-06-24,111888217.1666088,46564379.166608796,3,0.5838312527826641
2021-06-25,112181695.8055568,23260789.805556796,4,0.7926507560923802
2021-06-28,113057501.8055568,23260789.805556796,4,0.7942569981285972
2021-06-29,114240291.02195182,47426963.02195182,3,0.5848490703438552
2021-06-30,113687672.27542183,23693036.27542182,4,0.7915953788021743
2021-07-01,113724263.27542183,23693036.27542182,4,0.7916624333890727
2021-07-02,114466033.27542183,23693036.27542182,4,0.793012515613143
2021-07-05,113995687.25147982,48898771.25147982,3,0.5710471823060566
2021-07-06,110823249.84243982,46008358.842439815,3,0.5848492179407204
2021-07-07,111979968.31710741,46198054.31710741,3,0.5874435846750491
2021-07-08,112218926.93620043,46288344.936200425,3,0.5875174874687883
2021-07-09,110797148.30406342,63780280.304063424,2,0.4243508855568233
2021-07-12,108867222.67898743,21222215.67898743,4,0.8050633133026223
2021-07-13,107379206.69858743,42866929.69858743,3,0.6007892867106519
2021-07-14,105748939.93459944,61859971.934599444,2,0.4150298624945383
2021-07-15,106220720.99522746,20582167.99522746,4,0.806232081627913
2021-07-16,108053655.30802746,41774841.30802746,3,0.6133879859136616
2021-07-19,106144744.83611013,45757330.83611013,3,0.5689157206344932
2021-07-20,108530860.22173014,22857219.22173014,4,0.7893942867951796
2021-07-21,107875631.22173014,22857219.22173014,4,0.7881150824995047
2021-07-22,109181073.22173014,22857219.22173014,4,0.7906485204142424
2021-07-23,109315826.38604948,45283946.38604947,3,0.5857512321580138
2021-07-26,109110096.53142947,22624074.531429477,4,0.7926491200114323
2021-07-27,109778665.53142947,22624074.531429477,4,0.7939119188422614
2021-07-28,109564337.57142948,42085553.571429476,3,0.6158827360774013
2021-07-29,110684678.57142948,42085553.571429476,3,0.6197707386910836
2021-07-30,111459058.29555257,66429238.29555257,2,0.404003233910301
2021-08-02,110706412.24514757,22100308.245147575,4,0.8003701159043183
2021-08-03,111523180.24514757,22100308.245147575,4,0.8018321554625037
2021-08-04,112293628.89966947,47156150.89966947,3,0.5800638792980688
2021-08-05,113142416.70684947,23556201.706849474,4,0.7918004370731864
2021-08-06,112228519.70684947,23556201.706849474,4,0.7901050306251897
2021-08-09,113164040.70684947,23556201.706849474,4,0.7918402209773366
2021-08-10,113617366.70684947,23556201.706849474,4,0.792670765133748
2021-08-11,113297866.70684947,23556201.706849474,4,0.7920860966623534
2021-08-12,111947897.70684947,23556201.706849474,4,0.7895788827715682
2021-08-13,111945134.70684947,23556201.706849474,4,0.789573689213595
2021-08-16,112500935.70684947,23556201.706849474,4,0.7906132819354383
2021-08-17,112185132.70684947,23556201.706849474,4,0.7900238548685048
2021-08-18,112004622.70684947,23556201.706849474,4,0.7896854510326481
2021-08-19,112179487.70684947,23556201.706849474,4,0.7900132886289587
2021-08-20,109196161.96144947,67002856.961449474,2,0.38639915764526495
2021-08-23,108284537.44984947,87983966.44984947,1,0.18747432900474767
