setup_type,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
BB_SQUEEZE,115,0.48695652173913045,0.003254085173321571,5383958.487814235,1.0987531310356853
KIJUN_BOUNCE,2,1.0,0.07899940357769564,3160617.0233568065,inf
DOUBLE_BOTTOM,27,0.4444444444444444,0.005813274341302561,3012779.752362324,1.2594382447931018
BULLISH_ENGULFING,11,0.5454545454545454,0.012974181641845372,2532921.1308095753,1.5716282467555764
FLAG_PENNANT,3,0.6666666666666666,0.03893681339547233,2341308.567358017,3.1387521130229157
KUMO_BREAKOUT,1,1.0,0.13041767643129615,2257954.441440005,inf
ADX_TREND,28,0.42857142857142855,0.0035866810274760483,1750678.8502479158,1.114087663352553
SUPERTREND_PULLBACK,4,0.5,0.006022177078401015,582422.6595507972,1.3768440792153165
TK_CROSS,1,1.0,0.027415321774091957,548189.5520615205,inf
MA_PULLBACK,2,0.5,0.0009456561888007108,120833.26874200255,1.0950731099426532
TREND_PULLBACK,3,0.3333333333333333,-0.00709988144899909,-455136.42930259183,0.7692164946979938
AROON_TREND_SHIFT,4,0.25,-0.014215249957993576,-656255.0178494826,0.745831299137174
PIN_BAR,1,0.0,-0.0465922636539474,-777233.9358959962,0.0
RSI_BOUNCE,1,0.0,-0.05412536181766926,-785455.3475999963,0.0
OVERSOLD_MEAN_REVERSION,30,0.43333333333333335,-0.0017130622679702723,-854150.407286685,0.9438380636240002
BREAKOUT_RETEST_ENTRY,6,0.3333333333333333,-0.014500753326897356,-1723950.089026384,0.5014685450062455
NR7,19,0.42105263157894735,-0.004086797048159922,-2040376.458324913,0.7666374621608018
MACD_CROSSOVER,33,0.42424242424242425,-0.003661126094392081,-2095383.7650269493,0.8872855103350176
SPRING,47,0.3829787234042553,-0.001713840037896899,-2661626.6526133213,0.8913919912359384
OBV_ACCUMULATION,6,0.16666666666666666,-0.03184567969273504,-3312350.303310955,0.2954743783412669
RETEST,39,0.38461538461538464,-0.006452938534920438,-4548789.981898459,0.7531383466728481
GOLDEN_CROSS,14,0.2857142857142857,-0.017084355471612956,-5433800.536151398,0.4446521103324244
BREAKOUT,69,0.4057971014492754,-0.0054050293593277945,-6609524.9224349465,0.8383027690395699
HAMMER,9,0.1111111111111111,-0.040781371238369515,-6825261.5522613395,0.0635394847705556
MOMENTUM_SURGE,25,0.24,-0.018942484267232204,-10461442.73964129,0.37360501470077706
