symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
VHM,20,0.65,0.028565380406378117,10907640.468086988,2.7871505378092065
HPG,15,0.5333333333333333,0.019921944642567694,6085742.256046895,2.216162148811662
MWG,21,0.47619047619047616,0.003921011215290272,2746117.4814747535,1.2821881005400109
BCM,5,0.6,0.023319776198762722,2355943.5366252586,3.073478783228977
VPB,10,0.5,0.011584025660166529,2100287.067513678,1.4152926348297885
SSI,16,0.5625,0.003768615057110205,2084180.0833102614,1.2807109615509538
VIB,10,0.5,0.010284394937238086,2018594.7770387977,1.4674402932334194
GAS,20,0.45,0.0013667276501781599,1448256.4625836406,1.172466349721986
SSB,13,0.46153846153846156,0.005673898391716002,1305200.3173422683,1.250617926251704
PLX,21,0.5238095238095238,0.0034746623843025675,820422.1308841277,1.080888099410568
ACB,16,0.4375,0.0034107968540856145,590217.9391325116,1.0821889335037462
STB,18,0.4444444444444444,0.0039219872506262455,472583.3516034577,1.0428992550609848
FPT,20,0.4,-0.0002390012737152565,358053.8509223629,1.038308209867431
GVR,19,0.42105263157894735,-0.0013085085284180575,-484142.1472420469,0.9590934096841129
TCB,15,0.4666666666666667,-0.0013518311271151907,-597618.724537734,0.9312209524481894
TPB,19,0.47368421052631576,-0.005166893833003302,-2457064.3745326493,0.7179728677950631
VNM,10,0.3,-0.012852714477070962,-2477624.7179864086,0.4647164787194236
MSN,24,0.4166666666666667,-0.006553910561176088,-2689706.6127288863,0.8165888665469154
MBB,10,0.3,-0.01279969881721752,-2819651.675248375,0.5628679538092421
SAB,11,0.2727272727272727,-0.016171896717749365,-3142419.603737643,0.4335714965081931
BID,18,0.3333333333333333,-0.009186240401907471,-3148398.1626095492,0.6625208620843079
VCB,26,0.34615384615384615,-0.00535678793355336,-3257867.7380356453,0.7535274099791893
CTG,19,0.3684210526315789,-0.006305575407050537,-3439504.185976116,0.696441583297859
VRE,17,0.29411764705882354,-0.010801936569969769,-3691709.3403775487,0.6279082196852223
VIC,15,0.26666666666666666,-0.0144162527708798,-4342356.993589707,0.45228414829284225
POW,15,0.4,-0.013580703549833234,-4347553.071043575,0.629909878497803
BVH,22,0.36363636363636365,-0.009621527838347743,-4572998.099748414,0.6317732657774983
HDB,16,0.25,-0.018889557727860787,-5855479.536983071,0.4192181345729014
VJC,22,0.3181818181818182,-0.014028761496999241,-6339685.690435231,0.4927116714153531
SHB,17,0.35294117647058826,-0.018572903216510013,-7178533.45263391,0.5262483408147748
