date,equity,cash,positions,gross_exposure
2021-01-04,100000000.0,100000000.0,0,0.0
2021-01-05,100497835.035472,19931575.035472006,4,0.8016715979161452
2021-01-06,102387241.035472,19931575.035472006,4,0.8053314569872361
2021-01-07,103745511.4621006,62513295.462100595,2,0.39743614368379293
2021-01-08,104516912.98101808,41576559.98101808,3,0.6022025642053833
2021-01-11,105869356.98570397,41935521.985703975,3,0.6038936744334178
2021-01-12,105825534.56764598,64318088.56764598,2,0.392225242892277
2021-01-13,105380123.150355,21397084.150354993,4,0.7969533199365699
2021-01-14,105040890.150355,21397084.150354993,4,0.796297574023532
2021-01-15,105932975.791955,41357861.791954994,3,0.6095846313882567
2021-01-18,105312147.678226,20660800.678225998,4,0.8038136992386326
2021-01-19,102117296.670826,60985842.670826,2,0.40278635785460315
2021-01-20,100517523.312932,100517523.312932,0,0.0
2021-01-21,100517523.312932,100517523.312932,0,0.0
2021-01-22,99708223.55421501,20032076.554215014,4,0.7990930352567877
2021-01-25,99491432.55421501,20032076.554215014,4,0.7986552606597648
2021-01-26,97805365.40601501,78133265.40601501,1,0.20113518229123828
2021-01-27,97318076.39101501,97318076.39101501,0,0.0
2021-01-28,97318076.39101501,97318076.39101501,0,0.0
2021-01-29,97318076.39101501,97318076.39101501,0,0.0
2021-02-01,97318076.39101501,97318076.39101501,0,0.0
2021-02-02,97318076.39101501,97318076.39101501,0,0.0
2021-02-03,97318076.39101501,97318076.39101501,0,0.0
2021-02-04,97318076.39101501,97318076.39101501,0,0.0
2021-02-05,97318076.39101501,97318076.39101501,0,0.0
2021-02-08,97318076.39101501,97318076.39101501,0,0.0
2021-02-09,97318076.39101501,97318076.39101501,0,0.0
2021-02-17,97318076.39101501,97318076.39101501,0,0.0
2021-02-18,97706820.48644902,19389887.486449018,4,0.8015503176757429
2021-02-19,97143374.48644902,19389887.486449018,4,0.8003992800440157
2021-02-22,96758421.18044901,38678885.18044902,3,0.6002530352545226
2021-02-23,97321847.53878802,19320565.53878802,4,0.8014776124026238
2021-02-24,96460598.53878802,19320565.53878802,4,0.7997051041413663
2021-02-25,97512521.53878802,19320565.53878802,4,0.8018657990389184
2021-02-26,98148819.53878802,19320565.53878802,4,0.8031503014546945
2021-03-01,100581780.53878802,19320565.53878802,4,0.8079118759352515
2021-03-02,101572823.24889602,42187857.24889602,3,0.5846540846312988
2021-03-03,101754102.22842202,21073217.22842202,4,0.7929005635456746
2021-03-04,99751492.41362202,39510376.41362202,3,0.6039119269535209
2021-03-05,100024816.15986203,19737129.159862027,4,0.8026776762246913
2021-03-08,100696676.01884148,40615931.018841475,3,0.5966507274655046
2021-03-09,100013324.21158148,20288076.21158148,4,0.7971462665448317
2021-03-10,100274229.21158148,20288076.21158148,4,0.7976740746740315
2021-03-11,101507301.21158148,20288076.21158148,4,0.8001318528871821
2021-03-12,101595956.21158148,20288076.21158148,4,0.800306262492082
2021-03-15,101566330.21158148,20288076.21158148,4,0.8002480135954734
2021-03-16,101050430.56958148,39908078.56958148,3,0.6050677038718651
2021-03-17,101723701.14983748,19936451.149837483,4,0.8040137064962728
2021-03-18,102731683.14983748,19936451.149837483,4,0.8059366834206394
2021-03-19,102429825.14983748,19936451.149837483,4,0.805364783932084
2021-03-22,101397565.41063748,39109198.41063748,3,0.6142984473813157
2021-03-23,100298997.93566549,19539144.93566549,4,0.8051910254557236
2021-03-24,98209845.93566549,19539144.93566549,4,0.8010469851621086
2021-03-25,98186997.93566549,19539144.93566549,4,0.8010006890274004
2021-03-26,98597464.0688655,38448883.06886549,3,0.6100418663708143
2021-03-29,98906503.0688655,38448883.06886549,3,0.6112603127612879
2021-03-30,99393673.0688655,38448883.06886549,3,0.6131656887030832
2021-03-31,99849405.4946805,19206270.494680498,4,0.807647622942495
2021-04-01,101313075.4946805,19206270.494680498,4,0.810426537730671
2021-04-02,102935107.4946805,19206270.494680498,4,0.8134138005765134
2021-04-05,103971953.4946805,19206270.494680498,4,0.8152745057765685
2021-04-06,104016096.36476946,40541999.36476945,3,0.6102334082737108
2021-04-07,103713937.65503946,20251749.655039456,4,0.8047345408637522
2021-04-08,103607972.65503946,20251749.655039456,4,0.8045348332172542
2021-04-09,104063033.65503946,20251749.655039456,4,0.8053895899078594
2021-04-12,105262469.86066668,62955944.86066668,2,0.401914614544007
2021-04-13,103691090.69554769,20944929.69554768,4,0.7980064675272335
2021-04-14,103737621.69554769,20944929.69554768,4,0.7980970707327617
2021-04-15,102751423.55274768,40714083.55274768,3,0.6037613675313509
2021-04-16,100841397.78900768,59645049.78900768,2,0.4085261500063286
2021-04-19,101898684.85740268,19843961.857402682,4,0.8052579198134658
2021-04-20,102385556.85740268,19843961.857402682,4,0.8061839729500097
2021-04-22,100729832.1382948,80019428.1382948,1,0.2056034797274963
2021-04-23,101895680.41690381,19960098.416903805,4,0.8041124183553461
2021-04-26,99732381.41690381,19960098.416903805,4,0.7998634131329312
2021-04-27,99682266.12587981,58430904.12587981,2,0.41382849330398797
2021-04-28,99753642.12587981,58430904.12587981,2,0.41424791235045383
2021-04-29,100090536.12587981,58430904.12587981,2,0.416219490997694
2021-05-04,101320030.29291981,19440079.29291982,4,0.8081319237990963
2021-05-05,103105318.29291981,19440079.29291982,4,0.8114541556654624
2021-05-06,102831657.60332237,39576649.60332237,3,0.6151316576458289
2021-05-07,104166585.51817974,43465982.518179744,3,0.5827262427585878
2021-05-10,105458970.74183725,64819226.74183725,2,0.38536071150822987
2021-05-11,105573075.20118086,42444599.20118086,3,0.597959999551987
2021-05-12,106418272.46041086,21201406.460410863,4,0.8007728750877995
2021-05-13,105757008.32161087,42468057.32161086,3,0.598437418043597
2021-05-14,105941186.68739986,21213400.687399868,4,0.7997624781191649
2021-05-17,106099522.2107621,42393074.2107621,3,0.6004404795852888
2021-05-18,105664150.6440661,21176007.644066103,4,0.7995913702519758
2021-05-19,106559223.44118038,43779185.44118038,3,0.5891563017503966
2021-05-20,106452363.54028037,42040770.54028038,3,0.6050743342643339
2021-05-21,106433063.13957939,21000051.139579386,4,0.802692410421005
2021-05-24,107119009.09301293,43407679.09301293,3,0.5947714653024708
2021-05-25,106379418.67098893,42573650.67098893,3,0.5997942910116755
2021-05-26,107086207.66311693,21267229.663116936,4,0.8014008514521158
2021-05-27,107312931.66311693,21267229.663116936,4,0.8018204392190098
2021-05-28,108479890.66311693,21267229.663116936,4,0.8039523313204465
2021-05-31,109214800.67470244,45451923.674702436,3,0.5838299992866212
2021-06-01,110559133.57550244,22707302.57550244,4,0.7946139605010988
2021-06-02,110300175.9985418,45071093.998541795,3,0.5913778596406079
2021-06-03,112063388.9307618,22518275.9307618,4,0.7990576927432145
2021-06-04,115398572.05625778,46132017.05625779,3,0.6002375399084832
2021-06-07,114539270.95292592,68524149.95292592,2,0.40174099780075945
2021-06-08,110828398.22987993,22801796.22987993,4,0.794260346679517
2021-06-09,110725710.67787993,44959168.67787993,3,0.593959086804384
2021-06-10,109516919.01284194,66110836.01284194,2,0.39634134516613095
2021-06-11,111462043.82925995,22003170.82925995,4,0.802594945567615
2021-06-14,111992882.74768394,46207599.74768395,3,0.5874059260373888
2021-06-15,112493189.28599195,23083729.285991956,4,0.7947988724250133
2021-06-16,111791666.28599195,23083729.285991956,4,0.7935111797427027
2021-06-17,112855824.28599195,23083729.285991956,4,0.7954582368075691
2021-06-18,112467623.28599195,23083729.285991956,4,0.7947522263603567
2021-06-21,111567890.28599195,23083729.285991956,4,0.7930970171899875
2021-06-22,111922714.28599195,23083729.285991956,4,0.7937529532476584
2021-06-23,110939753.28599195,23083729.285991956,4,0.7919255397433206
2021-06-24,110231940.24179195,44347688.24179195,3,0.5976874928943823
2021-06-25,110626990.00374795,22153322.00374795,4,0.7997475841745544
2021-06-28,111458414.00374795,22153322.00374795,4,0.8012413669998658
2021-06-29,111602858.00374795,22153322.00374795,4,0.8014986139243496
2021-06-30,110766977.94407535,45274509.944075346,3,0.5912634723416054
2021-07-01,111345186.54768336,22616870.54768335,4,0.7968760819490143
2021-07-02,111415130.54768336,22616870.54768335,4,0.7970035987346996
2021-07-05,108742304.37328336,44164875.37328336,3,0.5938574630377786
2021-07-06,104974311.90048335,64328042.900483355,2,0.3872020522366753
2021-07-07,105882075.90048335,64328042.900483355,2,0.3924557829698757
2021-07-08,106514193.05797836,21409830.05797837,4,0.7989955193452534
2021-07-09,104955198.49217837,40718867.492178366,3,0.6120357249839999
2021-07-12,104301541.75117837,81974311.75117837,1,0.2140642374516746
2021-07-13,103389076.75117837,81974311.75117837,1,0.20712792562736496
2021-07-14,103612123.75117837,81974311.75117837,1,0.20883475038078173
2021-07-15,103389076.75117837,81974311.75117837,1,0.20712792562736496
2021-07-16,104414191.75117837,81974311.75117837,1,0.2149121649428154
2021-07-19,105079782.66533968,105079782.66533968,0,0.0
2021-07-20,105079782.66533968,105079782.66533968,0,0.0
2021-07-21,105079782.66533968,105079782.66533968,0,0.0
2021-07-22,105079782.66533968,105079782.66533968,0,0.0
2021-07-23,105079782.66533968,105079782.66533968,0,0.0
2021-07-26,105079782.66533968,105079782.66533968,0,0.0
2021-07-27,105079782.66533968,105079782.66533968,0,0.0
2021-07-28,105079782.66533968,105079782.66533968,0,0.0
2021-07-29,105079782.66533968,105079782.66533968,0,0.0
2021-07-30,105079782.66533968,105079782.66533968,0,0.0
2021-08-02,105079782.66533968,105079782.66533968,0,0.0
2021-08-03,105079782.66533968,105079782.66533968,0,0.0
2021-08-04,105079782.66533968,105079782.66533968,0,0.0
2021-08-05,105079782.66533968,105079782.66533968,0,0.0
2021-08-06,105079782.66533968,105079782.66533968,0,0.0
2021-08-09,105079782.66533968,105079782.66533968,0,0.0
2021-08-10,105079782.66533968,105079782.66533968,0,0.0
2021-08-11,105079782.66533968,105079782.66533968,0,0.0
2021-08-12,105079782.66533968,105079782.66533968,0,0.0
2021-08-13,105079782.66533968,105079782.66533968,0,0.0
2021-08-16,105079782.66533968,105079782.66533968,0,0.0
2021-08-17,105079782.66533968,105079782.66533968,0,0.0
2021-08-18,105079782.66533968,105079782.66533968,0,0.0
2021-08-19,105079782.66533968,105079782.66533968,0,0.0
2021-08-20,105079782.66533968,105079782.66533968,0,0.0
2021-08-23,105079782.66533968,105079782.66533968,0,0.0
2021-08-24,105079782.66533968,105079782.66533968,0,0.0
2021-08-25,105079782.66533968,105079782.66533968,0,0.0
2021-08-26,105079782.66533968,105079782.66533968,0,0.0
2021-08-27,105079782.66533968,105079782.66533968,0,0.0
2021-08-30,105079782.66533968,105079782.66533968,0,0.0
2021-08-31,105079782.66533968,105079782.66533968,0,0.0
