symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
VIB,10,0.7,0.048834452507423576,9432747.660032118,6.938203029874125
HPG,11,0.5454545454545454,0.018660308909166944,3699319.1217730287,2.147131300832706
BCM,4,0.75,0.04924470913592568,3331313.063484013,6.76184831287095
GAS,12,0.5833333333333334,0.013263958532021109,2902639.9053374045,1.7255238682485743
HDB,12,0.5,0.011044486557126525,2590631.0427522957,1.838082456909876
STB,11,0.45454545454545453,0.014182203178680452,2073269.2532737982,1.4225272583136943
MWG,11,0.5454545454545454,0.00790139944429927,1616520.00506798,1.439065742493129
VIC,5,0.6,0.013241588603759591,955898.6765945293,1.585134500977435
SSB,5,0.4,0.011700522603588689,935364.1671960205,1.6597366859187446
VHM,8,0.5,0.01091977539105335,652590.1976262946,1.185109657780746
FPT,13,0.46153846153846156,0.0003134021210181112,482678.35319397226,1.1177670747123973
MBB,8,0.375,-0.0004133194317814835,-354312.04225733876,0.8831759670927052
VRE,8,0.5,-0.00371034671539234,-451684.8144624606,0.8549696782107028
VCB,11,0.36363636363636365,-0.001309138504730261,-850750.7012243513,0.8376496344405374
VJC,11,0.36363636363636365,-0.004269363127777367,-1034351.9387217369,0.7530533959380257
MSN,10,0.5,-0.005325241934726064,-1073601.2608922962,0.8137706479211729
ACB,12,0.3333333333333333,-0.006702528101937881,-1189581.0485347137,0.7503646787124219
TCB,12,0.3333333333333333,-0.006729939602322671,-1423038.6689217538,0.7187525780327343
VNM,12,0.3333333333333333,-0.006987560430872959,-1556061.5717279501,0.6280911558069093
SAB,8,0.125,-0.02104863804407805,-2609011.11171788,0.21673919769542502
CTG,17,0.29411764705882354,-0.0100784357399334,-3121665.6564816125,0.6150482094915272
PLX,13,0.3076923076923077,-0.015732811874334632,-3430521.3034889456,0.4971082906692255
VPB,10,0.3,-0.0245827937328653,-3928482.717183901,0.2255550785755589
SSI,12,0.4166666666666667,-0.02421470303601586,-4225679.157855993,0.45682430788315515
BVH,14,0.2857142857142857,-0.013179407563407821,-4271454.743545804,0.5237044067971459
BID,8,0.125,-0.0326198107611375,-4554396.735330705,0.14532669112462882
TPB,14,0.21428571428571427,-0.025433608307103596,-6154495.577639218,0.2526083424161164
GVR,13,0.23076923076923078,-0.028024903074352545,-6325068.668883994,0.3932058880319668
SHB,7,0.0,-0.05915769702578655,-7065339.361136975,0.0
POW,10,0.1,-0.03801958234682269,-7611949.187315958,0.19403421533587425
