symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
CII,1,1.0,0.2838424001987472,7157474.186370004,inf
GEX,1,1.0,0.29533116157233197,6351457.527622003,inf
DXS,1,1.0,0.2406586320910556,5634522.191416003,inf
PVD,2,0.5,0.07477728507514474,3908328.882130008,2.948216522836233
MSB,1,1.0,0.1460810666684457,3436280.962782003,inf
LPB,1,1.0,0.11880342926761309,3254159.008440003,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
OCB,1,1.0,0.10268008193217344,2869693.9034500085,inf
HDG,2,1.0,0.054358454073238534,2858500.769377012,inf
PC1,1,1.0,0.10405328253233793,2777666.9305500053,inf
TPB,2,0.5,0.04518207556367554,2764059.038864009,3.9333853549627
BCM,1,1.0,0.1021635441481275,2600913.0557440035,inf
PLX,1,1.0,0.08797048662719356,2532659.1810600087,inf
DSE,1,1.0,0.08119594921046289,2495593.940868009,inf
HHV,3,1.0,0.03206329511535511,2446578.1161700264,inf
MBB,1,1.0,0.08921320626774949,2381650.2376500033,inf
DPM,1,1.0,0.08960069256080407,2263954.9111000076,inf
DXG,1,1.0,0.08430684047375099,2099943.6204000115,inf
MSN,2,0.5,0.03954926533831232,1898189.565660011,2.9475573299885993
PVT,2,0.5,0.03256490942063108,1639302.53484001,2.2630051857692797
HSG,1,1.0,0.0475235571783988,1281616.6330110058,inf
CTS,1,1.0,0.04370035358494837,1263339.2750000022,inf
POW,1,1.0,0.05537368453708488,1190921.476292003,inf
REE,2,0.5,0.029204623306426872,1154689.7529700212,4.422581159349836
VCI,2,1.0,0.024606656426567713,1073995.6095420085,inf
PNJ,1,1.0,0.03210836432594551,891256.5720110014,inf
SAB,1,1.0,0.030758567381081178,865832.7036960088,inf
VRE,1,1.0,0.028740168888156756,632000.4641100056,inf
GAS,1,1.0,0.002290795632261148,58318.52369000018,inf
CTG,2,0.5,0.010888986520382164,-39492.10955198854,0.9764355756907654
VIC,1,0.0,-0.0241977232129935,-521721.7130799964,0.0
KDC,1,0.0,-0.027770050841084595,-597175.147382997,0.0
HCM,1,0.0,-0.021497526507454817,-619018.0173449926,0.0
SSB,2,0.0,-0.016436086049899087,-783405.7423199825,0.0
PAN,1,0.0,-0.04914841636673844,-1150710.7818019986,0.0
GMD,1,0.0,-0.04445120893827976,-1195552.2069999948,0.0
SHB,1,0.0,-0.04812364658669468,-1328835.9035039917,0.0
VGC,2,0.5,-0.011316976090308885,-1341391.494833991,0.6109148053621418
BID,1,0.0,-0.07088687916878016,-1541840.679987993,0.0
VHM,1,0.0,-0.03806155677361364,-1657362.6315899864,0.0
VCG,1,0.0,-0.06544876043462546,-1884639.9281499945,0.0
VPB,1,0.0,-0.06434054929769727,-1903704.1338899955,0.0
FTS,1,0.0,-0.06763246100336497,-1903950.0524049886,0.0
VHC,1,0.0,-0.06958014725054461,-1946429.0565499924,0.0
ANV,1,0.0,-0.07109114521981384,-1988788.0502400026,0.0
NAB,2,0.0,-0.03806678440507502,-2122771.135809984,0.0
DBC,2,0.0,-0.049265110700955336,-2269508.548769988,0.0
HAG,2,0.0,-0.04375895282133023,-2444558.0039399937,0.0
HDC,1,0.0,-0.0857225753936671,-2478191.415254995,0.0
NLG,2,0.0,-0.06275360779452048,-3471495.926609982,0.0
VSC,1,0.0,-0.13152220556954541,-3506694.348509997,0.0
