date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98526002.366638,19930739.366638012,4,0.7977108693350703
2025-01-06,97758399.366638,19930739.366638012,4,0.7961224867043009
2025-01-07,98284801.23290801,38759755.23290801,3,0.6056383617131399
2025-01-08,98233067.23290801,38759755.23290801,3,0.6054306729422421
2025-01-09,98254255.23290801,38759755.23290801,3,0.6055157596886824
2025-01-10,98050444.23290801,38759755.23290801,3,0.6046957712823974
2025-01-13,98438053.364332,57836104.364332005,2,0.4124619251635028
2025-01-14,99023626.364332,57836104.364332005,2,0.41593631249638435
2025-01-15,99322012.364332,57836104.364332005,2,0.4176909731532806
2025-01-16,99453640.364332,57836104.364332005,2,0.4184616656317559
2025-01-17,100068238.364332,57836104.364332005,2,0.42203335134410724
2025-01-20,99370225.364332,57836104.364332005,2,0.4179735010937016
2025-01-21,99499594.364332,57836104.364332005,2,0.41873024976808615
2025-01-22,99243973.364332,57836104.364332005,2,0.4172330832421293
2025-01-23,99794020.364332,57836104.364332005,2,0.4204451914735809
2025-01-24,99545427.189002,19243705.189002015,4,0.8066841869846524
2025-02-03,99864003.189002,19243705.189002015,4,0.8073008834566597
2025-02-04,102530547.189002,19243705.189002015,4,0.8123124696337699
2025-02-05,103320937.189002,19243705.189002015,4,0.8137482516849411
2025-02-06,104012921.189002,19243705.189002015,4,0.8149873595605084
2025-02-07,104011086.189002,19243705.189002015,4,0.8149840955027272
2025-02-10,103163745.86189401,42180180.86189401,3,0.5911336825791408
2025-02-11,104138603.18709001,21071222.187090017,4,0.797661755178005
2025-02-12,104783779.18709001,21071222.187090017,4,0.7989075947578906
2025-02-13,104805799.18709001,21071222.187090017,4,0.7989498448508986
2025-02-14,104574762.18709001,21071222.187090017,4,0.7985056647856159
2025-02-17,103710859.18709001,21071222.187090017,4,0.7968272334039928
2025-02-18,104214749.18709001,21071222.187090017,4,0.797809596516303
2025-02-19,106958560.18709001,21071222.187090017,4,0.8029963927129105
2025-02-20,106698808.18709001,21071222.187090017,4,0.8025167989679616
2025-02-21,107197051.57305802,43672244.573058024,3,0.5925984536683448
2025-02-24,107616111.96065803,21816197.96065803,4,0.7972775863837793
2025-02-25,107383950.96065803,21816197.96065803,4,0.7968393063815395
2025-02-26,107127435.96065803,21816197.96065803,4,0.7963528412210864
2025-02-27,107081061.96065803,21816197.96065803,4,0.7962646469767607
2025-02-28,106512145.96065803,21816197.96065803,4,0.7951764302193649
2025-03-03,106944778.96065803,21816197.96065803,4,0.796005020790369
2025-03-04,107531183.29668602,43938689.29668603,3,0.5913865359831844
2025-03-05,106660399.89045604,21948544.890456036,4,0.7942203018833798
2025-03-06,108176079.89045604,21948544.890456036,4,0.797103528685065
2025-03-07,109108506.89045604,21948544.890456036,4,0.7988374553370785
2025-03-10,109842065.89045604,21948544.890456036,4,0.8001808804985058
2025-03-11,110203346.89045604,21948544.890456036,4,0.8008359499982042
2025-03-12,109923786.89045604,21948544.890456036,4,0.8003294326793096
2025-03-13,109378039.44648404,64619247.446484044,2,0.4092118694621452
2025-03-14,109491287.65210405,21498755.652104054,4,0.803648709288963
2025-03-17,109920727.65210405,21498755.652104054,4,0.8044158175503805
2025-03-18,108970313.65210405,21498755.652104054,4,0.8027099773178551
2025-03-19,108372234.89674404,42537810.89674405,3,0.607484233048496
2025-03-20,108629227.59427205,63469632.59427205,2,0.4157223244619778
2025-03-21,108571127.59427205,63469632.59427205,2,0.41540965816016306
2025-03-24,108669957.59427205,63469632.59427205,2,0.4159413144225106
2025-03-25,108491892.59427205,63469632.59427205,2,0.41498271367032086
2025-03-26,107821817.59427205,63469632.59427205,2,0.411347035225236
2025-03-27,107599999.29367206,86300679.29367206,1,0.1979490719313844
2025-03-28,107708669.29367206,86300679.29367206,1,0.1987582813935826
2025-03-31,107545664.29367206,86300679.29367206,1,0.1975438539482809
2025-04-01,107545664.29367206,86300679.29367206,1,0.1975438539482809
2025-04-02,107165319.29367206,86300679.29367206,1,0.19469582265530586
2025-04-03,107427799.72497205,107427799.72497205,0,0.0
2025-04-04,107427799.72497205,107427799.72497205,0,0.0
2025-04-08,107427799.72497205,107427799.72497205,0,0.0
2025-04-09,107427799.72497205,107427799.72497205,0,0.0
2025-04-10,107427799.72497205,107427799.72497205,0,0.0
2025-04-11,107427799.72497205,107427799.72497205,0,0.0
2025-04-14,107427799.72497205,107427799.72497205,0,0.0
2025-04-15,107427799.72497205,107427799.72497205,0,0.0
2025-04-16,107427799.72497205,107427799.72497205,0,0.0
2025-04-17,107427799.72497205,107427799.72497205,0,0.0
2025-04-18,107427799.72497205,107427799.72497205,0,0.0
2025-04-21,107427799.72497205,107427799.72497205,0,0.0
2025-04-22,107427799.72497205,107427799.72497205,0,0.0
2025-04-23,107427799.72497205,107427799.72497205,0,0.0
2025-04-24,107427799.72497205,107427799.72497205,0,0.0
2025-04-25,107427799.72497205,107427799.72497205,0,0.0
2025-04-28,107427799.72497205,107427799.72497205,0,0.0
2025-04-29,107427799.72497205,107427799.72497205,0,0.0
2025-05-05,107427799.72497205,107427799.72497205,0,0.0
2025-05-06,106564670.09958506,21404624.099585064,4,0.7991395827568146
2025-05-07,107928598.09958506,21404624.099585064,4,0.8016779196943229
2025-05-08,108689162.09958506,21404624.099585064,4,0.8030656995959419
2025-05-09,108060963.09958506,21404624.099585064,4,0.8019208464775635
2025-05-12,108508284.09958506,21404624.099585064,4,0.8027374197536784
2025-05-13,108101285.09958506,21404624.099585064,4,0.8019947304061493
2025-05-14,109521667.09958506,21404624.099585064,4,0.804562652610808
2025-05-15,108862572.09958506,21404624.099585064,4,0.8033794013244094
2025-05-16,109447685.09958506,21404624.099585064,4,0.8044305452407764
2025-05-19,109223519.09958506,21404624.099585064,4,0.8040291662817668
2025-05-20,109978393.09958506,21404624.099585064,4,0.8053742785621241
2025-05-21,111931145.09958506,21404624.099585064,4,0.8087697210589476
2025-05-22,112050815.09958506,21404624.099585064,4,0.8089739545351659
2025-05-23,112606122.09958506,21404624.099585064,4,0.8099159823596844
2025-05-26,114464412.09958506,21404624.099585064,4,0.8130019304081793
2025-05-27,115294272.09954506,42311736.09954506,3,0.633010943830643
2025-05-28,114639740.09954506,42311736.09954506,3,0.6309156313264097
2025-05-29,114150535.63844106,70169415.63844106,2,0.3852905267068149
2025-05-30,113705963.63844106,70169415.63844106,2,0.3828871116948295
2025-06-02,114490097.63844106,70169415.63844106,2,0.38711367108764644
2025-06-03,114750783.12605107,23343514.12605106,4,0.7965720713172932
2025-06-04,116228837.12605107,23343514.12605106,4,0.7991590150666753
2025-06-05,118363307.12605107,23343514.12605106,4,0.8027808220904864
2025-06-06,118736031.12605107,23343514.12605106,4,0.8033999123545791
2025-06-09,117728211.04805505,74653227.04805505,2,0.36588497877044424
2025-06-10,117886264.86060506,37291164.86060506,3,0.6836682805694106
2025-06-11,117739610.64263105,41325498.64263106,3,0.6490093825087956
2025-06-12,118935340.64263105,41325498.64263106,3,0.6525381066776178
2025-06-13,118553482.02464107,20646212.024641067,4,0.8258489613965974
2025-06-16,120362454.02464107,20646212.024641067,4,0.8284663420005187
2025-06-17,121335436.49493307,40042034.49493307,3,0.6699889525134299
2025-06-18,121690284.35136107,20002443.351361074,4,0.8356282635217842
2025-06-19,122321090.35136107,20002443.351361074,4,0.8364759233758866
2025-06-20,122186525.35136107,20002443.351361074,4,0.836295832999246
2025-06-23,121935765.35136107,20002443.351361074,4,0.8359591765900389
2025-06-24,123123125.35136107,20002443.351361074,4,0.8375411337693115
2025-06-25,123808974.35136107,20002443.351361074,4,0.8384410867131848
2025-06-26,124736924.35136107,20002443.351361074,4,0.8396429649410158
2025-06-27,124482081.05462107,61673767.05462107,3,0.5045570693218131
2025-06-30,124733330.09154108,30809050.091541074,4,0.753000660938576
2025-07-01,124142063.09154108,30809050.091541074,4,0.7518242461556096
2025-07-02,125429606.09154108,30809050.091541074,4,0.7543717862826101
2025-07-03,124995034.09154108,30809050.091541074,4,0.7535178072036219
2025-07-04,125278483.09154108,30809050.091541074,4,0.7540754858196288
2025-07-07,125998728.09154108,30809050.091541074,4,0.7554812611349729
2025-07-08,126784381.52880907,52413718.52880907,3,0.5865916771704316
2025-07-09,126884655.52489707,26181420.524897076,4,0.7936596792055773
2025-07-10,126836096.52489707,26181420.524897076,4,0.7935806821384018
2025-07-11,126803930.52489707,26181420.524897076,4,0.7935283203247668
