symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DGW,1,1.0,0.21838079553833228,9414407.220840015,inf
CII,1,1.0,0.283842400198747,6932775.205646001,inf
GEX,1,1.0,0.29533116157233197,6351457.527622003,inf
PVD,1,1.0,0.22182488417339064,6328879.440355003,inf
DXS,1,1.0,0.2406586320910556,5634522.191416003,inf
VHM,2,0.5,0.07711939081804504,4793086.383940019,3.796454591443511
MSN,1,1.0,0.11533789259784212,4309261.515810005,inf
MSB,1,1.0,0.1460810666684457,3832042.0735760033,inf
LPB,1,1.0,0.11880342926761321,3659344.1491200067,inf
STB,2,1.0,0.07345541446924271,3211761.7930500135,inf
PVT,1,1.0,0.11002569342616389,3017212.9650599994,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
PC1,1,1.0,0.10405328253233809,2853473.376990009,inf
OCB,1,1.0,0.10268008193217341,2747544.0692700073,inf
TPB,2,0.5,0.04518207556367544,2646069.8567840047,3.8081681530538156
PLX,1,1.0,0.08797048662719373,2601949.3940200135,inf
MBB,1,1.0,0.08921320626774963,2446460.129940007,inf
DSE,2,0.5,0.036030526568752566,2065920.571716018,7.104764430291602
TCB,1,1.0,0.09810622746166307,1966008.686970003,inf
HDG,1,1.0,0.06687700339022995,1952723.1618260108,inf
CTS,1,1.0,0.04370035358494848,1360881.6306250058,inf
VIC,2,0.5,0.026053887083799535,1295259.259495005,3.482663126762372
PNJ,1,1.0,0.03210836432594564,1260147.4649840072,inf
POW,1,1.0,0.05537368453708488,1190921.476292003,inf
REE,2,0.5,0.029204623306426786,1145553.7419040166,4.3059762879274865
HHV,4,0.75,0.007123195173247686,1124800.3960040286,1.8475340140032372
VCI,2,1.0,0.024606656426567713,1073995.6095420085,inf
SAB,1,1.0,0.030758567381081032,889464.1195430048,inf
DPM,1,1.0,0.039233693379547664,732241.2239820026,inf
VRE,1,1.0,0.028740168888156756,632000.4641100056,inf
GAS,1,1.0,0.0022907956322610963,70704.75880999863,inf
CTG,2,0.5,0.010888986520382178,-85117.05143198743,0.950557776150117
GMD,2,0.5,-0.003154105104391035,-369598.7521099895,0.6990093360008989
SSB,1,0.0,-0.02006494096222525,-432594.4053599946,0.0
KDC,1,0.0,-0.027770050841084595,-597175.147382997,0.0
VIB,1,0.0,-0.04829466651975941,-914745.0323430002,0.0
PAN,1,0.0,-0.04914841636673844,-1150710.7818019986,0.0
VGC,2,0.5,-0.011316976090308815,-1232019.7977139875,0.6309307362656529
SHB,1,0.0,-0.048123646586694824,-1365052.9375439957,0.0
VHC,1,0.0,-0.06958014725054472,-1498051.1927699968,0.0
NKG,1,0.0,-0.04773656022407258,-1630186.2014399953,0.0
TCH,1,0.0,-0.07001944228428861,-1685222.877843991,0.0
FTS,1,0.0,-0.06763246100336504,-1955789.70376499,0.0
VCG,1,0.0,-0.06544876043462544,-2150329.6195499934,0.0
NAB,2,0.0,-0.038066784405074966,-2180580.9771049805,0.0
DBC,2,0.0,-0.04926511070095532,-2298928.964589987,0.0
HAG,2,0.0,-0.0437589528213301,-2467999.5538599864,0.0
NLG,2,0.0,-0.06275360779452052,-3782320.288209982,0.0
