date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98654434.446178,19930278.446178008,4,0.797978889057935
2025-01-06,98590331.446178,19930278.446178008,4,0.7978475358198968
2025-01-07,98973192.446178,19930278.446178008,4,0.7986295283238826
2025-01-08,99766720.446178,19930278.446178008,4,0.8002311957630204
2025-01-09,100035510.446178,19930278.446178008,4,0.8007679637232313
2025-01-10,99157197.446178,19930278.446178008,4,0.7990032094544014
2025-01-13,99886326.577602,39006627.57760201,3,0.6094898179352143
2025-01-14,100343829.577602,39006627.57760201,3,0.6112702919372257
2025-01-15,101564319.577602,39006627.57760201,3,0.6159416245800938
2025-01-16,101653257.577602,39006627.57760201,3,0.6162776431653026
2025-01-17,102609375.577602,39006627.57760201,3,0.6198531824404111
2025-01-20,101783292.577602,39006627.57760201,3,0.6167678742769849
2025-01-21,101976662.47683,60313172.476830006,2,0.40855906624190913
2025-01-22,101721041.47683,60313172.476830006,2,0.4070727983003583
2025-01-23,102271088.47683,60313172.476830006,2,0.4102617526115972
2025-01-24,102376419.98366702,20065634.983667016,4,0.8040014000600113
2025-02-03,102373656.98366702,20065634.983667016,4,0.8039961101822479
2025-02-04,104736053.98366702,20065634.983667016,4,0.8084171188385985
2025-02-05,105601607.98366702,20065634.983667016,4,0.8099874105442553
2025-02-06,106297581.98366702,20065634.983667016,4,0.8112315011384721
2025-02-07,105763902.98366702,20065634.983667016,4,0.8102789853853472
2025-02-10,105312642.65655902,43002110.65655901,3,0.5916719059382488
2025-02-11,106185916.08501302,21479584.085013017,4,0.7977172032135001
2025-02-12,106678008.08501302,21479584.085013017,4,0.7986503078694939
2025-02-13,106716980.08501302,21479584.085013017,4,0.7987238388126995
2025-02-14,106575023.08501302,21479584.085013017,4,0.7984557407237985
2025-02-17,105723783.08501302,21479584.085013017,4,0.7968329976639109
2025-02-18,106188059.08501302,21479584.085013017,4,0.7977212855183963
2025-02-19,109024408.08501302,21479584.085013017,4,0.8029837128924004
2025-02-20,108577253.08501302,21479584.085013017,4,0.802172338360825
2025-02-21,108797787.96324502,44523406.96324502,3,0.5907691893672848
2025-02-24,109104581.45310903,22240772.453109026,4,0.7961518008052882
2025-02-25,109269268.45310903,22240772.453109026,4,0.7964590340178468
2025-02-26,109068721.45310903,22240772.453109026,4,0.7960847788733747
2025-02-27,108948115.45310903,22240772.453109026,4,0.7958590439071762
2025-02-28,108179434.45310903,22240772.453109026,4,0.7944084976451841
2025-03-03,108835868.45310903,22240772.453109026,4,0.7956485047694432
2025-03-04,109539454.78913704,44363263.78913703,3,0.5950019664189846
2025-03-05,108984368.37050703,22160294.370507035,4,0.796665386955585
2025-03-06,110813037.37050703,22160294.370507035,4,0.8000208739300831
2025-03-07,111729745.37050703,22160294.370507035,4,0.8016616408010125
2025-03-10,112465396.37050703,22160294.370507035,4,0.8029589981837439
2025-03-11,113031839.37050703,22160294.370507035,4,0.8039464411627611
2025-03-12,112526040.37050703,22160294.370507035,4,0.8030651900880783
2025-03-13,111881963.42031503,65909643.420315035,2,0.41090018975884857
2025-03-14,111997459.56633505,21927831.56633505,4,0.8042113486212836
2025-03-17,112285107.56633505,21927831.56633505,4,0.8047129130336302
2025-03-18,111642136.42605504,44081076.426055044,3,0.605157355124141
2025-03-19,111516987.33035205,43478827.33035205,3,0.6101147603498949
2025-03-20,112025343.33035205,43478827.33035205,3,0.6118840073345088
2025-03-21,111966109.33035205,43478827.33035205,3,0.611678680357917
2025-03-24,113319114.33035205,43478827.33035205,3,0.616315150473194
2025-03-25,113137598.33035205,43478827.33035205,3,0.6156995731569481
2025-03-26,112158325.33035205,43478827.33035205,3,0.6123441821880885
2025-03-27,112797424.04966806,66755492.04966806,2,0.40818247746266234
2025-03-28,112908264.04966806,66755492.04966806,2,0.4087634540169488
2025-03-31,112263855.04966806,66755492.04966806,2,0.4053696800262745
2025-04-01,112192385.29895405,90523165.29895405,1,0.19314341113489114
2025-04-02,111804445.29895405,90523165.29895405,1,0.19034377339018996
2025-04-03,112072167.12655406,112072167.12655406,0,0.0
2025-04-04,112072167.12655406,112072167.12655406,0,0.0
2025-04-08,112072167.12655406,112072167.12655406,0,0.0
2025-04-09,112072167.12655406,112072167.12655406,0,0.0
2025-04-10,112072167.12655406,112072167.12655406,0,0.0
2025-04-11,112072167.12655406,112072167.12655406,0,0.0
2025-04-14,112072167.12655406,112072167.12655406,0,0.0
2025-04-15,112072167.12655406,112072167.12655406,0,0.0
2025-04-16,112072167.12655406,112072167.12655406,0,0.0
2025-04-17,112072167.12655406,112072167.12655406,0,0.0
2025-04-18,112072167.12655406,112072167.12655406,0,0.0
2025-04-21,112072167.12655406,112072167.12655406,0,0.0
2025-04-22,112072167.12655406,112072167.12655406,0,0.0
2025-04-23,112072167.12655406,112072167.12655406,0,0.0
2025-04-24,112072167.12655406,112072167.12655406,0,0.0
2025-04-25,112072167.12655406,112072167.12655406,0,0.0
2025-04-28,112072167.12655406,112072167.12655406,0,0.0
2025-04-29,112072167.12655406,112072167.12655406,0,0.0
2025-05-05,112072167.12655406,112072167.12655406,0,0.0
2025-05-06,111171744.05379808,22332200.053798076,4,0.7991198191242631
2025-05-07,112594616.05379808,22332200.053798076,4,0.801658366656469
2025-05-08,113388053.05379808,22332200.053798076,4,0.8030462694054519
2025-05-09,112732706.05379808,22332200.053798076,4,0.8019013218476211
2025-05-12,113199365.05379808,22332200.053798076,4,0.8027179742290543
2025-05-13,112774778.05379808,22332200.053798076,4,0.8019752249643557
2025-05-14,114256541.05379808,22332200.053798076,4,0.8045433561367582
2025-05-15,113568975.05379808,22332200.053798076,4,0.8033600281835842
2025-05-16,114179371.05379808,22332200.053798076,4,0.8044112535593161
2025-05-19,113945507.05379808,22332200.053798076,4,0.8040098233688654
2025-05-20,114733014.05379808,22332200.053798076,4,0.8053550650789445
2025-05-21,116770132.05379808,22332200.053798076,4,0.8087507510609885
2025-05-22,116894990.05379808,22332200.053798076,4,0.8089550284103688
2025-05-23,117474278.05379808,22332200.053798076,4,0.809897107487897
2025-05-26,119428356.34195007,44025045.341950074,3,0.6313685736752792
2025-05-27,120161881.34195007,44025045.341950074,3,0.633618874386079
2025-05-28,119479065.34195007,44025045.341950074,3,0.6315250272844868
2025-05-29,118968709.83915007,73086257.83915007,2,0.38566823210939
2025-05-30,118504917.83915007,73086257.83915007,2,0.3832639254823836
2025-06-02,119322951.83915007,73086257.83915007,2,0.38749203977394114
2025-06-03,119332222.52474608,36506804.524746075,3,0.6940742093597091
2025-06-04,118870689.25823009,18235801.258230083,4,0.8465912718095262
2025-06-05,118995199.25823009,18235801.258230083,4,0.8467517902242695
2025-06-06,117246698.36107008,35864212.36107008,3,0.6941132427403327
2025-06-09,115582987.47351007,70645843.47351007,2,0.38878683604106473
2025-06-10,115738285.19201007,35293745.192010075,3,0.6950555718580271
2025-06-11,115601018.04504007,41309858.04504007,3,0.6426514338399246
2025-06-12,116771840.04504007,41309858.04504007,3,0.6462344172267351
2025-06-13,116368526.37152007,20635050.371520076,4,0.8226749876883354
2025-06-16,118125986.37152007,20635050.371520076,4,0.8253132015624367
2025-06-17,119067491.26414007,38991163.26414008,3,0.6725288922259911
2025-06-18,119421665.43646409,19476516.436464082,4,0.8369096900023876
2025-06-19,120029270.43646409,19476516.436464082,4,0.8377352760235786
2025-06-20,119899920.43646409,19476516.436464082,4,0.8375602221789226
2025-06-23,119621643.43646409,19476516.436464082,4,0.8371823369337936
2025-06-24,120783660.43646409,19476516.436464082,4,0.8387487482488633
2025-06-25,121439799.43646409,19476516.436464082,4,0.8396199884482354
2025-06-26,122301951.43646409,19476516.436464082,4,0.8407505668739705
2025-06-27,122044848.23266408,58906051.23266408,3,0.5173409440407787
2025-06-30,122996700.15383509,29426351.153835084,4,0.7607549542627501
2025-07-01,123159346.15383509,29426351.153835084,4,0.7610709047035747
2025-07-02,126191007.15383509,29426351.153835084,4,0.7668110286340576
2025-07-03,125017833.15383509,29426351.153835084,4,0.7646227709160035
2025-07-04,124788685.15383509,29426351.153835084,4,0.7641905504689042
2025-07-07,125702464.15383509,29426351.153835084,4,0.7659047390047738
2025-07-08,126652037.32852708,51964923.32852708,3,0.5897032181666887
2025-07-09,127135522.68868509,25957143.688685086,4,0.7958309122443618
2025-07-10,126907268.68868509,25957143.688685086,4,0.795463695997112
2025-07-11,126817300.68868509,25957143.688685086,4,0.7953185918031368
2025-07-14,127371885.68868509,25957143.688685086,4,0.7962097872043127
2025-07-15,126793847.68868509,25957143.688685086,4,0.7952807319767025
2025-07-16,127256265.68868509,25957143.688685086,4,0.7960246314929148
2025-07-17,127335816.68868509,25957143.688685086,4,0.7961520618181922
2025-07-18,129339833.68868509,25957143.688685086,4,0.799310522146157
2025-07-21,128216723.68868509,25957143.688685086,4,0.7975525895380856
2025-07-22,129028481.68868509,25957143.688685086,4,0.798826248678075
2025-07-23,129303417.68868509,25957143.688685086,4,0.7992540015362911
2025-07-24,130116257.68868509,25957143.688685086,4,0.8005080675560935
2025-07-25,130768355.68868509,25957143.688685086,4,0.8015028670202123
2025-07-28,132316374.68868509,25957143.688685086,4,0.803825159586202
2025-07-29,131841573.44748507,109684773.44748507,1,0.168056246756077
2025-07-30,132441653.44748507,109684773.44748507,1,0.17182570141366751
2025-07-31,132741693.44748507,109684773.44748507,1,0.17369764842665442
2025-08-01,132055490.78104508,54788705.78104509,2,0.5851084611704058
2025-08-04,136773754.2989851,27371894.29898509,3,0.7998746584147234
2025-08-05,140595990.6482901,98032630.6482901,2,0.3027352330869447
2025-08-06,141976845.9135651,32617270.913565107,4,0.7702634489188304
2025-08-07,142904685.9135651,32617270.913565107,4,0.7717550638381905
2025-08-08,144108355.9135651,32617270.913565107,4,0.7736614875189566
2025-08-11,143758680.9135651,32617270.913565107,4,0.7731109474134906
2025-08-12,143778470.9135651,32617270.913565107,4,0.7731421769454376
2025-08-13,143019840.9135651,32617270.913565107,4,0.7719388393581171
2025-08-14,146421610.9135651,32617270.913565107,4,0.7772373168820034
2025-08-15,146834702.5152251,47119492.51522511,3,0.679098389494545
2025-08-18,147319804.2918811,23537054.291881118,4,0.84023156693008
2025-08-19,149592069.2918811,23537054.291881118,4,0.8426584082745986
2025-08-20,154212045.4577111,89543985.45771112,2,0.4193450635328849
2025-08-21,151487998.30395114,29790898.30395113,4,0.8033448283858264
2025-08-22,149956406.30395114,29790898.30395113,4,0.8013362747332909
2025-08-25,151938655.91599113,56546463.91599113,3,0.6278335912932097
2025-08-26,156358031.91599113,56546463.91599113,3,0.6383526754393231
2025-08-27,154504619.91599113,56546463.91599113,3,0.6340144136354164
2025-08-28,156803950.69750112,28251468.69750113,4,0.8198293565191955
2025-08-29,158541408.69750112,28251468.69750113,4,0.8218038496718213
2025-09-03,155539336.17426112,63453994.17426113,3,0.5920389289615499
2025-09-04,157425302.12108114,31697396.12108114,4,0.7986511971455414
2025-09-05,154231627.32214513,63998797.32214514,3,0.5850475130598849
2025-09-08,152033642.32214513,63998797.32214514,3,0.5790484504308747
2025-09-09,153215616.09079513,93531816.09079513,2,0.3895412329552071
2025-09-10,153548546.09079513,93531816.09079513,2,0.3908648536763831
2025-09-11,154882236.09079513,93531816.09079513,2,0.39611011274420865
2025-09-12,154886986.09079513,93531816.09079513,2,0.3961286325504032
2025-09-15,156536769.97359413,46723137.97359414,3,0.7015197261226499
2025-09-16,155335360.75615415,23338999.756154142,4,0.8497508896715941
2025-09-17,153622702.57341415,54598631.57341415,3,0.644592689369449
2025-09-18,152905295.74956614,49076005.74956615,3,0.6790431259493811
2025-09-19,152494221.03146315,24514854.031463154,4,0.839240766858928
2025-09-22,150895272.43389314,50709800.43389315,3,0.6639404295710525
2025-09-23,150332871.43389314,50709800.43389315,3,0.6626832179135745
2025-09-24,151454013.43389314,50709800.43389315,3,0.6651802135568562
2025-09-25,151504655.78523317,25330457.78523316,4,0.832807396881977
2025-09-26,149791574.78523317,25330457.78523316,4,0.8308953102232135
2025-09-29,149869027.78523317,25330457.78523316,4,0.8309827043014353
2025-09-30,149608513.97039315,54704708.97039316,3,0.6343476215449947
2025-10-01,149692722.97039315,54704708.97039316,3,0.6345533177239826
2025-10-02,148098844.97039315,54704708.97039316,3,0.6306202861924458
2025-10-03,147667617.97039315,54704708.97039316,3,0.6295416034857334
2025-10-06,150971045.97039315,54704708.97039316,3,0.6376476786077162
2025-10-07,151178124.09611815,27325758.096118163,4,0.819247935112989
2025-10-08,150410852.09611815,27325758.096118163,4,0.8183258872926538
2025-10-09,152189912.09611815,27325758.096118163,4,0.820449609834454
2025-10-10,152431182.09611815,27325758.096118163,4,0.8207338044594614
2025-10-13,153565574.09611815,27325758.096118163,4,0.82205804746958
2025-10-14,151197794.09611815,27325758.096118163,4,0.819271449960792
2025-10-15,152441982.09611815,27325758.096118163,4,0.8207465048644629
2025-10-16,155696650.09611815,27325758.096118163,4,0.8244936029179253
2025-10-17,154356968.09611815,27325758.096118163,4,0.8229703625747404
2025-10-20,148892697.85677415,77048568.85677417,2,0.4825228505773315
2025-10-21,150432092.75293416,103536997.75293416,1,0.3117359742978469
2025-10-22,150865473.75293416,103536997.75293416,1,0.31371310361910765
2025-10-23,153343104.75293416,103536997.75293416,1,0.3248017384299569
2025-10-24,154806787.75293416,103536997.75293416,1,0.3311856717925358
2025-10-27,153997264.75293416,103536997.75293416,1,0.32766989128642016
2025-10-28,154749548.75293416,103536997.75293416,1,0.33093828972492545
2025-10-29,155076628.75293416,103536997.75293416,1,0.332349441785404
2025-10-30,154586008.75293416,103536997.75293416,1,0.3302304743606433
2025-10-31,154586008.75293416,103536997.75293416,1,0.3302304743606433
2025-11-03,153670184.75293416,103536997.75293416,1,0.3262388672246505
2025-11-04,152108377.75293416,103536997.75293416,1,0.3193208731664556
2025-11-05,152860661.75293416,103536997.75293416,1,0.3226707475578048
2025-11-06,152108377.75293416,103536997.75293416,1,0.3193208731664556
2025-11-07,150759172.75293416,103536997.75293416,1,0.3132291995087306
2025-11-10,150489331.75293416,103536997.75293416,1,0.31199775727015644
2025-11-11,151617757.75293416,103536997.75293416,1,0.31711826314137354
2025-11-12,151781297.75293416,103536997.75293416,1,0.317854048649201
2025-11-13,152263740.75293416,103536997.75293416,1,0.3200154072075825
2025-11-14,152108377.75293416,103536997.75293416,1,0.3193208731664556
2025-11-17,151848625.96073815,151848625.96073815,0,0.0
2025-11-18,151854414.8358532,30250909.835853186,4,0.8007900536276613
2025-11-19,147824774.8358532,30250909.835853186,4,0.7953596758767653
2025-11-20,147719183.51225317,59301753.51225318,3,0.5985507629932565
2025-11-21,147160698.30946118,29623694.309461184,4,0.7986983301263892
2025-11-24,147043944.30946118,29623694.309461184,4,0.79853849508337
2025-11-25,147385245.3592972,58937465.359297186,3,0.6001128524390698
2025-11-26,148759555.3592972,58937465.359297186,3,0.6038071960019897
2025-11-27,147688285.3592972,58937465.359297186,3,0.6009333765646092
2025-11-28,146943770.3012972,87821610.30129719,2,0.4023454677852245
2025-12-01,146029310.3012972,87821610.30129719,2,0.39860285500152043
2025-12-02,145598070.3012972,87821610.30129719,2,0.39682160539929384
2025-12-03,146383590.3012972,87821610.30129719,2,0.4000583663746977
2025-12-04,146390709.9548682,29216145.95486821,4,0.8004234970656577
2025-12-05,144231034.9548682,29216145.95486821,4,0.7974350945757942
2025-12-08,143105041.9548682,29216145.95486821,4,0.795841253698928
2025-12-09,142589626.1956602,142589626.1956602,0,0.0
2025-12-10,142589626.1956602,142589626.1956602,0,0.0
2025-12-11,142589626.1956602,142589626.1956602,0,0.0
2025-12-12,142589626.1956602,142589626.1956602,0,0.0
2025-12-15,142589626.1956602,142589626.1956602,0,0.0
2025-12-16,142589626.1956602,142589626.1956602,0,0.0
2025-12-17,142589626.1956602,142589626.1956602,0,0.0
2025-12-18,142589626.1956602,142589626.1956602,0,0.0
2025-12-19,142589626.1956602,142589626.1956602,0,0.0
2025-12-22,142589626.1956602,142589626.1956602,0,0.0
2025-12-23,142166579.7844302,28410379.7844302,4,0.8001613330818721
2025-12-24,142783979.7844302,28410379.7844302,4,0.8010254383767484
2025-12-25,141405559.7844302,28410379.7844302,4,0.7990858363154799
2025-12-26,141531789.7844302,28410379.7844302,4,0.799265028530321
2025-12-29,144090109.7844302,28410379.7844302,4,0.8028290780891603
2025-12-30,143556319.7844302,28410379.7844302,4,0.8020959312199397
