symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
VPB,2,0.5,0.1349180680181527,8632244.322255008,4.756108007960538
GEX,1,1.0,0.29533116157233186,6625859.006650001,inf
DGW,2,0.5,0.08853473748875013,6048789.582090013,6.358700490937467
PLX,2,1.0,0.09692505616416189,5740915.961020015,inf
SHB,4,0.5,0.02297076315684842,5349265.694907036,3.0380922135332216
MBB,2,1.0,0.0950510103080093,4576811.913422003,inf
MSN,1,1.0,0.11533789259784205,4077436.514700003,inf
GMD,2,1.0,0.06828622306482977,4064095.341890011,inf
LPB,1,1.0,0.1188034292676134,3888560.2737600133,inf
VHM,1,1.0,0.14016291929915073,3842820.3352000043,inf
SIP,1,1.0,0.12570419445330913,3811798.2130000107,inf
MSB,1,1.0,0.14608106666844572,3799244.1914660037,inf
PVT,1,1.0,0.11002569342616403,3140657.4536400028,inf
BCM,1,1.0,0.10216354414812756,3011750.6404770054,inf
PC1,1,1.0,0.10405328253233802,2970151.3713600077,inf
NAB,2,0.5,0.03432150042527476,2583730.6041950136,3.509159638667063
STB,1,1.0,0.12189157817355138,2520084.9357600026,inf
PAN,3,0.6666666666666666,0.0338073917036721,2259395.997724004,2.2567405137481105
HDG,1,1.0,0.06687700339022984,2150533.3521520086,inf
VGC,1,1.0,0.10522211468429184,2106160.643670004,inf
DSE,2,0.5,0.03603052656875231,2092728.3782839999,7.283505627516511
VCI,3,1.0,0.025967947832888413,2069562.4769640267,inf
TCB,1,1.0,0.09810622746166305,1914508.3805100024,inf
BID,1,1.0,0.060538555359843704,1819183.8900450058,inf
PNJ,1,1.0,0.032108364325945486,1502950.0906030014,inf
POW,1,1.0,0.055373684537084814,1242409.7488600016,inf
REE,2,0.5,0.02920462330642675,1157008.1537300162,4.176079552248834
CTS,1,1.0,0.04370035358494854,1109086.247500006,inf
DPM,1,1.0,0.039233693379547636,692989.5647700019,inf
VRE,1,1.0,0.028740168888156788,638117.0909100063,inf
CTD,2,0.5,0.037008909765717475,392450.30387100205,1.155231740179634
VIC,3,0.3333333333333333,-0.0003802103622792402,365732.21776002273,1.1717070708889856
HHV,3,0.6666666666666666,-0.0031239909322165146,-149941.57822497562,0.9052824155828829
SSB,1,0.0,-0.020064940962225303,-441232.7587199956,0.0
GAS,1,0.0,-0.035170053570819745,-642592.16367599,0.0
KDC,1,0.0,-0.03297201920374307,-739644.4835399985,0.0
HCM,1,0.0,-0.021497526507454737,-740419.3332899883,0.0
TPB,1,0.0,-0.047069972602829795,-942276.1432239972,0.0
VJC,1,0.0,-0.03319809123798939,-997037.4764999971,0.0
VIB,1,0.0,-0.048294666519759305,-1186172.6315669976,0.0
KDH,1,0.0,-0.05047523334379319,-1534381.7957599945,0.0
FTS,1,0.0,-0.06763246100336522,-2055997.6012599953,0.0
NKG,1,0.0,-0.06239349676681546,-2072873.2894799896,0.0
TCH,1,0.0,-0.07001944228428883,-2223579.284529995,0.0
VCG,1,0.0,-0.0654487604346255,-2254201.343449995,0.0
BSI,2,0.5,-0.022895038339928928,-2317818.4448849875,0.25756155254933305
HAG,2,0.0,-0.04375895282133016,-2546757.7472299896,0.0
VNM,1,0.0,-0.07418310480894606,-2608620.2366099916,0.0
NLG,2,0.0,-0.06275360779452054,-4004593.6711599827,0.0
