symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DGW,1,1.0,0.2183807955383322,8381871.78354001,inf
GEX,1,1.0,0.2953311615723319,6467720.001668002,inf
PVD,1,1.0,0.22182488417339055,5635135.3112,inf
VHM,2,0.5,0.0771193908180451,4793455.780360017,5.751667209633189
MBB,2,1.0,0.09505101030800953,4150233.175709013,inf
STB,3,1.0,0.05820155148983685,3874342.2985400185,inf
TCB,1,1.0,0.17465188266603512,3650394.3411540017,inf
LPB,1,1.0,0.11880342926761332,3262779.968880009,inf
MSN,1,1.0,0.11533789259784213,2968999.933830004,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
PVT,1,1.0,0.11002569342616389,2717419.207079999,inf
PC1,1,1.0,0.10405328253233816,2569884.20085001,inf
PLX,1,1.0,0.08797048662719353,2322750.594740007,inf
SHB,4,0.5,0.02297076315684842,2133602.195964027,1.8372727158184916
VGC,1,1.0,0.10522211468429184,2106160.643670004,inf
VPB,2,0.5,0.04594953261681295,1882870.6173300147,1.9608638160751548
DSE,2,0.5,0.036030526568752594,1787873.8972560167,6.933711131171193
HDG,1,1.0,0.06687700339022977,1748973.2660580054,inf
TPB,2,0.5,0.023930467376287238,1559119.0273370072,2.6546306924448735
VIC,2,0.5,0.02605388708379964,1497009.1909200102,3.869708819764523
PNJ,1,1.0,0.03210836432594557,1298929.7163130045,inf
REE,2,0.5,0.029204623306426807,1174607.903222017,4.700067454543629
VCI,1,1.0,0.04461008453591237,975000.087000005,inf
DPM,1,1.0,0.03923369337954786,917317.3613130078,inf
DXG,1,1.0,0.03232389488633261,855123.1571500041,inf
VRE,1,1.0,0.028740168888156756,632000.4641100056,inf
POW,2,0.5,0.01619259623459607,577232.5717400126,1.908364379189169
DGC,1,1.0,0.020820564446061274,534042.2865280025,inf
CTG,2,0.5,0.001300374911717507,-68461.91836399585,0.9557151024945739
HHV,3,0.6666666666666666,-0.003123990932216576,-80257.66122698411,0.9413351613142094
SSB,1,0.0,-0.02006494096222525,-432594.4053599946,0.0
GVR,2,0.5,-0.005749654675311477,-479051.3532899879,0.6786315247598367
HCM,1,0.0,-0.02149752650745483,-624778.6047749929,0.0
GAS,1,0.0,-0.03517005357082018,-627084.3310379982,0.0
VJC,1,0.0,-0.033198091237989356,-862163.1511999965,0.0
VIB,1,0.0,-0.048294666519759354,-942908.481008999,0.0
GMD,1,0.0,-0.04445120893827984,-1091782.5519999973,0.0
GEE,1,0.0,-0.04939588728087458,-1261728.5762269907,0.0
DXS,1,0.0,-0.0758240591499654,-1328546.656278994,0.0
VHC,1,0.0,-0.06958014725054432,-1333856.482089989,0.0
KDC,2,0.0,-0.03235285439541211,-1503552.6736499928,0.0
PAN,1,0.0,-0.049148416366738584,-1754754.8248620033,0.0
NAB,2,0.0,-0.03753404380973911,-1767102.7404169925,0.0
FTS,1,0.0,-0.06763246100336519,-1791245.096099995,0.0
VCG,1,0.0,-0.06544876043462552,-1902054.6236999966,0.0
TCH,1,0.0,-0.07001944228428866,-1925311.1071159914,0.0
DBC,2,0.0,-0.04926511070095527,-2183092.862449985,0.0
HAG,2,0.0,-0.04375895282133025,-2242447.844879996,0.0
NLG,2,0.0,-0.06275360779452037,-3403670.017979976,0.0
