date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98161183.047481,19925572.047481008,4,0.7970116961829717
2025-01-06,97413886.047481,19925572.047481008,4,0.7954544998054078
2025-01-07,97394463.62853701,38452389.628537014,3,0.6051891637783989
2025-01-08,97990146.62853701,38452389.628537014,3,0.6075892224725095
2025-01-09,98395524.62853701,38452389.628537014,3,0.6092059087676746
2025-01-10,97711925.84916101,57972005.849161014,2,0.4067049099139337
2025-01-13,98598764.84916101,57972005.849161014,2,0.4120412569280344
2025-01-14,98355890.84916101,57972005.849161014,2,0.4105893876954751
2025-01-15,99447011.84916101,57972005.849161014,2,0.4170563320988302
2025-01-16,99834836.84916101,57972005.849161014,2,0.41932087356690867
2025-01-17,100492067.84916101,57972005.849161014,2,0.4231185894574563
2025-01-20,100134389.84916101,57972005.849161014,2,0.4210579808147027
2025-01-21,99963629.84916101,57972005.849161014,2,0.4200690197361059
2025-01-22,99501854.84916101,57972005.849161014,2,0.4173776364566954
2025-01-23,100134389.84916101,57972005.849161014,2,0.4210579808147027
2025-01-24,99910404.32520303,19286793.325203024,4,0.8069591104603526
2025-02-03,99845894.32520303,19286793.325203024,4,0.8068343875774703
2025-02-04,102117141.27057102,40721024.27057102,3,0.6012322342369923
2025-02-05,102858471.31526303,20341017.315263025,4,0.8022426635826868
2025-02-06,103689357.31526303,20341017.315263025,4,0.8038273373281981
2025-02-07,103930484.31526303,20341017.315263025,4,0.8042824735275885
2025-02-10,103032430.98815502,43277492.98815502,3,0.5799624198604966
2025-02-11,103872315.88891304,21618998.888913028,4,0.7918694822205213
2025-02-12,104445656.88891304,21618998.888913028,4,0.7930119879287397
2025-02-13,104694016.88891304,21618998.888913028,4,0.7935030144859935
2025-02-14,104225041.88891304,21618998.888913028,4,0.7925738527219267
2025-02-17,103838977.88891304,21618998.888913028,4,0.7918026609233284
2025-02-18,104246468.88891304,21618998.888913028,4,0.7926164874519573
2025-02-19,106464578.88891304,21618998.888913028,4,0.796937168074739
2025-02-20,106171406.88891304,21618998.888913028,4,0.796376448966783
2025-02-21,105973601.01117703,44808400.01117703,3,0.5771739415889897
2025-02-24,106173228.53512904,22383569.53512904,4,0.7891787803389336
2025-02-25,106616063.53512904,22383569.53512904,4,0.7900544365178719
2025-02-26,106353824.53512904,22383569.53512904,4,0.789536769053983
2025-02-27,106565157.53512904,22383569.53512904,4,0.789954145868453
2025-02-28,105451027.53512904,22383569.53512904,4,0.7877349319552873
2025-03-03,105462694.53512904,22383569.53512904,4,0.78775841415968
2025-03-04,105766241.53512904,22383569.53512904,4,0.7883675432704622
2025-03-05,104666915.53512904,22383569.53512904,4,0.7861447485990307
2025-03-06,106040633.53512904,22383569.53512904,4,0.7889151659235057
2025-03-07,106308917.53512904,22383569.53512904,4,0.7894478652015947
2025-03-10,106868608.53512904,22383569.53512904,4,0.7905505663267686
2025-03-11,107551317.53512904,22383569.53512904,4,0.7918800992110767
2025-03-12,106731714.53512904,22383569.53512904,4,0.7902819266736145
2025-03-13,105768563.59729704,42480222.59729704,3,0.5983662711064496
2025-03-14,105563992.01961705,21220086.019617047,4,0.798983672238601
2025-03-17,106502777.01961705,21220086.019617047,4,0.8007555613718085
2025-03-18,106143610.01961705,21220086.019617047,4,0.8000813613208064
2025-03-19,105696377.54710504,41538731.547105044,3,0.6069994780228609
2025-03-20,105965477.54911704,60491745.54911704,2,0.42913723461418884
2025-03-21,105905865.54911704,60491745.54911704,2,0.4288159089633976
2025-03-24,106011605.54911704,60491745.54911704,2,0.4293856296602342
2025-03-25,105826737.54911704,60491745.54911704,2,0.4283888273410943
2025-03-26,105150069.54911704,60491745.54911704,2,0.424710361024911
2025-03-27,104920309.60840504,83916949.60840504,1,0.2001839308175035
2025-03-28,105027469.60840504,83916949.60840504,1,0.20099998675309025
2025-03-31,104866729.60840504,83916949.60840504,1,0.19977527742336385
2025-04-01,104866729.60840504,83916949.60840504,1,0.19977527742336385
2025-04-02,104491669.60840504,83916949.60840504,1,0.19690296917549704
2025-04-03,104750502.80080503,104750502.80080503,0,0.0
2025-04-04,104750502.80080503,104750502.80080503,0,0.0
2025-04-08,104750502.80080503,104750502.80080503,0,0.0
2025-04-09,104750502.80080503,104750502.80080503,0,0.0
2025-04-10,104750502.80080503,104750502.80080503,0,0.0
2025-04-11,104750502.80080503,104750502.80080503,0,0.0
2025-04-14,104750502.80080503,104750502.80080503,0,0.0
2025-04-15,104750502.80080503,104750502.80080503,0,0.0
2025-04-16,104750502.80080503,104750502.80080503,0,0.0
2025-04-17,104750502.80080503,104750502.80080503,0,0.0
2025-04-18,104750502.80080503,104750502.80080503,0,0.0
2025-04-21,104750502.80080503,104750502.80080503,0,0.0
2025-04-22,104750502.80080503,104750502.80080503,0,0.0
2025-04-23,104750502.80080503,104750502.80080503,0,0.0
2025-04-24,104750502.80080503,104750502.80080503,0,0.0
2025-04-25,104750502.80080503,104750502.80080503,0,0.0
2025-04-28,104750502.80080503,104750502.80080503,0,0.0
2025-04-29,104750502.80080503,104750502.80080503,0,0.0
2025-05-05,104750502.80080503,104750502.80080503,0,0.0
2025-05-06,103689421.47049704,20868682.47049705,4,0.7987385581427431
2025-05-07,104019495.47049704,20868682.47049705,4,0.7993771996671911
2025-05-08,104787420.47049704,20868682.47049705,4,0.8008474454586595
2025-05-09,104703614.47049704,20868682.47049705,4,0.8006880414202192
2025-05-12,105573088.47049704,20868682.47049705,4,0.8023295257074069
2025-05-13,106386936.47049704,20868682.47049705,4,0.8038416824204324
2025-05-14,106605195.47049704,20868682.47049705,4,0.8042432887215853
2025-05-15,107293832.47049704,20868682.47049705,4,0.8054997012411186
2025-05-16,106811223.47049704,20868682.47049705,4,0.8046208835323255
2025-05-19,106385997.47049704,20868682.47049705,4,0.803839951058556
2025-05-20,107465102.47049704,20868682.47049705,4,0.8058096815547519
2025-05-21,108085740.47049704,20868682.47049705,4,0.8069247397514631
2025-05-22,108758580.47049704,20868682.47049705,4,0.8081192087997315
2025-05-23,107894269.47049704,20868682.47049705,4,0.8065821051209449
2025-05-26,108591152.47049704,20868682.47049705,4,0.8078233631771536
2025-05-27,108750557.38981704,41257034.389817044,3,0.6206269155758811
2025-05-28,108953021.38981704,41257034.389817044,3,0.6213318927411314
2025-05-29,108708869.38981704,41257034.389817044,3,0.6204814324590734
2025-05-30,107803195.38981704,41257034.389817044,3,0.6172930288324818
2025-06-02,109037373.38981704,41257034.389817044,3,0.6216248327780242
2025-06-03,109070180.28406705,20610052.284067046,4,0.8110386154090022
2025-06-04,109187072.28406705,20610052.284067046,4,0.8112409110993762
2025-06-05,108907562.28406705,20610052.284067046,4,0.8107564630791276
2025-06-06,107347664.28406705,20610052.284067046,4,0.8080065139607693
2025-06-09,105874340.91656704,40242267.91656704,3,0.6199053749172383
2025-06-10,105788044.51641704,20101897.516417045,4,0.8099794961868544
2025-06-11,106208396.45672104,42233499.456721045,3,0.6023525364688957
2025-06-12,106774425.98953505,21096101.98953505,4,0.8024236441074132
2025-06-13,105477769.64666505,42956432.64666505,3,0.592744207707816
2025-06-16,106182530.53183505,21458671.531835057,4,0.7979077026667637
2025-06-17,107804726.53183505,21458671.531835057,4,0.8009486947170332
2025-06-18,107504587.53183505,21458671.531835057,4,0.800392969039758
2025-06-19,107583809.53183505,21458671.531835057,4,0.8005399546157062
2025-06-20,108956259.53183505,21458671.531835057,4,0.8030524209986741
2025-06-23,108487073.53183505,21458671.531835057,4,0.802200660104099
2025-06-24,109013302.53183505,21458671.531835057,4,0.8031554770522754
2025-06-25,108284324.53183505,21458671.531835057,4,0.8018303053132468
2025-06-26,108674003.53183505,21458671.531835057,4,0.8025408944693113
2025-06-27,108261048.69584306,43480455.695843056,3,0.5983739653400144
2025-06-30,109086664.19194907,21721108.191949062,4,0.8008820935826897
2025-07-01,109174757.19194907,21721108.191949062,4,0.8010427616178765
2025-07-02,110712799.19194907,21721108.191949062,4,0.803806711143759
2025-07-03,109619590.19194907,21721108.191949062,4,0.8018501241072478
2025-07-04,109493640.19194907,21721108.191949062,4,0.8016221932719505
2025-07-07,110349388.19194907,21721108.191949062,4,0.8031605924795349
2025-07-08,111193934.19194907,21721108.191949062,4,0.80465563746982
2025-07-09,110890846.19194907,21721108.191949062,4,0.8041217202513685
2025-07-10,111436327.19194907,21721108.191949062,4,0.8050805447443143
2025-07-11,111400366.19194907,21721108.191949062,4,0.8050176230612889
2025-07-14,113195318.19194907,21721108.191949062,4,0.8081094824512454
2025-07-15,113394394.19194907,21721108.191949062,4,0.80844636680028
2025-07-16,113975160.19194907,21721108.191949062,4,0.8094224377016195
2025-07-17,114708386.19194907,21721108.191949062,4,0.8106406260863812
2025-07-18,115484612.19194907,21721108.191949062,4,0.8119133988531215
2025-07-21,116855251.19194907,21721108.191949062,4,0.8141195370307366
2025-07-22,119167490.19194907,21721108.191949062,4,0.8177262258610818
2025-07-23,120126587.19194907,21721108.191949062,4,0.8191815092753686
2025-07-24,121006918.49589907,47009540.49589907,3,0.6115136135997693
2025-07-25,122660049.73525907,23481915.73525907,4,0.8085610124409635
2025-07-28,125690457.73525907,23481915.73525907,4,0.8131766232825816
2025-07-29,125704958.26880708,103170066.26880708,1,0.17926812363130068
2025-07-30,126085256.1033731,25717960.103373095,4,0.7960272208013933
2025-07-31,126997725.1033731,25717960.103373095,4,0.7974927497131205
2025-08-01,125873310.1033731,25717960.103373095,4,0.7956837705924131
2025-08-04,126792048.1033731,25717960.103373095,4,0.7971642505340293
2025-08-05,125938290.1033731,25717960.103373095,4,0.7957891910215457
2025-08-06,127307223.1033731,25717960.103373095,4,0.7979850673320383
2025-08-07,128740841.1033731,25717960.103373095,4,0.8002346428456008
2025-08-08,128997313.1033731,25717960.103373095,4,0.800631815619572
2025-08-11,130340759.1033731,25717960.103373095,4,0.8026867398940326
2025-08-12,130128170.1033731,25717960.103373095,4,0.8023643913309249
2025-08-13,129672391.1033731,25717960.103373095,4,0.8016697318176922
2025-08-14,131527176.1033731,25717960.103373095,4,0.8044665683146713
2025-08-15,131358235.35577309,54058938.35577309,3,0.5884617495860929
2025-08-18,131029706.24972111,27002855.249721102,4,0.793918066195935
2025-08-19,131185181.24972111,27002855.249721102,4,0.794162305586032
2025-08-20,130727492.24972111,27002855.249721102,4,0.7934416488450713
2025-08-21,131694198.24972111,27002855.249721102,4,0.7949578978527378
2025-08-22,131789952.7773691,51429228.7773691,3,0.6097636603281301
2025-08-25,130373732.1710691,80812722.1710691,2,0.3801456717904556
2025-08-26,132107632.1710691,80812722.1710691,2,0.3882812003895209
2025-08-27,133018251.49763912,26891611.497639112,4,0.7978351752870815
2025-08-28,133526787.49763912,26891611.497639112,4,0.7986051188559106
2025-08-29,133208195.49763912,26891611.497639112,4,0.7981234458046861
2025-09-03,135423575.49763912,26891611.497639112,4,0.8014259230800775
2025-09-04,136805785.49763912,26891611.497639112,4,0.8034322057373575
2025-09-05,133270725.49763912,26891611.497639112,4,0.7982181653380772
2025-09-08,132831151.49763912,26891611.497639112,4,0.7975504149859224
2025-09-09,134353427.5416711,51862539.54167111,3,0.6139842466945222
2025-09-10,134516961.5416711,51862539.54167111,3,0.6144535310098798
2025-09-11,136048673.5416711,51862539.54167111,3,0.618794228627405
2025-09-12,136527377.5416711,51862539.54167111,3,0.6201308449959677
2025-09-15,138176088.69820112,25907236.698201116,4,0.8125056444839258
2025-09-16,136269212.69820112,25907236.698201116,4,0.8098819521649506
2025-09-17,134108260.69820112,25907236.698201116,4,0.8068184870691666
2025-09-18,134246419.69820112,25907236.698201116,4,0.8070172988118187
2025-09-19,134381294.69820112,25907236.698201116,4,0.8072109905148285
2025-09-22,132181235.01800111,51839159.01800112,3,0.6078175619183662
2025-09-23,133087811.01800111,51839159.01800112,3,0.6104890551472856
2025-09-24,134484876.0180011,51839159.01800112,3,0.6145353994224427
2025-09-25,136559188.08598113,25895329.08598112,4,0.8103728540793844
2025-09-26,134177327.08598112,25895329.08598112,4,0.8070066705875923
2025-09-29,132754374.08598112,25895329.08598112,4,0.804938034891344
2025-09-30,131224976.82828112,52910244.82828112,3,0.5967974534488308
2025-10-01,131359597.82828112,52910244.82828112,3,0.5972106667268603
