symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DPM,2,1.0,0.24285302030115252,12314762.763105012,inf
VGC,1,1.0,0.3184415324151606,6929079.963494003,inf
MBB,3,0.6666666666666666,0.09282590159124027,6275090.127048023,13.544673864040163
DGW,1,1.0,0.21838079553833217,5862292.319250006,inf
EVF,1,1.0,0.25560909762422557,5148061.903800003,inf
HDC,1,1.0,0.1862738528868066,4753172.964474004,inf
LPB,1,1.0,0.11880342926761318,3765331.2510000058,inf
NAB,1,1.0,0.13810620800620818,3565609.977375012,inf
VCI,2,1.0,0.06238569941229489,3387590.677765012,inf
HDG,2,1.0,0.05435845407323854,2974083.065962013,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
GAS,1,1.0,0.10800907573220452,2902405.109400004,inf
PC1,2,0.5,0.05052120930153431,2600769.1717100106,43.38443048195248
VPI,1,1.0,0.07652776600700407,2391002.4188000076,inf
CTG,1,1.0,0.07866758082317983,2128436.6045040153,inf
SSB,2,0.5,0.03885268136279331,2097538.5018200055,5.917065629368698
PVT,2,0.5,0.03256490942063106,1650255.5422400087,2.4168069384475426
HSG,1,1.0,0.06134504855783598,1443303.2833920047,inf
HHV,2,1.0,0.029162565928212595,1383524.466003023,inf
REE,2,0.5,0.029204623306426723,1208842.0563440137,4.753410589213933
VIX,1,1.0,0.042439510515625445,889971.7666490078,inf
GEE,1,1.0,0.023461512780332358,641100.2975790091,inf
POW,2,0.5,0.015912020475271925,547016.4773580022,1.890628533924314
PAN,2,0.5,0.010775718152494326,400566.65319800377,1.3947377684987037
DXG,1,1.0,0.0019207815161860846,51790.273019999266,inf
TPB,1,0.0,-0.020106587161079423,-388899.8772759959,0.0
KDC,1,0.0,-0.027770050841084474,-582357.6715109944,0.0
VHC,1,0.0,-0.0201882455969832,-686099.9172499999,0.0
HAG,1,0.0,-0.03766101940464881,-961021.0457399972,0.0
DIG,1,0.0,-0.030821481098476718,-963182.9079699963,0.0
VHM,1,0.0,-0.038061556773613614,-1026062.8843499906,0.0
NLG,1,0.0,-0.04436939889086666,-1192281.3047599941,0.0
NT2,1,0.0,-0.0464478079363192,-1294901.4256199934,0.0
KDH,1,0.0,-0.05047523334379318,-1356302.874839995,0.0
SIP,1,0.0,-0.053878185539224493,-1390992.8561609983,0.0
SBT,1,0.0,-0.07457652441823559,-1493009.0927909948,0.0
VIC,1,0.0,-0.05505246266371916,-1504201.975499995,0.0
CTR,1,0.0,-0.06093781536090034,-1637068.124199994,0.0
VJC,1,0.0,-0.06279441694312508,-1736216.3721599914,0.0
VCG,1,0.0,-0.06544876043462548,-2045224.996849995,0.0
VSC,1,0.0,-0.0920114296836585,-2388184.522500001,0.0
