symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
SBT,EDGE,2025-01-02,2025-01-03,2025-01-07,11.021009999999999,10.22976,1814700,19999826.847,-1493009.0927909948,-0.07457652441823559,2,EDGE_ATR_STOP,3.6917,composite_edge_score_v2,True,67.9332,2.0,3.6917,"{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=67.9332"
MBB,EDGE,2025-01-02,2025-01-03,2025-01-10,16.43642,16.07391,1216800,19999835.856,-500219.471231997,-0.02498619264070607,5,EDGE_ATR_STOP,3.4,composite_edge_score_v2,True,69.3028,3.0,3.4,"{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=69.3028"
PAN,EDGE,2025-01-02,2025-01-03,2025-02-04,23.423399999999997,25.15482,853800,19998898.919999998,1415333.1264480017,0.07069985267172704,17,EDGE_TRAILING_ATR_STOP,3.9083,composite_edge_score_v2,True,65.703,1.0,3.9083,"{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=65.703"
CTD,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-02-10,62.702639999999995,72.06786,318900,19995871.895999998,2920607.904996,0.14591462827709342,21,EDGE_TRAILING_ATR_STOP,3.725,breakout_after_accumulation_v3,True,100.0,1.0,3.725,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=100.0"
REE,EDGE_COMPRESSION,2025-02-10,2025-02-11,2025-02-21,56.59653999999999,60.779160000000005,382300,21636857.241999995,1530907.0230220072,0.07068390886306292,8,EDGE_TRAILING_ATR_STOP,4.5,compression_breakout_smt_v1,True,68.9144,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=68.9144"
HHV,EDGE_COMPRESSION,2025-01-23,2025-01-24,2025-03-13,11.561549999999999,12.04794,1671400,19323974.669999998,753354.4174980074,0.03894653292268703,29,EDGE_TRAILING_ATR_STOP,4.5,compression_breakout_smt_v1,True,84.2398,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=84.2398"
PC1,EDGE_COMPRESSION,2025-02-04,2025-02-05,2025-03-19,20.14012,20.13984,1010900,20359647.308,-61361.42781999707,-0.003010863929269436,30,EDGE_MAX_HOLD,4.5,compression_breakout_smt_v1,True,100.0,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=100.0"
TPB,EDGE,2025-01-23,2025-01-24,2025-03-20,14.49448,14.24574,1333100,19322591.288,-388899.8772759959,-0.020106587161079423,34,EDGE_STOP_LOSS,3.9943,composite_edge_score_v2,True,65.8933,1.0,3.9943,"{'stop_loss': 0.08, 'take_profit': 0.3, 'max_holding_bars': 60, 'initial_atr_stop_mult': 2.5, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=65.8933"
VCI,EDGE_COMPRESSION,2025-02-21,2025-02-24,2025-03-27,26.306279999999997,27.56241,851600,22402428.047999997,1000373.5832400061,0.04461008453591242,23,EDGE_TRAILING_ATR_STOP,4.5,compression_breakout_smt_v1,True,91.7683,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=91.7683"
SSB,EDGE_COMPRESSION,2025-03-13,2025-03-14,2025-04-03,19.819799999999997,19.4805,1071600,21238897.679999996,-426583.38527999446,-0.02006494096222524,14,EDGE_ATR_STOP,4.5,compression_breakout_smt_v1,True,77.1832,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,composite_edge_score_v2,spring_reclaim_smt_v1,linreg_momentum_refined_v1,nr7_refined_v1 | edge_score=77.1832"
