symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
PVD,1,1.0,0.22182488417339072,8586209.806295007,inf
DGW,3,0.6666666666666666,0.06772641319492113,8049027.518060017,7.546884413670255
VPB,2,0.5,0.13491806801815281,7557835.907970011,4.79079165357931
GEX,1,1.0,0.29533116157233186,6083668.132426001,inf
SHB,3,0.6666666666666666,0.04779418732770744,5316236.628659029,5.250533018525205
MSN,4,0.75,0.029856945193652805,4757838.436140031,3.4618814095553696
PLX,3,0.6666666666666666,0.056252509758451565,4556334.7121250145,9.400213874849431
MBB,2,1.0,0.0950510103080095,4216855.932119012,inf
LPB,1,1.0,0.11880342926761313,3629424.3452400044,inf
BCM,1,1.0,0.10216354414812767,3224471.801042009,inf
DSE,1,1.0,0.08119594921046293,2707882.472188011,inf
PC1,1,1.0,0.10405328253233811,2647517.3086500093,inf
TCB,2,0.5,0.06462799044455758,2197606.6833660062,4.099888021975714
VGC,1,1.0,0.10522211468429184,2106160.643670004,inf
NVL,1,1.0,0.11504405399082174,2070293.9578650035,inf
SIP,2,0.5,0.035473963952906196,1984195.134804003,2.3378675449095216
BID,1,1.0,0.06053855535984357,1621309.848360002,inf
HDG,1,1.0,0.06687700339022982,1572941.9956860058,inf
PVT,2,0.5,0.032564909420631,1530274.197720006,2.2057302797704645
CTS,1,1.0,0.043700353584948455,1235420.1750000045,inf
POW,1,1.0,0.0553736845370851,1140680.7169360071,inf
STB,2,0.5,0.04352611585291673,990906.2249700055,2.3326459954142718
DPM,1,1.0,0.03923369337954765,821774.5629210025,inf
CTD,2,0.5,0.03700890976571741,552714.7974159978,1.2334205018151663
PNJ,1,0.0,-0.011939657911633142,-257752.23820499703,0.0
VIB,1,0.0,-0.014684617298811764,-283377.21430999786,0.0
REE,1,0.0,-0.012274662250209433,-324616.46526399255,0.0
SSB,1,0.0,-0.012807231137573087,-391247.7379649915,0.0
FRT,1,0.0,-0.01758409271149672,-456829.1285999939,0.0
GAS,1,0.0,-0.03517005357081981,-510666.37616399303,0.0
HCM,1,0.0,-0.021497526507454776,-644695.529399991,0.0
KDC,1,0.0,-0.0329720192037431,-679168.1010899991,0.0
DXG,1,0.0,-0.04236989407147108,-888610.6768619977,0.0
NAB,1,0.0,-0.03514086494742176,-913272.7749299929,0.0
TPB,1,0.0,-0.047069972602829795,-942276.1432239972,0.0
VHM,1,0.0,-0.03806155677361365,-1000361.1134699918,0.0
BVH,1,0.0,-0.03114074494133712,-1084259.758069992,0.0
GMD,1,0.0,-0.044451208938279814,-1165364.6709999964,0.0
DBC,1,0.0,-0.059416279014346846,-1189421.032189995,0.0
CTR,1,0.0,-0.045007740243035006,-1205302.763419997,0.0
VRE,1,0.0,-0.04375567865324825,-1250579.1387599893,0.0
VHC,1,0.0,-0.06958014725054439,-1408285.4031399898,0.0
VIC,1,0.0,-0.0532484052544372,-1424537.2906499952,0.0
FPT,1,0.0,-0.055334558896314334,-1470564.1611999944,0.0
NT2,1,0.0,-0.08368057099466261,-1616160.0238749944,0.0
PAN,1,0.0,-0.04914841636673856,-2143599.577866003,0.0
HAG,2,0.0,-0.05139911987313392,-2467995.78405999,0.0
NLG,2,0.0,-0.06275360779452041,-3680380.5380199775,0.0
VSC,2,0.0,-0.07928211820916152,-5647825.559050981,0.0
