date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,100000000.0,100000000.0,0,0.0
2025-01-06,100000000.0,100000000.0,0,0.0
2025-01-07,100000000.0,100000000.0,0,0.0
2025-01-08,100000000.0,100000000.0,0,0.0
2025-01-09,100000000.0,100000000.0,0,0.0
2025-01-10,100000000.0,100000000.0,0,0.0
2025-01-13,100000000.0,100000000.0,0,0.0
2025-01-14,100000000.0,100000000.0,0,0.0
2025-01-15,100000000.0,100000000.0,0,0.0
2025-01-16,100000000.0,100000000.0,0,0.0
2025-01-17,100000000.0,100000000.0,0,0.0
2025-01-20,100000000.0,100000000.0,0,0.0
2025-01-21,100000000.0,100000000.0,0,0.0
2025-01-22,100000000.0,100000000.0,0,0.0
2025-01-23,100000000.0,100000000.0,0,0.0
2025-01-24,100000000.0,100000000.0,0,0.0
2025-02-03,100000000.0,100000000.0,0,0.0
2025-02-04,100000000.0,100000000.0,0,0.0
2025-02-05,100000000.0,100000000.0,0,0.0
2025-02-06,100000000.0,100000000.0,0,0.0
2025-02-07,100000000.0,100000000.0,0,0.0
2025-02-10,100000000.0,100000000.0,0,0.0
2025-02-11,100000000.0,100000000.0,0,0.0
2025-02-12,100000000.0,100000000.0,0,0.0
2025-02-13,100296472.21108001,49951132.211080015,1,0.5019652126352477
2025-02-14,101485732.21108001,49951132.211080015,1,0.5078014305775838
2025-02-17,102410712.21108001,49951132.211080015,1,0.5122469990431753
2025-02-18,102146432.21108001,49951132.211080015,1,0.5109850522448133
2025-02-19,101750012.21108001,49951132.211080015,1,0.5090798406249173
2025-02-20,101498574.77399504,16617479.773995025,3,0.8362786885333429
2025-02-21,101676004.77399503,16617479.773995025,3,0.8365643908714521
2025-02-24,102185519.77399503,16617479.773995025,3,0.8373793096052345
2025-02-25,102077704.77399503,16617479.773995025,3,0.8372075487905324
2025-02-26,100912944.77399503,16617479.773995025,3,0.8353285615516266
2025-02-27,102090924.77399503,16617479.773995025,3,0.8372286291775477
2025-02-28,101228054.77399503,16617479.773995025,3,0.835841162698466
2025-03-03,100856919.77399503,16617479.773995025,3,0.8352370882312065
2025-03-04,100571101.18385002,8300726.183850028,4,0.9174641016540548
2025-03-05,100348601.18385002,8300726.183850028,4,0.9172810972358035
2025-03-06,100488941.18385002,8300726.183850028,4,0.9173966201050583
2025-03-07,101030906.18385002,8300726.183850028,4,0.9178397334302351
2025-03-10,101355248.96339002,24297393.963390023,3,0.7602749318669588
2025-03-11,101376328.96339002,24297393.963390023,3,0.7603247798392411
2025-03-12,101683078.96339002,24297393.963390023,3,0.7610478143355783
2025-03-13,101075148.96339002,24297393.963390023,3,0.7596106044603439
2025-03-14,101435768.96339002,24297393.963390023,3,0.7604652263033627
2025-03-17,101598798.96339002,24297393.963390023,3,0.7608495945690725
2025-03-18,101318233.96339002,24297393.963390023,3,0.7601873521387121
2025-03-19,101284228.96339002,24297393.963390023,3,0.7601068378358046
