symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
NAB,1,1.0,0.09560768901428263,4623240.580200009,inf
POW,1,1.0,0.05537368453708498,2761143.6741780117,inf
DGC,1,1.0,0.05202020111963409,2627806.5402120054,inf
SSB,1,1.0,0.03186324165345187,1594719.168840021,inf
SBT,1,1.0,0.06296564760477343,1059354.282181006,inf
DCM,1,1.0,0.05650697523675183,950653.5114480034,inf
VJC,1,0.0,-0.0005897970370853856,-14238.012319996953,0.0
HSG,1,0.0,-0.03499711862555222,-281633.03124999814,0.0
KDC,1,0.0,-0.05176303754648445,-434594.10470399633,0.0
VCG,1,0.0,-0.06544876043462536,-526601.8999499977,0.0
DIG,1,0.0,-0.0676442435220917,-562580.5051649986,0.0
LPB,1,0.0,-0.04020291839433789,-670050.7238949984,0.0
HAG,1,0.0,-0.044009055526949115,-733496.0209499951,0.0
TPB,1,0.0,-0.03590743735344884,-792984.9496799968,0.0
PC1,1,0.0,-0.04342291760881752,-958933.0831499994,0.0
BSR,1,0.0,-0.028244699384911167,-1447398.3880199865,0.0
NLG,1,0.0,-0.04436939889086649,-1503831.3517499864,0.0
KDH,1,0.0,-0.050475233343793266,-1710690.5484799966,0.0
HHV,1,0.0,-0.0676971046530746,-3562574.8747749925,0.0
