symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
LPB,EDGE_COMPRESSION,2025-02-19,2025-02-20,2025-03-10,34.22418999999999,32.947019999999995,486500,16650068.434999997,-670050.7238949984,-0.04020291839433789,12,EDGE_ATR_STOP,3.9667,compression_breakout_smt_v1,True,85.994,1.0,3.9667,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=85.994
SSB,EDGE_COMPRESSION,2025-02-12,2025-02-13,2025-03-27,18.918899999999997,19.5804,2642800,49998868.919999994,1594719.168840021,0.03186324165345187,30,EDGE_MAX_HOLD,3.4,compression_breakout_smt_v1,True,91.6165,1.0,3.4,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=91.6165
HAG,EDGE_COMPRESSION,2025-02-19,2025-02-20,2025-03-31,12.762749999999999,12.23775,1304600,16650283.649999999,-733496.0209499951,-0.044009055526949115,27,EDGE_ATR_STOP,3.0,compression_breakout_smt_v1,True,90.3469,2.0,3.0,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=90.3469
DIG,EDGE_COMPRESSION,2025-03-03,2025-03-04,2025-04-03,17.327309999999997,16.20378,479500,8308445.144999999,-562580.5051649986,-0.0676442435220917,22,EDGE_STOP_LOSS,4.1,compression_breakout_smt_v1,True,76.4092,1.0,4.1,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=76.4092
POW,EDGE_COMPRESSION,2025-05-05,2025-05-06,2025-06-11,10.23022,10.82916,4869300,49814010.246,2761143.6741780117,0.05537368453708498,26,EDGE_TRAILING_ATR_STOP,3.7,compression_breakout_smt_v1,True,88.3591,1.0,3.7,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=88.3591
BSR,EDGE_COMPRESSION,2025-06-13,2025-06-16,2025-06-20,11.99198,11.6883,4269000,51193762.62,-1447398.3880199865,-0.028244699384911167,4,EDGE_ATR_STOP,3.7,compression_breakout_smt_v1,True,100.0,1.0,3.7,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=100.0
SBT,EDGE_COMPRESSION,2025-06-24,2025-06-25,2025-07-18,18.02801,19.22076,932300,16807513.722999997,1059354.282181006,0.06296564760477343,17,EDGE_TRAILING_ATR_STOP,3.4667,compression_breakout_smt_v1,True,84.6763,1.0,3.4667,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=84.6763
KDC,EDGE_COMPRESSION,2025-06-30,2025-07-01,2025-07-22,56.21615999999999,53.466480000000004,149200,8387451.071999998,-434594.10470399633,-0.05176303754648445,15,EDGE_ATR_STOP,2.8667,compression_breakout_smt_v1,True,89.5039,2.0,2.8667,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=89.5039
DCM,EDGE_COMPRESSION,2025-06-24,2025-06-25,2025-07-29,34.174139999999994,36.21375,491800,16806842.051999997,950653.5114480034,0.05650697523675183,24,EDGE_TRAILING_ATR_STOP,3.3667,compression_breakout_smt_v1,True,79.2484,2.0,3.3667,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=79.2484
DGC,EDGE_COMPRESSION,2025-06-20,2025-06-23,2025-07-30,92.07198,97.15275,548100,50464652.238,2627806.5402120054,0.05202020111963409,27,EDGE_TRAILING_ATR_STOP,4.1,compression_breakout_smt_v1,True,75.3596,1.0,4.1,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: compression_breakout_smt_v1 | edge_score=75.3596
