date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,97961920.27109002,19931192.27109002,4,0.7965414294050747
2025-01-06,97651037.27109002,19931192.27109002,4,0.7958936962875383
2025-01-07,97202518.74973401,38597384.749734014,3,0.6029178539178581
2025-01-08,97093469.74973401,38597384.749734014,3,0.6024718773649579
2025-01-09,97244849.74973401,38597384.749734014,3,0.6030907050700689
2025-01-10,97102633.74973401,38597384.749734014,3,0.6025093938315578
2025-01-13,97848147.70446001,57811470.70446001,2,0.4091715371140857
2025-01-14,97563459.70446001,57811470.70446001,2,0.4074475128333603
2025-01-15,97763936.70446001,57811470.70446001,2,0.40866261473058463
2025-01-16,98276247.70446001,57811470.70446001,2,0.4117452379916578
2025-01-17,98623418.70446001,57811470.70446001,2,0.4138159935653739
2025-01-20,98475606.70446001,57811470.70446001,2,0.4129361306911177
2025-01-21,98393810.70446001,57811470.70446001,2,0.4124480971866707
2025-01-22,98251079.70446001,57811470.70446001,2,0.41159455063132794
2025-01-23,98475606.70446001,57811470.70446001,2,0.4129361306911177
2025-01-24,98423168.54112902,19233098.541129015,4,0.8045876918391232
2025-02-03,98064485.54112902,19233098.541129015,4,0.8038729471225083
2025-02-04,100114879.54112902,19233098.541129015,4,0.8078897100083139
2025-02-05,101101073.54112902,19233098.541129015,4,0.8097636566311555
2025-02-06,101609457.54112902,19233098.541129015,4,0.8107154687510861
2025-02-07,101500056.54112902,19233098.541129015,4,0.8105114499780053
2025-02-10,100790989.21402101,42169574.21402101,3,0.5816136487709478
2025-02-11,101263285.85287102,21066280.85287102,4,0.7919652648495038
2025-02-12,101642926.85287102,21066280.85287102,4,0.7927422841398041
2025-02-13,101600581.62426302,40437726.62426302,3,0.6019931581316246
2025-02-14,101108016.12961502,20198661.129615024,4,0.8002269067991461
2025-02-17,100643581.12961502,20198661.129615024,4,0.7993050236994057
2025-02-18,100909165.12961502,20198661.129615024,4,0.7998332351311161
2025-02-19,102887771.12961502,20198661.129615024,4,0.8036825862991109
2025-02-20,102730600.12961502,20198661.129615024,4,0.8033822336856749
2025-02-21,103053468.75541502,42793617.75541502,3,0.5847435484488105
2025-02-24,103387114.33389103,21377325.333891027,4,0.7932302736987854
2025-02-25,103486311.33389103,21377325.333891027,4,0.7934284732120884
2025-02-26,102946862.33389103,21377325.333891027,4,0.792346023479985
2025-02-27,103161737.33389103,21377325.333891027,4,0.7927785447747778
2025-02-28,102666307.33389103,21377325.333891027,4,0.7917785699219924
2025-03-03,103498128.33389103,21377325.333891027,4,0.7934520587181391
2025-03-04,104094985.33389103,21377325.333891027,4,0.7946363576946387
2025-03-05,103319155.33389103,21377325.333891027,4,0.7930942692591024
2025-03-06,104608507.33389103,21377325.333891027,4,0.7956444855325336
2025-03-07,104910721.33389103,21377325.333891027,4,0.7962331679537774
2025-03-10,105400926.33389103,21377325.333891027,4,0.7971808590545822
2025-03-11,105601582.33389103,21377325.333891027,4,0.797566240377912
2025-03-12,104708031.76372702,41409007.763727024,3,0.6045288306329148
2025-03-13,103917742.52975804,40724989.529758036,3,0.6081035967645663
2025-03-14,103958421.10921805,20343748.109218042,4,0.8043088006517044
2025-03-17,104737666.10921805,20343748.109218042,4,0.8057647371290091
2025-03-18,103985189.10921805,20343748.109218042,4,0.8043591757298192
2025-03-19,104106835.10921805,20343748.109218042,4,0.8045877767019283
2025-03-20,104387184.10921805,20343748.109218042,4,0.8051125884578626
2025-03-21,104108012.10921805,20343748.109218042,4,0.8045899859477122
2025-03-24,104497802.68664205,40140929.68664204,3,0.6158681938316655
2025-03-25,103972717.68664205,40140929.68664204,3,0.6139282440647488
2025-03-26,102902055.68664205,40140929.68664204,3,0.6099112945918258
2025-03-27,102300885.72353604,62512604.723536044,2,0.3889338857488116
2025-03-28,102344695.42693804,82106885.42693804,1,0.19774166033302032
2025-03-31,102190600.42693804,82106885.42693804,1,0.19653192090165872
2025-04-01,102190600.42693804,82106885.42693804,1,0.19653192090165872
2025-04-02,101831045.42693804,82106885.42693804,1,0.19369495734139086
2025-04-03,102079178.44163804,102079178.44163804,0,0.0
2025-04-04,102079178.44163804,102079178.44163804,0,0.0
2025-04-08,102079178.44163804,102079178.44163804,0,0.0
2025-04-09,102079178.44163804,102079178.44163804,0,0.0
2025-04-10,102079178.44163804,102079178.44163804,0,0.0
