symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
GEX,2,1.0,0.2532233696325356,16372480.619831007,inf
PVD,2,0.5,0.0814970995879727,8447685.447027009,6.937320823514408
LPB,2,0.5,0.03933413837242419,6454936.520370014,9.034473372908106
VHM,1,1.0,0.14016291929915056,3173132.9056,inf
VNM,1,1.0,0.12018978411295794,2937390.9678400047,inf
CTD,1,1.0,0.14591462827709342,2920607.904996,inf
SSI,1,1.0,0.10234007184935785,2488258.8888919987,inf
STB,2,1.0,0.08584309143659535,2469207.286965009,inf
BCM,1,1.0,0.10216354414812756,2443435.8980720043,inf
TCB,1,1.0,0.07003165237787787,2225442.0465000086,inf
CTG,1,1.0,0.06563207414347072,2085614.0157000087,inf
SSB,2,0.5,0.038852681362793344,2004524.3785050064,5.901655929890818
NVL,1,1.0,0.11041978042688934,1684954.3218200002,inf
REE,1,1.0,0.07068390886306306,1491663.2646500096,inf
MSN,2,1.0,0.03674501418691614,1486657.168580003,inf
PHR,1,1.0,0.061888770406482274,1458635.8035200015,inf
SBT,1,1.0,0.06296564760477312,1310358.6380040012,inf
DCM,1,1.0,0.05213522223577234,1084877.5378980078,inf
GAS,2,0.5,0.023543461796174246,1067555.6551660076,4.780994275004901
HDG,1,1.0,0.04183990475624724,1058425.4629050046,inf
VCI,1,1.0,0.04461008453591239,955382.6153700054,inf
SAB,1,1.0,0.03075856738108112,751730.7194880061,inf
ACB,1,1.0,0.03847774961276865,742215.2868900038,inf
VIC,2,0.5,0.011070933181538494,367436.90773001313,1.2927412501961313
PAN,1,0.0,-0.008055306601136599,-119355.91867499799,0.0
POW,2,0.5,-0.007515639710346387,-356268.0724249892,0.798807030232875
VIB,1,0.0,-0.02183321741514425,-441883.9172239937,0.0
HPG,1,0.0,-0.02422473018133928,-574280.2157399952,0.0
HAG,1,0.0,-0.037661019404648846,-597193.2938799988,0.0
KDH,1,0.0,-0.03225388485828815,-645628.4057079963,0.0
GMD,1,0.0,-0.04445120893827984,-1069456.3534999974,0.0
NLG,1,0.0,-0.044369398890866565,-1084443.5383599922,0.0
PVT,1,0.0,-0.04478945629794761,-1094684.909474995,0.0
SHB,1,0.0,-0.048123646586694914,-1170139.4452559985,0.0
KDC,1,0.0,-0.04696352031709985,-1199684.3249159902,0.0
NT2,1,0.0,-0.0836805709946627,-1239731.903184997,0.0
DSE,1,0.0,-0.06754705669130227,-1352182.2957539968,0.0
HHV,4,0.5,-0.012167928331548655,-1494655.0264559798,0.4119240660010355
VHC,1,0.0,-0.06958014725054462,-1595936.501059994,0.0
VCG,1,0.0,-0.0654487604346255,-1621107.8096499965,0.0
ANV,1,0.0,-0.07109114521981365,-1630635.0700799972,0.0
TCH,1,0.0,-0.07001944228428868,-1659893.8766739927,0.0
HCM,2,0.0,-0.038008699661721504,-1662365.1655759849,0.0
NAB,2,0.0,-0.03806678440507508,-1794136.0573949888,0.0
KBC,1,0.0,-0.07665185785956964,-1806671.1855599955,0.0
EVF,1,0.0,-0.07801734600623783,-1844009.4838699996,0.0
VGC,1,0.0,-0.1278560668649095,-2990534.6898239926,0.0
