date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,99308100.36514002,19925230.365140025,4,0.7993594652210834
2025-01-06,98889648.36514002,19925230.365140025,4,0.7985104538791753
2025-01-07,98872445.90136203,98872445.90136203,0,0.0
2025-01-08,98986916.60621005,19723232.606210046,4,0.8007490961187017
2025-01-09,99112820.60621005,19723232.606210046,4,0.8010022065200487
2025-01-10,98988994.60621005,19723232.606210046,4,0.8007532788400225
2025-01-13,99220488.22077404,38895862.22077404,3,0.6079855792059052
2025-01-14,98166591.67483404,38552743.67483404,3,0.607272260174462
2025-01-15,98667756.57369484,40156254.57369484,3,0.5930154290707706
2025-01-16,98783143.16802084,20058445.168020844,4,0.796944655487391
2025-01-17,99056473.16802084,20058445.168020844,4,0.7975049532199935
2025-01-20,98891689.16802084,20058445.168020844,4,0.7971675341297815
2025-01-21,98763957.16802084,20058445.168020844,4,0.7969052097224427
2025-01-22,97802355.16802084,20058445.168020844,4,0.7949083625485176
2025-01-23,98787963.16802084,20058445.168020844,4,0.7969545628357072
2025-01-24,98491377.16802084,20058445.168020844,4,0.7963431343456367
2025-02-03,98435062.16802084,20058445.168020844,4,0.7962266216301802
2025-02-04,99969183.9925242,41108675.99252421,3,0.5887865204981731
2025-02-05,99974932.49154021,20534605.491540212,4,0.7946024570381397
2025-02-06,100008006.49154021,20534605.491540212,4,0.7946703847828698
2025-02-07,99517922.49154021,20534605.491540212,4,0.7936592226060003
2025-02-10,99048688.74354021,59543305.74354021,2,0.39884811703351775
2025-02-11,99436140.19359222,19810010.193592217,4,0.800776557144876
2025-02-12,99834616.19359222,19810010.193592217,4,0.8015717298378946
2025-02-13,100224677.19359222,19810010.193592217,4,0.8023439860491888
2025-02-14,100520064.81214875,40255833.81214875,3,0.5995243945835232
2025-02-17,101690245.01530376,20108755.015303757,4,0.8022548277636905
2025-02-18,102564174.31423914,40988230.314239144,3,0.6003650340063365
2025-02-19,103496948.32646087,41865618.32646087,3,0.5954893453051006
2025-02-20,103378520.14482588,20912139.144825872,4,0.7977129183554816
2025-02-21,103554500.08019187,41592137.080191866,3,0.5983550975768005
2025-02-24,104596127.10432191,62703728.10432191,2,0.40051577586823484
