symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DPM,3,1.0,0.08504447804533712,5046140.832406051,inf
EVF,4,0.75,0.06093867033506885,4403581.006621737,7.626313401238547
GMD,2,1.0,0.0756555084925349,2761314.643522203,inf
BID,4,0.5,0.0355220286607929,2386318.5413750224,3.9052756412324516
DSE,1,1.0,0.10316339363341046,2043904.6455737017,inf
ANV,4,0.75,0.02715548055258575,2028981.9730003178,2.7171317914014783
BSR,1,1.0,0.10572483156818717,2010374.519434929,inf
HAG,2,1.0,0.046748065070903004,1813221.0487947501,inf
VTP,1,1.0,0.08999103103967342,1685460.495303005,inf
CTG,3,0.6666666666666666,0.02804362278377186,1639018.6450232416,3.153816380247566
VHM,1,1.0,0.07727667393003161,1541553.515733298,inf
MSN,1,1.0,0.07643849621851333,1504415.3813304007,inf
VHC,1,1.0,0.07492780880163602,1414336.9771414958,inf
CII,2,1.0,0.037216831253568984,1378085.5780594572,inf
VJC,1,1.0,0.06457790259443633,1185764.4992754944,inf
PC1,1,1.0,0.05719916946190663,1036516.9081249982,inf
BVH,1,1.0,0.05102879668635338,1013725.3168573864,inf
CTR,1,1.0,0.05050120009494133,1011017.0751570053,inf
REE,1,1.0,0.04724905963167702,895078.19613,inf
TCB,4,0.5,0.012946058393662972,861216.2139341868,1.598189482004426
CTS,2,0.5,0.019734337709491012,831713.3293227069,2.1229851854485675
DCM,2,0.5,0.017707078895255905,692032.1015610062,2.4394705036482645
PLX,2,0.5,0.014935362818022166,606074.5967495367,2.1091874224146725
KOS,3,0.6666666666666666,0.009701619317927809,557707.8463463746,1.9136493105037287
HT1,3,0.3333333333333333,0.005513999630242271,455353.0833650138,1.2015212592855855
VIB,1,1.0,0.02484828880969369,447285.18488747627,inf
PAN,4,0.5,0.0032929023321585822,376029.1316573955,1.2348996224294055
DGW,2,0.5,0.010079706761013281,320288.8725248277,1.3300108569574398
MSB,2,0.5,0.007331389595487615,158859.59687474743,1.1484127343775379
SSB,3,0.6666666666666666,-0.0014898517596143729,-4021.980797190219,0.9968066281907002
EIB,2,0.5,-0.0028974860429840307,-143208.70659999922,0.8816276249724471
VNM,3,0.3333333333333333,-0.005875991807197806,-351453.4311629832,0.6903552304177561
BCM,1,0.0,-0.027838481202796098,-479236.6205199938,0.0
DBC,2,0.5,-0.01292916071790574,-544794.5785489418,0.5931806856379715
VRE,3,0.3333333333333333,-0.010047967588655615,-570796.7449358646,0.7532687152364597
SBT,1,0.0,-0.03315367091135014,-597286.9021319933,0.0
FPT,1,0.0,-0.030866762786670422,-610645.6652039997,0.0
HDG,4,0.25,-0.008249676422813676,-623659.1342681758,0.7252472011836029
HSG,1,0.0,-0.03180069017225844,-654269.641583994,0.0
SHB,1,0.0,-0.036319438809456976,-700575.1975740008,0.0
POW,2,0.5,-0.01841745681736777,-767985.5426185913,0.5333431397200711
DIG,1,0.0,-0.04409425211766929,-825915.1160699911,0.0
STB,1,0.0,-0.04669606416960826,-917345.6377999932,0.0
MWG,1,0.0,-0.049708611719634,-921160.5681999922,0.0
KDH,1,0.0,-0.05237049235907523,-1000593.2380950004,0.0
LPB,1,0.0,-0.05382391184932184,-1024837.6427399963,0.0
GEE,1,0.0,-0.049525534776091784,-1087675.1400479935,0.0
GVR,2,0.0,-0.028632257965029734,-1151554.4091949947,0.0
GAS,4,0.25,-0.013457671368884696,-1151857.7228366844,0.4442567001434158
ACB,2,0.0,-0.03097194247791628,-1195619.7877499834,0.0
PVT,1,0.0,-0.06545929771323139,-1207366.2296999954,0.0
GEX,1,0.0,-0.06036062311490071,-1221398.6830149963,0.0
NKG,1,0.0,-0.06425299402228411,-1232776.5829749964,0.0
DGC,1,0.0,-0.066306220412618,-1290296.5727999955,0.0
CTD,4,0.25,-0.01902782165817357,-1373158.295116838,0.524423380511418
DXS,2,0.5,-0.03408300840250036,-1418371.172833994,0.10467796251152373
FRT,4,0.25,-0.01936812469332897,-1496910.4800147898,0.424946477488429
VCB,3,0.3333333333333333,-0.02624286178603547,-1530567.6096659526,0.2222317345322508
VND,1,0.0,-0.08827842661721776,-1702861.3237679973,0.0
SAB,4,0.25,-0.021134518826221724,-1748703.1498238407,0.2583960770922117
PNJ,2,0.0,-0.04518643250067243,-1766628.9179489873,0.0
NAB,2,0.0,-0.04735509923422699,-1804922.5368639901,0.0
BSI,3,0.3333333333333333,-0.0286510344403159,-1952037.0842199884,0.4129687330617116
NLG,1,0.0,-0.10560810514789105,-2105896.0140449964,0.0
VPI,3,0.0,-0.03741937279326244,-2145466.893539984,0.0
HCM,1,0.0,-0.13434044477001517,-2498347.865599999,0.0
VPB,2,0.0,-0.06892124892762436,-2806596.714329995,0.0
OCB,3,0.0,-0.05983014854379189,-3540970.294574991,0.0
SSI,2,0.0,-0.09955580159452798,-3816910.252409987,0.0
