symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
ACB,RETEST,2025-01-02,2025-01-03,2025-01-07,21.331309999999995,20.699279999999998,937500,19998103.124999996,-651337.3781249933,-0.03253742054265759,2,SL,97.1,,False,,,,,Retest vùng breakout 21 (cách -0.4%) | Volume cạn 0.77× TB20 | Giá vẫn giữ trên vùng breakout
SAB,BB_SQUEEZE,2025-01-02,2025-01-03,2025-01-07,50.220169999999996,48.40155,398200,19997671.694,-782719.1501139961,-0.039101412647738566,2,SL,90.1,,False,,,,,BB squeeze: width 0.025 ≈ min 20 phiên (0.025) | Giá trên BB mid — bias bullish
TCB,BB_SQUEEZE,2025-01-02,2025-01-03,2025-01-07,23.743719999999996,22.977,842300,19999335.355999995,-704514.6455559917,-0.03519171123404961,2,SL,90.1,,False,,,,,BB squeeze: width 0.038 ≈ min 20 phiên (0.038) | Giá trên BB mid — bias bullish
CTR,BB_SQUEEZE,2025-01-02,2025-01-03,2025-01-07,122.77265,129.36051,162900,19999664.685,1011017.0751570053,0.05050120009494133,2,TP,88.0,,False,,,,,BB squeeze: width 0.047 ≈ min 20 phiên (0.047) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
FPT,BB_SQUEEZE,2025-01-07,2025-01-08,2025-01-13,128.16804,124.58529,154200,19763511.768,-610645.6652039997,-0.030866762786670422,3,SL,85.0,,False,,,,,BB squeeze: width 0.029 ≈ min 20 phiên (0.029) | Giá trên BB mid — bias bullish
FRT,BB_SQUEEZE,2025-01-07,2025-01-08,2025-01-14,148.36821999999998,143.856,133200,19762646.903999995,-659113.5893039964,-0.033318165191554075,4,SL,85.0,,False,,,,,BB squeeze: width 0.037 ≈ min 20 phiên (0.037) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung
SSB,HAMMER,2025-01-07,2025-01-08,2025-01-15,16.666649999999997,17.648958374999992,1186400,19773313.559999995,1103759.8941078,0.05576491939628805,5,TP,91.5,,False,,,,,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 16 | Money flow: EARLY_MONEY_IN score=3
PAN,SPRING,2025-01-15,2025-01-16,2025-02-04,24.854829999999996,26.110937924999988,807800,20077731.674,952421.4188293666,0.047389314905159755,8,TP,100.0,,False,,,,,HH: đỉnh 24 > 24 | HL: đáy 23 > 23 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=4
VPI,RETEST,2025-01-07,2025-01-08,2025-02-10,58.85879999999999,56.943,335900,19770670.919999994,-701542.1983199939,-0.03544853686548696,18,SL,92.9,,False,,,,,Retest vùng breakout 60 (cách -1.0%) | Volume cạn 0.79× TB20 | Giá vẫn giữ trên vùng breakout
HSG,DOUBLE_BOTTOM,2025-02-04,2025-02-05,2025-02-10,13.373359999999998,12.987,1536900,20553516.983999997,-654269.641583994,-0.03180069017225844,3,SL,100.0,,False,,,,,Hai đáy 13 và 13 (chênh 0.0%) | Vượt neckline 13 | Chưa quá xa neckline — vào hàng còn hợp lý | Money flow: EARLY_MONEY_IN score=3
PLX,SPRING,2025-01-14,2025-01-15,2025-02-14,38.64861,41.08040347499999,498700,19274061.807,1152487.74974953,0.059735017188647224,17,TP,98.4,,False,,,,,HH: đỉnh 38 > 37 | HL: đáy 37 > 36 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
BVH,BB_SQUEEZE,2025-02-10,2025-02-11,2025-02-18,51.91186,54.72487034999999,382300,19845904.077999998,1013725.3168573864,0.05102879668635338,5,TP,100.0,,False,,,,,BB squeeze: width 0.088 ≈ min 20 phiên (0.087) | Giá trên BB mid — bias bullish | Money flow: EARLY_MONEY_IN score=3
EVF,SPRING,2025-02-14,2025-02-17,2025-02-19,10.460449999999998,11.139973874999995,1924100,20126951.844999995,1244476.088576723,0.061769554838471484,2,TP,100.0,,False,,,,,HH: đỉnh 10 > 10 | HL: đáy 9 > 9 | Volume phiên tăng > giảm | Money flow: BREAKOUT_FLOW score=5
DXS,BB_SQUEEZE,2025-02-18,2025-02-19,2025-02-21,7.057049999999999,7.135482374999999,2904000,20493673.2,165831.06216600165,0.008083733704177172,2,TP,100.0,,False,,,,,BB squeeze: width 0.077 ≈ min 20 phiên (0.076) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | Money flow: EARLY_MONEY_IN score=3
CTS,BULLISH_ENGULFING,2025-01-13,2025-01-14,2025-02-24,23.3233,25.282941750000003,833800,19446967.54,1572340.4899477027,0.08077196184940387,24,TP,99.3,,False,,,,,Engulfing: [23–23] nuốt [23–23] (body 2.5%) | Volume xanh 1.4× bar đỏ | Tại support 23 | Money flow: EARLY_MONEY_IN score=3
HAG,DOUBLE_BOTTOM,2025-02-10,2025-02-11,2025-02-24,12.462449999999999,13.142968874999996,1592600,19847697.869999997,1022083.6779943518,0.05144488907815953,9,TP,100.0,,False,,,,,Hai đáy 12 và 12 (chênh 0.4%) | Vượt neckline 12 | Chưa quá xa neckline — vào hàng còn hợp lý | Money flow: EARLY_MONEY_IN score=3
BID,BB_SQUEEZE,2025-02-19,2025-02-20,2025-03-04,40.59054999999999,39.96,515700,20932546.634999998,-387321.9256349951,-0.01848485028560171,8,SL,100.0,,False,,,,,BB squeeze: width 0.042 ≈ min 20 phiên (0.041) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | Money flow: EARLY_MONEY_IN score=3
VNM,INSIDE_BAR,2025-03-04,2025-03-05,2025-03-07,58.77871999999999,57.942,352400,20713620.927999996,-356411.2705279924,-0.017189424125811627,2,SL,96.1,,False,,,,,Inside bar [58–58] trong mother [57–58] | Đóng cửa 59 vượt đỉnh IB 58 | Volume 1.5× TB20 xác nhận breakout | Money flow: EARLY_MONEY_IN score=3
VCB,SPRING,2025-03-07,2025-03-10,2025-03-12,64.08402,65.64433994999999,320400,20532520.007999998,437329.098932039,0.02127806068398274,2,TP,92.7,,False,,,,,HH: đỉnh 63 > 62 | HL: đáy 62 > 61 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
GAS,SPRING,2025-02-24,2025-02-25,2025-03-28,64.77470999999998,62.937,322600,20896321.445999995,-654348.5198459923,-0.03128277035315719,23,SL,100.0,,False,,,,,HH: đỉnh 65 > 64 | HL: đáy 63 > 63 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
DXS,MOMENTUM_SURGE,2025-03-12,2025-03-13,2025-03-31,7.547539999999999,6.993,2750000,20755734.999999996,-1584202.2349999957,-0.07624975050917789,12,SL,88.2,,False,,,,,3 phiên tăng liên tiếp (+3.4% tổng) | Volume tăng theo đà giá
VPB,DOUBLE_BOTTOM,2025-02-21,2025-02-24,2025-04-03,18.90889,17.70228,1099800,20795997.222,-1386763.6103099994,-0.0666175426592352,28,SL,100.0,,False,,,,,Hai đáy 18 và 18 (chênh 2.5%) | Vượt neckline 18 | Chưa quá xa neckline — vào hàng còn hợp lý | Money flow: EARLY_MONEY_IN score=3
SSI,SPRING,2025-02-24,2025-02-25,2025-04-03,23.04302,21.978,907000,20900019.139999997,-1026741.2511399947,-0.04907725340984499,27,SL,100.0,,False,,,,,HH: đỉnh 23 > 23 | HL: đáy 22 > 22 | Volume phiên tăng > giảm | Money flow: BREAKOUT_FLOW score=6
BSI,DOUBLE_BOTTOM,2025-03-28,2025-03-31,2025-04-03,53.21315999999999,47.932019999999994,385200,20497709.231999997,-2091719.6654399969,-0.10194456423171262,3,SL,94.4,,False,,,,,Hai đáy 42 và 50 (chênh 18.1%) | Vượt neckline 53 | Chưa quá xa neckline — vào hàng còn hợp lý | Money flow: BREAKOUT_FLOW score=6
MSB,DOUBLE_BOTTOM,2025-03-31,2025-04-01,2025-04-03,10.180169999999999,9.66033,1948500,19836061.244999997,-1070390.607254997,-0.053907944362622286,2,SL,97.3,,False,,,,,Hai đáy 9 và 9 (chênh 1.0%) | Vượt neckline 10 | Chưa quá xa neckline — vào hàng còn hợp lý | Money flow: EARLY_MONEY_IN score=3
