date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98163967.48369902,19925790.483699016,4,0.7970152287599024
2025-01-06,96996052.48369902,19925790.483699016,4,0.7945711194066613
2025-01-07,97061529.47395101,77436979.47395101,1,0.20218669648376764
2025-01-08,97934139.25535002,19304287.255350027,4,0.8028850061670864
2025-01-09,97784622.25535002,19304287.255350027,4,0.8025836086482009
2025-01-10,98026677.25535002,19304287.255350027,4,0.8030710843634512
2025-01-13,98674633.25535002,19304287.255350027,4,0.804364236091008
2025-01-14,98560954.25535002,19304287.255350027,4,0.8041385921920275
2025-01-15,100149393.1755339,60881659.175533906,2,0.3920915819347466
2025-01-16,99811955.26284993,20255845.26284992,4,0.7970599292488846
2025-01-17,100323337.26284993,20255845.26284992,4,0.7980943834655435
2025-01-20,100545845.26284993,20255845.26284992,4,0.7985412006841606
2025-01-21,100448345.26284993,20255845.26284992,4,0.7983456550743061
2025-01-22,99554338.52964991,39930084.52964992,3,0.5989116585033842
2025-01-23,100907321.54713093,19945656.547130927,4,0.8023368746556723
2025-01-24,101010142.54713093,19945656.547130927,4,0.8025380813830219
2025-02-03,100735665.44045602,40594673.44045602,3,0.597017865887319
2025-02-04,101496091.29215407,41553611.29215407,3,0.5905890486704262
2025-02-05,101303399.96186608,20757793.961866077,4,0.79509282048105
2025-02-06,101484185.96186608,20757793.961866077,4,0.7954578463124681
2025-02-07,101053664.65946607,41244988.65946607,3,0.591850638980241
2025-02-10,101097782.11279607,39293591.112796076,3,0.6113308295037005
2025-02-11,101212783.41426007,19627782.41426008,4,0.8060740772840491
2025-02-12,100676894.41426007,19627782.41426008,4,0.8050418367744173
2025-02-13,100970532.41426007,19627782.41426008,4,0.8056088054113495
2025-02-14,101427600.41426007,19627782.41426008,4,0.8064847996591219
2025-02-17,101669669.41426007,19627782.41426008,4,0.8069455470118102
2025-02-18,102506621.96769142,40970083.96769142,3,0.6003176850310745
2025-02-19,104306580.10599242,20465437.105992425,4,0.8037953398031437
2025-02-20,104369208.10599242,20465437.105992425,4,0.8039130747719319
2025-02-21,104261664.88213843,42147810.88213843,3,0.5957496848934457
2025-02-24,105029572.9949191,41428433.99491911,3,0.6055545803568749
2025-02-25,104757820.73313211,20699250.733132113,4,0.802408540114032
2025-02-26,104335928.73313211,20699250.733132113,4,0.8016095607288248
2025-02-27,104761451.73313211,20699250.733132113,4,0.8024153885738325
2025-02-28,104505577.73313211,20699250.733132113,4,0.8019316176023619
2025-03-03,105444654.94823624,42442026.94823624,3,0.5974947523981047
2025-03-04,105307146.90281025,21206192.90281025,4,0.7986253210109111
2025-03-05,104809264.93485425,42690610.934854254,3,0.5926828514503061
2025-03-06,106036779.13070026,41896865.13070026,3,0.604883650048834
2025-03-07,106239079.16468027,20928972.164680265,4,0.8030011900589005
2025-03-10,106599345.43026826,65119883.430268265,2,0.3891155413063367
2025-03-11,107174311.87417229,21669015.87417228,4,0.7978152087450514
2025-03-12,106905463.87417229,21669015.87417228,4,0.7973067503857734
2025-03-13,105735239.87417229,21669015.87417228,4,0.7950634443165875
2025-03-14,105146444.56897229,42553615.56897228,3,0.595291921249333
2025-03-17,105422487.47405228,21256164.474052288,4,0.7983716284508646
2025-03-18,104958392.47405228,21256164.474052288,4,0.7974800873659798
2025-03-19,103697983.1298523,62310613.12985229,2,0.3991145126532892
2025-03-20,102398891.9645183,20730242.964518297,4,0.7975540304508234
2025-03-21,101332865.9645183,20730242.964518297,4,0.7954242903602767
2025-03-24,101061563.7825703,40618464.7825703,3,0.5980819684330314
2025-03-25,101185530.2079263,20291227.207926307,4,0.7994651293892533
2025-03-26,100646275.2079263,20291227.207926307,4,0.7983906789793619
2025-03-27,100914102.2079263,20291227.207926307,4,0.7989257520607211
2025-03-28,100382387.0149263,60324347.0149263,2,0.39905446753366797
2025-03-31,98918403.60187832,39591325.60187831,3,0.5997577380926664
2025-04-01,98391622.69631332,19776189.696313314,4,0.7990053507161609
2025-04-02,98468478.94965732,38354994.94965732,3,0.6104845392273545
2025-04-03,94729659.63470532,55977831.63470532,2,0.409078087575043
2025-04-04,95105507.85438232,36860737.85438232,3,0.6124226799690673
2025-04-08,92552432.04079932,36391063.04079932,3,0.6068059775592145
2025-04-09,89944818.81344531,54256463.813445315,2,0.3967805535749788
2025-04-10,92626764.28174533,18052464.281745326,4,0.8051053124684928
2025-04-11,93892129.05050096,37513809.05050097,3,0.6004584257502168
2025-04-14,94309025.71306096,57704375.71306096,2,0.3881351728875997
2025-04-15,94096475.71306096,57704375.71306096,2,0.3867530608795015
2025-04-16,93615365.71306096,57704375.71306096,2,0.38360144968156434
2025-04-17,93012155.89606096,74993885.89606096,1,0.1937195179104871
2025-04-18,93035525.89606096,74993885.89606096,1,0.19392205102549828
2025-04-21,93082265.89606096,74993885.89606096,1,0.19432681215773306
2025-04-22,93035525.89606096,74993885.89606096,1,0.19392205102549828
2025-04-23,93058895.89606096,74993885.89606096,1,0.19412448241570707
2025-04-24,93058895.89606096,74993885.89606096,1,0.19412448241570707
2025-04-25,93058895.89606096,74993885.89606096,1,0.19412448241570707
2025-04-28,92826924.21331097,18698714.21331097,4,0.7985636778146135
2025-04-29,93537419.21331097,18698714.21331097,4,0.8000937553058977
2025-05-05,95438871.60267152,38959133.60267152,3,0.5917896665326775
2025-05-06,95563392.95227152,38009216.95227152,3,0.6022617471184288
2025-05-07,97586488.60052755,39046187.60052756,3,0.5998812114209378
2025-05-08,98108519.16432756,41312348.16432756,3,0.5789117141281976
2025-05-09,97738810.89386036,40069136.893860355,3,0.590038629205613
2025-05-12,97717833.60072036,20015950.60072036,4,0.795165837563423
