setup_type,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
MACD_CROSSOVER,20,0.55,0.01889876515739272,8174166.585565105,1.9243202991501978
NR7,11,0.6363636363636364,0.029809825986575614,6477053.057338472,3.3571647440516723
SPRING,31,0.5161290322580645,0.008385678271646104,4898203.877990417,1.3565400907710239
TK_CROSS,2,1.0,0.0614747028948764,2631116.6445103213,inf
OVERSOLD_MEAN_REVERSION,8,0.5,0.011998177962074294,2324844.9708396867,1.715981031557955
HAMMER,3,0.6666666666666666,0.02767745217315447,1455569.4897830188,2.6656606384006634
OBV_ACCUMULATION,8,0.625,0.004878836482074077,554830.6524783783,1.1154577155535532
TREND_PULLBACK,1,0.0,-0.024499036251989032,-509105.8741499968,0.0
KUMO_TWIST_ENTRY,1,0.0,-0.024940239763408166,-562422.4347689934,0.0
MA_PULLBACK,2,0.0,-0.0393801308592159,-1712349.6825189888,0.0
KUMO_BREAKOUT,8,0.25,-0.009895226785414627,-1938935.8842963167,0.5317941297512698
RETEST,11,0.2727272727272727,-0.020909870143979114,-4542558.310007066,0.36964791138277536
ADX_TREND,25,0.32,-0.010291073161663198,-5848377.69909576,0.6933204475109794
LINREG_MOMENTUM,17,0.29411764705882354,-0.029143880596040034,-11424013.60223379,0.35707404378826496
