symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
GMD,3,1.0,0.07353992325007525,4440865.731776878,inf
MSN,3,1.0,0.06725204965401119,4349344.293884814,inf
ANV,7,0.7142857142857143,0.025762324276624858,3699645.9813694023,2.5233864285305283
SSB,3,1.0,0.04936805627826399,2849364.558678016,inf
EVF,1,1.0,0.13770635655727337,2702701.2854400054,inf
DPM,1,1.0,0.12055850818782801,2478549.8555999994,inf
DSE,1,1.0,0.10316339363341037,2361622.1353417,inf
TCH,2,1.0,0.05547941027158285,2350974.9976889305,inf
VCG,3,0.6666666666666666,0.03639245711774582,2174557.866438329,3.5562095639901496
BSR,3,0.6666666666666666,0.03738562394597366,2033308.6439765356,2.252667990389603
VTP,1,1.0,0.08999103103967332,1990812.9431700036,inf
VCI,3,0.6666666666666666,0.02780243125005567,1741773.5806645453,3.321125098528944
VHM,1,1.0,0.07727667393003176,1517912.1898267008,inf
DGW,1,1.0,0.0736292440570192,1513482.563154526,inf
BCM,1,1.0,0.06506098463640926,1299395.3229978755,inf
SZC,1,1.0,0.06239053111246133,1235835.182092499,inf
NT2,3,0.6666666666666666,0.016929140906079203,1228706.733117845,2.0092186432740693
MSB,3,0.3333333333333333,0.01611870476014125,1177782.5703570135,1.465295497129415
VIX,1,1.0,0.053476151648489595,1142568.6691200063,inf
CTD,6,0.5,0.008794081767417234,1044093.2747836262,1.3118571209566763
PAN,1,1.0,0.04738931490515965,962561.0873140544,inf
HAG,4,0.5,0.011053308698435968,924493.5446696095,1.4361106628402336
CTG,1,1.0,0.042210130973001435,846909.6882928237,inf
VIB,2,0.5,0.020495631439566585,799440.48290601,2.2004666146072003
GEX,2,0.5,0.014308025288273431,780119.0436930098,1.7028556014843426
DCM,2,0.5,0.02194447689292624,773502.0046310499,2.4819897088619705
KDH,3,0.6666666666666666,0.009433582533403964,622244.1053119302,1.6483875535915193
NKG,2,0.5,0.01582659804893948,617172.3262756057,1.439048511339356
VHC,4,0.5,0.0070037988011495324,600075.2628454603,1.312703491792094
VCB,1,1.0,0.0280923681912623,592466.0413760021,inf
REE,4,0.5,0.006439270047254272,517478.5078650713,1.3687096886402026
HDB,2,0.5,0.011526794982671711,481369.5158956088,3.5405944930624837
HHV,3,0.6666666666666666,0.008063653172588687,460027.289258793,1.8805048062904204
KOS,1,1.0,0.02259904627476887,409068.90919004753,inf
TCB,2,0.5,0.007730663634017903,368218.13700760156,1.9823479204125332
GEE,2,0.5,0.017212096298511555,366171.22852100804,1.2661905576231627
BID,2,0.5,0.0032764814135350945,99972.54681000859,1.19902864283231
VPB,1,0.0,-0.002208051223551686,-45055.19420999661,0.0
DBC,2,0.5,0.0004818258263455527,-140950.23658571765,0.8952397048940747
TPB,1,0.0,-0.01157849368579019,-217285.58323199674,0.0
LPB,5,0.4,-0.005637827531967618,-595320.842114184,0.8099323266718069
SBT,3,0.3333333333333333,-0.007971893998135008,-640707.5922549032,0.5091478520379037
ACB,1,0.0,-0.03253742054265759,-651337.3781249933,0.0
DGC,1,0.0,-0.031250572258212234,-663631.9662999883,0.0
SHB,1,0.0,-0.036319438809456685,-678353.3357429951,0.0
SCS,1,0.0,-0.03175805887861978,-707301.4308809936,0.0
HDG,1,0.0,-0.0350109000854804,-779369.7643199936,0.0
MBB,1,0.0,-0.035842070714175146,-794816.7212399952,0.0
FTS,1,0.0,-0.04163248094104763,-940970.5046999976,0.0
GVR,1,0.0,-0.05062048403471499,-1136097.0678059943,0.0
SAB,4,0.25,-0.014723166932993257,-1173135.8013045304,0.38002375313579523
CTS,2,0.0,-0.028071948649383578,-1182491.8088129908,0.0
KDC,1,0.0,-0.054070276229282996,-1237562.8351679966,0.0
PVT,1,0.0,-0.05735801608350103,-1294327.4498999976,0.0
KBC,1,0.0,-0.05983214202553885,-1325501.5878299922,0.0
VRE,1,0.0,-0.06540039808913763,-1350835.2694799937,0.0
DIG,2,0.0,-0.033269801065094584,-1439039.3981149942,0.0
POW,1,0.0,-0.0640272952750633,-1456729.5082599968,0.0
VSC,1,0.0,-0.06603263556739526,-1485290.5060399994,0.0
HT1,1,0.0,-0.07869353423798978,-1544487.6544199996,0.0
PHR,1,0.0,-0.07693018842880275,-1548388.8336559944,0.0
GAS,2,0.0,-0.03639297592239535,-1559578.978586994,0.0
EIB,1,0.0,-0.06850035631892047,-1569106.4575999938,0.0
FRT,1,0.0,-0.07552317475498223,-1674610.8881900012,0.0
DXS,1,0.0,-0.08354251563673695,-1779242.6411199942,0.0
MWG,2,0.0,-0.04302856719964546,-1831815.2877199873,0.0
STB,2,0.0,-0.04808686569887298,-2069916.6254599914,0.0
VPI,3,0.0,-0.03741937279326254,-2095609.4189099893,0.0
HCM,2,0.5,-0.049252243601121154,-2125416.605443325,0.24901177420244974
NAB,3,0.0,-0.034563719027177225,-2221565.0950149894,0.0
VND,1,0.0,-0.11728684445731151,-2470947.2804249935,0.0
PLX,3,0.0,-0.03945124561932098,-2479399.02454298,0.0
HDC,1,0.0,-0.12295843033625282,-2556421.0507219993,0.0
NVL,2,0.0,-0.05927070722053816,-2713398.314504996,0.0
BSI,2,0.0,-0.08117290756505866,-3400550.371169988,0.0
