symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
ACB,RETEST,2025-01-02,2025-01-03,2025-01-07,21.331309999999995,20.699279999999998,937500,19998103.124999996,-651337.3781249933,-0.03253742054265759,2,SL,97.1,,False,,,,,Retest vùng breakout 21 (cách -0.4%) | Volume cạn 0.77× TB20 | Giá vẫn giữ trên vùng breakout
SAB,RETEST,2025-01-02,2025-01-03,2025-01-07,50.220169999999996,48.40155,398200,19997671.694,-782719.1501139961,-0.039101412647738566,2,SL,92.9,,False,,,,,Retest vùng breakout 51 (cách -0.8%) | Volume cạn 0.61× TB20 | Giá vẫn giữ trên vùng breakout
GEX,RETEST,2025-01-02,2025-01-03,2025-01-07,12.042029999999999,11.40858,1660800,19999403.424,-1109927.902751997,-0.05544260796988106,2,SL,88.0,,False,,,,,Retest vùng breakout 12 (cách -2.3%) | Volume cạn 0.46× TB20 | Giá vẫn giữ trên vùng breakout
SSB,HAMMER,2025-01-07,2025-01-08,2025-01-15,16.666649999999997,17.648958374999992,1161500,19358313.974999998,1080594.3332823701,0.05576491939628778,5,TP,91.5,,False,,,,,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 16 | Money flow: EARLY_MONEY_IN score=3
VCG,SPRING,2025-01-07,2025-01-08,2025-01-15,16.005989999999997,17.49746002499999,1209400,19357644.305999998,1742103.3476205245,0.08990572184945328,5,TP,81.6,,False,,,,,HH: đỉnh 17 > 16 | HL: đáy 16 > 15 | Volume phiên tăng > giảm
PLX,SPRING,2025-01-15,2025-01-16,2025-01-22,39.07903999999999,37.962,519300,20293745.471999995,-639799.9506719932,-0.031495457098542214,4,SL,98.4,,False,,,,,HH: đỉnh 38 > 37 | HL: đáy 37 > 36 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
SBT,NR7,2025-01-22,2025-01-23,2025-02-03,11.281269999999997,11.691471824999995,1769700,19964463.518999994,664588.9108060934,0.03325533817567509,2,TP,100.0,,False,,,,,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 1.9% — SL hẹp, risk thấp | Money flow: EARLY_MONEY_IN score=3"
PAN,SPRING,2025-01-15,2025-01-16,2025-02-04,24.854829999999996,26.110937924999988,816400,20291483.211999997,962561.0873140544,0.04738931490515965,8,TP,100.0,,False,,,,,HH: đỉnh 24 > 24 | HL: đáy 23 > 23 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=4
CTS,SPRING,2025-02-04,2025-02-05,2025-02-07,24.264239999999997,23.976,856200,20775042.288,-308622.6326879971,-0.014840610868345372,2,SL,100.0,,False,,,,,HH: đỉnh 24 > 24 | HL: đáy 23 > 22 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
VPI,RETEST,2025-01-07,2025-01-08,2025-02-10,58.85879999999999,56.943,328900,19358659.319999997,-686922.3847199939,-0.03544853686548696,18,SL,92.9,,False,,,,,Retest vùng breakout 60 (cách -1.0%) | Volume cạn 0.79× TB20 | Giá vẫn giữ trên vùng breakout
