date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,99341699.229072,19925162.229072012,4,0.7994280107578332
2025-01-06,98491439.229072,19925162.229072012,4,0.7976965065691655
2025-01-07,98467032.64416602,98467032.64416602,0,0.0
2025-01-08,98779034.27682404,19626245.276824042,4,0.8013116303423019
2025-01-09,98643014.27682404,19626245.276824042,4,0.8010376566378388
2025-01-10,98407630.57622404,38768384.576224044,3,0.6060429018642508
2025-01-13,99106183.86254904,19365962.862549044,4,0.8045937992183434
2025-01-14,98245644.68014905,38417474.68014905,3,0.6089651118355228
2025-01-15,98531768.34844725,40002208.34844725,3,0.5940171477793472
2025-01-16,98471601.96574625,19981525.965746254,4,0.7970833665050264
2025-01-17,98826931.96574625,19981525.965746254,4,0.7978129486740323
2025-01-20,98774631.96574625,19981525.965746254,4,0.7977058930204307
2025-01-21,98709856.96574625,19981525.965746254,4,0.797573144365105
2025-01-22,97955113.96574625,19981525.965746254,4,0.7960134478253625
2025-01-23,98555001.96574625,19981525.965746254,4,0.7972550802374189
2025-01-24,98317696.96574625,19981525.965746254,4,0.7967657239499031
2025-02-03,98202306.96574625,19981525.965746254,4,0.796526918937699
2025-02-04,99244999.77049725,40950974.77049725,3,0.5873749320852856
2025-02-05,98986630.89278525,20456334.89278525,4,0.7933424472751074
2025-02-06,99409967.89278525,20456334.89278525,4,0.7942224977393854
2025-02-07,98933951.79518525,40646821.79518525,3,0.5891519437196545
2025-02-10,98343965.92608526,39313435.92608526,3,0.6002455711860044
2025-02-11,98616274.00994527,19638004.00994527,4,0.8008644698139293
2025-02-12,98202859.00994527,19638004.00994527,4,0.8000261478338785
2025-02-13,98694624.00994527,19638004.00994527,4,0.8010225561225464
2025-02-14,98872670.61596611,40014130.61596611,3,0.5952963506833346
2025-02-17,99863952.28929612,19987467.289296117,4,0.7998530317386761
2025-02-18,100262977.28929612,19987467.289296117,4,0.8006495734549671
2025-02-19,101158368.69455445,41251168.694554456,3,0.5922120015684369
2025-02-20,101468271.18109946,20606486.18109946,4,0.7969169481135514
2025-02-21,101353931.18109946,20606486.18109946,4,0.7966878448525125
2025-02-24,100338939.39733016,59882024.39733016,2,0.4032025377485352
2025-02-25,100349487.37025517,19925155.37025517,4,0.8014423801016722
2025-02-26,100384139.37025517,19925155.37025517,4,0.8015109209955612
2025-02-27,100350110.37025517,19925155.37025517,4,0.80144361279984
2025-02-28,100584066.37025517,19925155.37025517,4,0.8019054499456242
2025-03-03,101492177.82938604,40519075.82938604,3,0.6007665152530194
2025-03-04,100853394.21187204,40504135.21187204,3,0.5983859985239439
2025-03-05,100266588.90283205,20234616.902832046,4,0.798191829160147
2025-03-06,100973457.90283205,20234616.902832046,4,0.7996045958700944
2025-03-07,101082883.3691346,60696775.369134605,2,0.39953458640982725
2025-03-10,101015937.1917566,20194514.19175661,4,0.8000858601804411
2025-03-11,101034282.1917566,20194514.19175661,4,0.8001221589971935
2025-03-12,101612991.53651848,61343327.536518484,2,0.39630428541735796
2025-03-13,100907679.9986765,20407736.998676497,4,0.7977583371360419
2025-03-14,101114417.9986765,20407736.998676497,4,0.798171839361785
2025-03-17,101471186.0126045,40300882.0126045,3,0.6028342271706726
2025-03-18,100687766.7940595,20132059.7940595,4,0.8000545603992155
2025-03-19,100428766.7940595,20132059.7940595,4,0.799538912637028
2025-03-20,99878838.3492595,39750666.349259496,3,0.6020111266186526
2025-03-21,98770019.3026635,19856341.302663498,4,0.7989638815214037
2025-03-24,99251538.3026635,19856341.302663498,4,0.7999392085781845
2025-03-25,99033388.3285595,39233023.3285595,3,0.603840442191097
2025-03-26,98455029.38038151,19601641.38038151,4,0.800907668163396
2025-03-27,98453825.38038151,19601641.38038151,4,0.8009052334467499
2025-03-28,98306073.3009815,38953749.30098151,3,0.6037503280014279
2025-03-31,95941572.86502151,56866070.86502151,2,0.4072843589397333
2025-04-01,95607534.02953853,18920811.029538523,4,0.8020991627742137
2025-04-02,95772589.02953853,18920811.029538523,4,0.8024402261517343
2025-04-03,91512946.38738054,91512946.38738054,0,0.0
2025-04-04,95910157.71010856,18233334.71010856,4,0.8098915157118249
2025-04-08,91609056.71010856,18233334.71010856,4,0.8009658066035231
2025-04-09,87562435.06325656,87562435.06325656,0,0.0
2025-04-10,87868282.97720158,17446357.977201585,4,0.8014487436641019
2025-04-11,87845417.97720158,17446357.977201585,4,0.8013970633991472
2025-04-14,87673337.26785159,33780067.26785158,3,0.6147053560348705
2025-04-15,87467527.26785159,33780067.26785158,3,0.6137987625463908
2025-04-16,87092557.26785159,33780067.26785158,3,0.61213600418275
2025-04-17,86508476.35085158,50521226.35085158,2,0.4159968076890739
2025-04-18,86531106.35085158,50521226.35085158,2,0.41614953880276623
2025-04-21,86576366.35085158,50521226.35085158,2,0.4164547614979149
2025-04-22,86712866.35085158,50521226.35085158,2,0.41737335557060123
2025-04-23,87198664.42712358,69705674.42712358,1,0.20061075608124473
2025-04-24,87198664.42712358,69705674.42712358,1,0.20061075608124473
2025-04-25,87198664.42712358,69705674.42712358,1,0.20061075608124473
2025-04-28,86980720.55329959,17375346.553299587,4,0.80023910536988
2025-04-29,87027230.55329959,17375346.553299587,4,0.800345863670129
2025-05-05,88559742.76784459,36209733.76784459,3,0.5911264798638046
2025-05-06,88227048.1270676,18086765.127067596,4,0.7949975034751426
2025-05-07,88018422.1270676,18086765.127067596,4,0.7945115955276194
2025-05-08,88461837.1270676,18086765.127067596,4,0.7955416062512068
2025-05-09,89347076.99414971,36132631.994149715,3,0.5955924557384724
2025-05-12,89462910.22678971,18049159.226789717,4,0.7982498089874916
2025-05-13,89454790.22678971,18049159.226789717,4,0.7982314956970924
2025-05-14,90483882.22678971,18049159.226789717,4,0.8005262508349154
2025-05-15,90926360.22678971,18049159.226789717,4,0.801496956638633
2025-05-16,89972108.22678971,18049159.226789717,4,0.799391616107363
2025-05-19,88861228.22678971,18049159.226789717,4,0.7968837524873611
2025-05-20,89111232.22678971,18049159.226789717,4,0.7974536006768005
2025-05-21,88889792.22678971,18049159.226789717,4,0.7969490222146111
2025-05-22,88269532.22678971,18049159.226789717,4,0.7955222060040349
2025-05-23,88868258.22678971,18049159.226789717,4,0.7968998201728149
2025-05-26,89142444.22678971,18049159.226789717,4,0.7975245195109262
2025-05-27,89040800.22678971,18049159.226789717,4,0.7972933848211389
2025-05-28,88665388.22678971,18049159.226789717,4,0.796435118734006
2025-05-29,88489420.22678971,18049159.226789717,4,0.7960303143524787
2025-05-30,87902768.22678971,18049159.226789717,4,0.7946690463692478
2025-06-02,88525118.22678971,18049159.226789717,4,0.7961125656951946
2025-06-03,88500580.22678971,18049159.226789717,4,0.7960560351069188
2025-06-04,88889522.22678971,18049159.226789717,4,0.7969484054516606
2025-06-05,88842032.22678971,18049159.226789717,4,0.7968398653835936
2025-06-06,88149744.22678971,18049159.226789717,4,0.7952443380850518
2025-06-09,87541157.74998972,35159308.74998972,3,0.598368245820991
2025-06-10,88379115.63770972,17571906.637709722,4,0.8011758036848683
2025-06-11,87773965.63770972,17571906.637709722,4,0.7998050274925663
2025-06-12,87981577.63770972,17571906.637709722,4,0.8002774318270665
2025-06-13,87021884.13830972,34720640.13830972,3,0.6010125443488918
2025-06-16,87388362.79830971,17345942.79830972,4,0.8015074062167323
2025-06-17,87209077.79830971,17345942.79830972,4,0.8010993438271868
2025-06-18,86799827.11130972,34201757.11130972,3,0.605969755360799
2025-06-19,86693614.08133473,17087605.081334725,4,0.8028966116777255
2025-06-20,86183674.08133473,17087605.081334725,4,0.8017303710537043
2025-06-23,85716389.60413472,33399953.604134724,3,0.6103434388874027
2025-06-24,85646950.90512572,16685565.905125728,4,0.8051820207398984
2025-06-25,85423663.90512572,16685565.905125728,4,0.8046727903914629
2025-06-26,85784609.90512572,16685565.905125728,4,0.8054946461424808
2025-06-27,85983348.90512572,16685565.905125728,4,0.8059442192285785
2025-06-30,87329678.44490826,34154212.44490827,3,0.6089048642672563
2025-07-01,87976038.34817767,35699422.348177664,3,0.5942142540348073
2025-07-02,87389237.75679767,17832361.756797668,4,0.7959432738568479
2025-07-03,87244433.75679767,17832361.756797668,4,0.7956045905861787
2025-07-04,87645174.75679767,17832361.756797668,4,0.7965391499728328
2025-07-07,88252164.75679767,17832361.756797668,4,0.7979385343584546
2025-07-08,89431802.99761063,35349812.99761062,3,0.6047288345673286
2025-07-09,89355448.61382252,36275678.61382252,3,0.594029472443262
2025-07-10,89419351.14384452,36691086.143844515,3,0.5896739836009169
2025-07-11,88904148.32643652,35389002.32643652,3,0.601942057906051
2025-07-14,88998275.33331652,35376357.33331652,3,0.6025051361857866
2025-07-15,88025668.40768853,17671372.407688525,4,0.7992475066949332
2025-07-16,88495318.40768853,17671372.407688525,4,0.8003129123025651
2025-07-17,88959014.40768853,17671372.407688525,4,0.8013537748214842
2025-07-18,89719149.77856666,36082553.77856666,3,0.5978277339049578
2025-07-21,89152516.84411067,18024034.844110664,4,0.7978292090662237
2025-07-22,89980452.84098566,36747420.840985656,3,0.5916066247640911
