setup_type,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
ADX_TREND,8,0.625,0.026235828357791428,3993241.5044989213,2.7699883382238126
MACD_CROSSOVER,5,0.6,0.02725695182589909,2476900.8413383104,2.64483452179798
OVERSOLD_MEAN_REVERSION,5,0.6,0.02301807756630609,2203103.3246273287,2.606293494583897
KIJUN_BOUNCE,1,1.0,0.08942808360179354,1623154.2718600072,inf
HAMMER,4,0.75,0.013011891379951745,1058719.481333252,2.44665655631633
SPRING,21,0.42857142857142855,0.00205238029846628,804058.9081920478,1.085795091218431
TK_CROSS,1,1.0,0.03780972544446846,782065.7957142107,inf
LINREG_MOMENTUM,4,0.5,0.00694904971628792,421272.56293421984,1.2026809047220564
NR7,6,0.3333333333333333,0.0022953836585454467,231086.0999305304,1.0752214486738474
OBV_ACCUMULATION,1,1.0,0.01064843536629436,215638.32052731514,inf
MA_PULLBACK,2,0.5,0.006499795532424517,205662.76860590652,1.3769000149294337
RETEST,11,0.45454545454545453,0.001593434333549762,145489.72373412177,1.0280226121389446
KUMO_BREAKOUT,2,0.5,-0.001028403717698358,10968.179218571633,1.0435100070876402
SUPERTREND_PULLBACK,1,0.0,-0.028090432834941722,-574957.8692999929,0.0
RSI_BOUNCE,1,0.0,-0.05412536181766924,-918561.0356999952,0.0
FLAG_PENNANT,1,0.0,-0.05269270572447465,-977328.1722539924,0.0
AROON_TREND_SHIFT,3,0.3333333333333333,-0.027576815341780362,-1679168.0834099837,0.5020424350918599
BULLISH_ENGULFING,6,0.3333333333333333,-0.014722174778092451,-1746291.9261155836,0.607739486550844
BB_SQUEEZE,11,0.36363636363636365,-0.008830271835409518,-1829162.8022264391,0.692200067612039
INSIDE_BAR,4,0.25,-0.04297587218753127,-3383053.9240490273,0.11154140166513672
GOLDEN_CROSS,5,0.2,-0.036932498838286934,-3528856.6901389845,0.19574196164823662
MOMENTUM_SURGE,8,0.125,-0.030045803495347377,-4705832.650914691,0.2886189981455109
DOUBLE_BOTTOM,12,0.3333333333333333,-0.020177619212537145,-4777089.856745919,0.4648047391472802
BREAKOUT,27,0.3333333333333333,-0.013272671244421589,-7597240.23196703,0.6231094996385352
