symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DPM,2,1.0,0.1018442725289261,3952653.5080800056,inf
VIC,3,1.0,0.049637901737162225,2766057.0915019363,inf
MSN,2,1.0,0.0720406920461529,2641435.6546397954,inf
CTG,2,1.0,0.06694763387386737,2447491.376199767,inf
DSE,1,1.0,0.10316339363341041,1948823.0144446008,inf
BSR,1,1.0,0.10572483156818711,1909233.8727162778,inf
BID,5,0.4,0.022638985981166242,1891725.0684770271,2.3634018152143277
PAN,2,1.0,0.04731918726841823,1807626.7603549957,inf
PVD,1,1.0,0.09181069404104324,1692942.7182800062,inf
VTP,1,1.0,0.08999103103967329,1689711.3414450027,inf
GMD,3,0.6666666666666666,0.0332269533929463,1623233.835932251,2.507575173600534
HPG,1,1.0,0.08942808360179354,1623154.2718600072,inf
VHM,1,1.0,0.07727667393003183,1464371.539979402,inf
KOS,2,1.0,0.031043255640921107,1128489.0957596488,inf
VJC,1,1.0,0.06457790259443642,1126447.4796419963,inf
ANV,5,0.6,0.010858703529079645,1108818.0275139995,1.5347679788974113
HAG,3,0.6666666666666666,0.01848009430441945,1046872.8695375994,2.460767214525983
CTR,1,1.0,0.05050120009494133,1011017.0751570053,inf
TCH,1,1.0,0.053521746772004886,997394.5996405035,inf
CTD,6,0.5,0.009254692087064418,905519.863843115,1.3242864666982326
SZC,1,1.0,0.04564420320744621,880313.0475894958,inf
DCM,2,0.5,0.017707078895255943,657208.1443775073,2.439505025663266
VCG,2,0.5,0.02115449610552921,656633.5197400078,1.9115098565531907
PLX,2,0.5,0.014935362818022263,629676.049850855,2.213522156412453
EVF,4,0.5,0.009577914786801006,501985.01232335716,1.165082022346407
VCB,1,1.0,0.021278060683982688,430913.846856568,inf
VIB,1,1.0,0.024848288809693773,424724.9982209578,inf
VPL,1,1.0,0.02166129275817223,399991.4996692501,inf
FRT,2,0.5,0.013207012091620993,393894.5943874009,1.5998643561082704
GAS,2,0.5,0.01059046803669967,298446.3755954057,1.477562095807299
HDB,1,1.0,0.01064843536629436,215638.32052731514,inf
REE,2,0.5,0.0025617560720849197,73032.97497497872,1.1040139317670736
GEX,3,0.3333333333333333,0.0008654727901662764,-14813.118436988443,0.9908986341402741
SSB,2,0.5,-0.006238314754425805,-96978.91049680114,0.9189324694396223
HDG,2,0.5,-0.010496623750720795,-328386.2888925858,0.8264132402868936
CII,3,0.6666666666666666,-0.003943016980676388,-446013.5585917346,0.7458349513127208
BCM,1,0.0,-0.02783848120279614,-464544.47380999476,0.0
VRE,3,0.3333333333333333,-0.010047967588655483,-552280.4522579834,0.7497961812197014
BSI,2,0.5,-0.013345379998605765,-601768.1543999948,0.6972173994723655
ACB,1,0.0,-0.03253742054265759,-651337.3781249933,0.0
SHB,1,0.0,-0.03631943880945697,-665382.2037240006,0.0
TCB,1,0.0,-0.0391036792521022,-668953.017719999,0.0
PNJ,1,0.0,-0.04081155102460483,-773503.502771996,0.0
SCS,1,0.0,-0.051021553558162465,-934348.0547999926,0.0
FPT,1,0.0,-0.055562141037596116,-961693.9300739951,0.0
LPB,1,0.0,-0.05382391184932184,-973323.2441599965,0.0
VPI,4,0.25,-0.013764737229470168,-1004267.0604899861,0.5148850148058053
KDH,1,0.0,-0.05237049235907498,-1016412.1753499955,0.0
MSB,1,0.0,-0.05390794436262219,-1022817.6913769953,0.0
CTS,2,0.0,-0.028071948649383494,-1035991.8327869885,0.0
KDC,1,0.0,-0.05407027622928294,-1049666.697119996,0.0
DGW,1,0.0,-0.05346983053499234,-1054824.7904799916,0.0
KBC,1,0.0,-0.06026740492274923,-1105897.521599993,0.0
VNM,2,0.0,-0.028884906872981897,-1118664.919419989,0.0
NT2,3,0.3333333333333333,-0.02008866470245965,-1125061.4261207022,0.5396482350659836
PHR,1,0.0,-0.0575820203571001,-1130414.6349779926,0.0
SBT,2,0.0,-0.031102660455073965,-1154043.2846999913,0.0
HCM,1,0.0,-0.058933023575424834,-1156170.0957559943,0.0
DBC,3,0.3333333333333333,-0.018371966324792106,-1161735.9237364512,0.39366435375748066
HHV,4,0.25,-0.0156393900650549,-1208605.0387501866,0.19419757231939389
DIG,2,0.0,-0.033269801065094445,-1213718.0370249897,0.0
BVH,3,0.3333333333333333,-0.023830509823702235,-1238439.093639776,0.3870645400735751
DGC,1,0.0,-0.06630622041261795,-1277488.4818199947,0.0
GVR,2,0.0,-0.032824791276865245,-1308255.5286109895,0.0
HDC,2,0.0,-0.035715298602961645,-1387824.443768993,0.0
VPB,1,0.0,-0.07122495519601353,-1445161.421369996,0.0
EIB,3,0.3333333333333333,-0.021741723404073734,-1455283.6639749855,0.410411014406795
DXS,1,0.0,-0.07624975050917787,-1560640.8272139952,0.0
VND,1,0.0,-0.08827842661721767,-1617292.1871899962,0.0
SAB,3,0.0,-0.039424740664965686,-2322150.7745619863,0.0
HT1,2,0.0,-0.06802577516074523,-2336989.9957999922,0.0
TPB,2,0.0,-0.06274858517501028,-2378778.9629319906,0.0
NAB,3,0.0,-0.044288749404304995,-2480101.4194369838,0.0
MWG,3,0.0,-0.04954114327841708,-2639936.5363999903,0.0
OCB,2,0.0,-0.07303627171255961,-2807422.892884996,0.0
POW,2,0.0,-0.08258565837105106,-3221506.609484989,0.0
SSI,2,0.0,-0.09955580159452791,-3722768.652383985,0.0
