symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
ACB,RETEST,2025-01-02,2025-01-03,2025-01-07,21.331309999999995,20.699279999999998,937500,19998103.124999996,-651337.3781249933,-0.03253742054265759,2,SL,97.1,,False,,,,,Retest vùng breakout 21 (cách -0.4%) | Volume cạn 0.77× TB20 | Giá vẫn giữ trên vùng breakout
SAB,RETEST,2025-01-02,2025-01-03,2025-01-07,50.220169999999996,48.40155,398200,19997671.694,-782719.1501139961,-0.039101412647738566,2,SL,92.9,,False,,,,,Retest vùng breakout 51 (cách -0.8%) | Volume cạn 0.61× TB20 | Giá vẫn giữ trên vùng breakout
CTR,BB_SQUEEZE,2025-01-02,2025-01-03,2025-01-07,122.77265,129.36051,162900,19999664.685,1011017.0751570053,0.05050120009494133,2,TP,88.0,,False,,,,,BB squeeze: width 0.047 ≈ min 20 phiên (0.047) | Giá trên BB mid — bias bullish | Giá áp sát BB upper — squeeze có hướng bung lên | Volume bắt đầu tăng — tín hiệu sắp bung | Volume xác nhận trên TB20
GEX,RETEST,2025-01-02,2025-01-03,2025-01-07,12.042029999999999,11.40858,1660800,19999403.424,-1109927.902751997,-0.05544260796988106,2,SL,88.0,,False,,,,,Retest vùng breakout 12 (cách -2.3%) | Volume cạn 0.46× TB20 | Giá vẫn giữ trên vùng breakout
BID,GOLDEN_CROSS,2025-01-07,2025-01-08,2025-01-10,39.999959999999994,38.961,492300,19691980.308,-569532.9889079928,-0.028893184737340226,2,SL,83.4,,False,,,,,Golden Cross: MA20 (38) cắt lên MA50 (38) | Volume xác nhận cross
FRT,BB_SQUEEZE,2025-01-07,2025-01-08,2025-01-14,148.36821999999998,143.856,132700,19688462.793999996,-656639.4391939938,-0.03331816519155394,4,SL,85.0,,False,,,,,BB squeeze: width 0.037 ≈ min 20 phiên (0.037) | Giá trên BB mid — bias bullish | Giá áp sát BB upper — squeeze có hướng bung lên | Volume bắt đầu tăng — tín hiệu sắp bung | Volume xác nhận trên TB20
SSB,HAMMER,2025-01-07,2025-01-08,2025-01-15,16.666649999999997,17.648958374999992,1181600,19693313.639999997,1099294.243828196,0.05576491939628784,5,TP,91.5,,False,,,,,Bóng dưới 0 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 16 | Money flow: EARLY_MONEY_IN score=3
PAN,SPRING,2025-01-15,2025-01-16,2025-02-04,24.854829999999996,26.110937924999988,804700,20000681.700999998,948766.4220499992,0.04738931490515964,8,TP,100.0,,False,,,,,HH: đỉnh 24 > 24 | HL: đáy 23 > 23 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=4
CTS,SPRING,2025-02-04,2025-02-05,2025-02-07,24.264239999999997,23.976,843800,20474165.711999997,-304152.97531199455,-0.014840610868345247,2,SL,100.0,,False,,,,,HH: đỉnh 24 > 24 | HL: đáy 23 > 22 | Volume phiên tăng > giảm | Money flow: EARLY_MONEY_IN score=3
VPI,RETEST,2025-01-07,2025-01-08,2025-02-10,58.85879999999999,56.943,334500,19688268.599999998,-698618.2355999947,-0.035448536865487,18,SL,92.9,,False,,,,,Retest vùng breakout 60 (cách -1.0%) | Volume cạn 0.79× TB20 | Giá vẫn giữ trên vùng breakout
