date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,100000000.0,100000000.0,0,0.0
2025-01-06,100000000.0,100000000.0,0,0.0
2025-01-07,100000000.0,100000000.0,0,0.0
2025-01-08,100343715.70682801,49950879.70682801,1,0.5022022121169164
2025-01-09,100343715.70682801,49950879.70682801,1,0.5022022121169164
2025-01-10,97652759.62526202,24951389.625262015,2,0.7444886378939845
2025-01-13,97319696.51197201,60385471.51197201,2,0.37951438736203263
2025-01-14,97749846.74740401,85003161.74740401,1,0.130401074008216
2025-01-15,98622087.52452202,42459319.52452202,2,0.5694745407415487
2025-01-16,98814557.52452202,42459319.52452202,2,0.5703131138953365
2025-01-17,98761900.62395403,57194432.62395403,3,0.4208856627645549
2025-01-20,98802116.08747002,28568783.08747003,4,0.7108484694581042
2025-01-21,98915899.08747002,28568783.08747003,4,0.7111810805843556
2025-01-22,99912507.77445179,43643264.774451785,3,0.563185173242027
2025-01-23,99912532.73296422,50853993.73296422,3,0.4910148672851537
2025-01-24,99033294.58459023,25402793.584590226,4,0.7434923912089768
2025-02-03,96878148.68739024,59950308.68739024,2,0.38117821717630085
2025-02-04,97781523.77976225,43936522.77976225,3,0.5506664134348891
2025-02-05,98273730.51210025,21948951.512100257,4,0.7766549473829355
2025-02-06,98118606.46053827,63377095.46053826,2,0.3540766858931336
2025-02-07,97686645.32429826,31657511.324298266,3,0.6759279508554904
2025-02-10,97387209.47295827,37269814.472958274,3,0.617302778520345
2025-02-11,97264572.47295827,37269814.472958274,3,0.6168202509364845
2025-02-12,97313042.47295827,37269814.472958274,3,0.6170111063651622
2025-02-13,96707388.42924428,18616850.42924428,4,0.8074929875408098
2025-02-14,97290285.42924428,18616850.42924428,4,0.8086463581938647
2025-02-17,96667651.42924428,18616850.42924428,4,0.8074138540246749
2025-02-18,97782704.42924428,18616850.42924428,4,0.8096099863681366
2025-02-19,98915010.67602172,31927052.67602173,3,0.6772274252631583
2025-02-20,99241142.95013173,15949254.950131731,4,0.8392878752097186
2025-02-21,100129142.15101293,49160728.15101293,3,0.5090267718775656
2025-02-24,101142319.6959495,44298399.695949495,3,0.5620191446160441
2025-02-25,101072179.2803045,22128481.280304503,4,0.781062588757136
2025-02-26,101476954.2803045,22128481.280304503,4,0.7819358943393181
2025-02-27,101520810.2803045,22128481.280304503,4,0.7820300959063806
2025-02-28,101804767.2803045,22128481.280304503,4,0.7826380642924414
2025-03-03,102685397.2803045,22128481.280304503,4,0.7845021603227624
2025-03-04,101960756.2803045,22128481.280304503,4,0.782970604695495
2025-03-05,100195557.65450451,43401612.6545045,3,0.5668309686526976
2025-03-06,101083809.73088151,21680612.730881505,4,0.7855184446589175
2025-03-07,101119867.73088151,21680612.730881505,4,0.7855949259290778
2025-03-10,101847222.0241113,47421538.02411129,3,0.5343855523827176
2025-03-11,102447569.6607713,23690807.6607713,4,0.7687518821655087
2025-03-12,101980967.6607713,23690807.6607713,4,0.7676938334260937
