symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
OCB,3,0.6666666666666666,0.02476983309053367,2683297.279707283,2.628506003991109
NT2,4,0.75,0.03956467331622413,2192011.266252773,2.5090702374114593
PHR,1,1.0,0.13129136518618365,2005799.7835200056,inf
VND,3,0.3333333333333333,-0.007961597662415823,1804869.5921743028,1.7250616395915181
VIC,1,1.0,0.06891100298223715,1749312.2976000085,inf
SHB,2,1.0,0.05199160624519827,1726738.3074361775,inf
NKG,1,1.0,0.09590619012016285,1516720.1310751978,inf
DXS,1,1.0,0.06857072355359795,1482545.4366375022,inf
DBC,1,1.0,0.06368043366324912,1467906.414161522,inf
DPM,2,1.0,0.04240209425373152,1429384.0400333032,inf
EVF,1,1.0,0.07995094498834683,1356649.7059200034,inf
VCG,2,0.5,0.02831382658191099,1244076.0833998062,5.2304188632555055
DCM,1,1.0,0.06898083441957072,1225619.5860642828,inf
VRE,1,1.0,0.06239053111246126,1189464.4030087478,inf
SIP,1,1.0,0.04622637603364894,1137334.8247727938,inf
DGW,1,1.0,0.11938735590084253,1132334.2320000008,inf
BVH,1,1.0,0.05834450584524243,1088297.969679568,inf
ANV,1,1.0,0.05680380085938124,1082911.6941300035,inf
SBT,2,1.0,0.013541054447390302,944360.014402438,inf
VTP,1,1.0,0.06453461439611828,913850.8506297581,inf
VPL,1,1.0,0.06773457987038524,908034.2921949998,inf
VIX,1,1.0,0.01872524676929829,837327.8354350105,inf
CTD,2,0.5,0.015988577205243115,682112.9444006085,1.6450443306621778
VHC,1,1.0,0.06575364951301242,623643.8215700015,inf
FRT,6,0.3333333333333333,-0.008572720731746067,613272.4180165287,1.2121566997029134
VSC,2,0.5,0.022995666920492024,613061.4842991978,1.984171129048014
POW,1,1.0,0.020213622447480678,471887.138740927,inf
HDB,2,0.5,0.021290374735551877,372098.38133301586,1.2582677288444566
PNJ,3,0.3333333333333333,-0.009864025568446406,-2824.7791308946908,0.9985610269814131
DXG,1,0.0,-0.003993009987015685,-26741.363669998012,0.0
BCM,2,0.5,0.001133522266947757,-76812.39772779495,0.9510344067558937
VNM,2,0.5,-0.010252565876806327,-205864.929638369,0.7376560261496443
CTG,2,0.5,-0.005897075142592368,-229274.26955699176,0.6852670575881877
KOS,1,0.0,-0.015090651322439447,-337498.8330999911,0.0
HHV,1,0.0,-0.025096403651712215,-402102.927935997,0.0
PVD,3,0.6666666666666666,0.021111353531724567,-462428.9641134143,0.7718915361144856
BID,1,0.0,-0.031075447243548514,-492340.0973399952,0.0
CTR,1,0.0,-0.040839602332470824,-578494.585951997,0.0
TCH,1,0.0,-0.03965391574040961,-604410.4802119955,0.0
PC1,3,0.3333333333333333,-0.007241243120704319,-626037.9415349886,0.7971968936505548
BSI,1,0.0,-0.057358016083500975,-759364.9781999979,0.0
KBC,2,0.5,-0.017002431791824965,-774026.765142547,0.5158718614857936
CII,1,0.0,-0.03630897528041529,-844334.2713089958,0.0
SCS,1,0.0,-0.040351410216978294,-881369.1907199919,0.0
PLX,1,0.0,-0.03750571576862925,-919258.3878749982,0.0
GAS,1,0.0,-0.04150318149163345,-1009295.2913400009,0.0
CTS,1,0.0,-0.06717720341596449,-1048381.2518399972,0.0
PAN,2,0.0,-0.02955279746904796,-1077397.8052139897,0.0
SAB,2,0.0,-0.03534317408110731,-1136904.9259319939,0.0
GEX,2,0.5,-0.003738600467218446,-1144240.8030409943,0.4949073266596034
TPB,1,0.0,-0.06522976542727132,-1293128.243015997,0.0
EIB,2,0.0,-0.054170595856753496,-1345082.868424994,0.0
FPT,1,0.0,-0.05733412874925727,-1459222.3861299902,0.0
MBB,3,0.3333333333333333,-0.0179517566394738,-1562625.531590594,0.2905771158242578
STB,8,0.375,-0.0065845594152962135,-1689612.180438526,0.674774796930077
KDH,3,0.0,-0.039182072173011215,-1958338.8347669858,0.0
DSE,2,0.0,-0.04738951445168957,-2195985.4222849905,0.0
NAB,4,0.25,-0.013158730250050318,-2317302.6467009746,0.28489012885987164
HPG,2,0.0,-0.0614163674373534,-2318165.2287249938,0.0
MWG,3,0.0,-0.041846209790695706,-2989111.273689991,0.0
MSB,3,0.3333333333333333,-0.04824516231922188,-3067741.780687988,0.1841964617604749
HDG,2,0.0,-0.08568379149008933,-3127631.4060449935,0.0
HT1,3,0.0,-0.04631594450350482,-3689888.476889983,0.0
HAG,4,0.0,-0.06508517322094898,-5618951.571004987,0.0
GVR,3,0.0,-0.08624456640778055,-7792536.410767984,0.0
