symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
NAB,MACD_CROSSOVER,2025-01-07,2025-01-08,2025-01-13,13.523509999999998,12.987,3697200,49999121.17199999,-2129614.9659719914,-0.04255049746124163,3,SL,76.4,,False,,,,,MACD crossover bullish (hist=0.04) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
PAN,MACD_CROSSOVER,2025-01-09,2025-01-10,2025-01-14,24.21419,23.91606,1031400,24974515.566,-381799.8461339958,-0.01527230535056095,2,SL,97.7,,False,,,,,MACD crossover bullish (hist=0.06) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60 | Money flow: EARLY_MONEY_IN score=3
SBT,MACD_CROSSOVER,2025-01-14,2025-01-15,2025-01-17,11.041029999999997,11.20878,3849400,42501340.88199999,516941.3536540121,0.012150791434065111,2,TP,72.8,,False,,,,,MACD crossover bullish (hist=0.01) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
VTP,MACD_CROSSOVER,2025-01-16,2025-01-17,2025-01-22,116.33621999999998,124.21620944999995,121600,14146484.351999998,913850.8506297581,0.06453461439611828,3,TP,67.1,,False,,,,,MACD crossover bullish (hist=0.20) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
SBT,MACD_CROSSOVER,2025-01-17,2025-01-20,2025-01-23,11.14113,11.341472175000002,2566800,28597052.484,427418.6607484259,0.014931317460715491,3,TP,73.4,,False,,,,,MACD crossover bullish (hist=0.03) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
CTR,MACD_CROSSOVER,2025-01-16,2025-01-17,2025-02-03,126.68655999999999,121.878,111700,14150888.751999998,-578494.585951997,-0.040839602332470824,6,SL,65.8,,False,,,,,MACD crossover bullish (hist=0.03) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
SCS,MACD_CROSSOVER,2025-01-22,2025-01-23,2025-02-03,75.76568999999999,72.927,288000,21820518.72,-881369.1907199919,-0.040351410216978294,2,SL,88.6,,False,,,,,MACD crossover bullish (hist=0.13) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60 | Money flow: EARLY_MONEY_IN score=3
FPT,MACD_CROSSOVER,2025-01-23,2025-01-24,2025-02-04,131.67153999999996,124.49538000000001,193100,25425774.373999994,-1459222.3861299902,-0.05733412874925727,2,SL,100.0,,False,,,,,MACD crossover bullish (hist=0.15) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60 | Money flow: BREAKOUT_FLOW score=6
NAB,MACD_CROSSOVER,2025-02-03,2025-02-04,2025-02-06,13.243229999999999,13.896090000000001,1508900,19982709.746999998,923182.123851005,0.046152892959148185,2,TP,71.8,,False,,,,,MACD crossover bullish (hist=0.02) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
CTG,MACD_CROSSOVER,2025-02-03,2025-02-04,2025-02-06,26.276249999999997,27.01296,760500,19983088.124999996,499198.1547150053,0.02495607546442453,2,TP,69.3,,False,,,,,MACD crossover bullish (hist=0.01) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
KDH,MACD_CROSSOVER,2025-02-04,2025-02-05,2025-02-10,31.641609999999996,30.969,694200,21965605.661999997,-531888.8272619955,-0.024190431075225928,3,SL,75.3,,False,,,,,MACD crossover bullish (hist=0.01) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
KBC,MACD_CROSSOVER,2025-01-10,2025-01-13,2025-02-19,28.3283,30.290429249999995,440300,12472950.49,824778.8062874507,0.06605933793264138,22,TP,71.8,,False,,,,,MACD crossover bullish (hist=0.08) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
BCM,MACD_CROSSOVER,2025-02-06,2025-02-07,2025-02-21,69.3693,72.85032675,456800,31687896.24,1491889.0646412,0.04703368928903136,10,TP,72.7,,False,,,,,MACD crossover bullish (hist=0.09) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60
BVH,MACD_CROSSOVER,2025-02-12,2025-02-13,2025-02-24,54.26420999999999,57.602864474999976,343400,18634329.713999998,1088297.969679568,0.05834450584524243,7,TP,91.7,,False,,,,,MACD crossover bullish (hist=0.25) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60 | Money flow: EARLY_MONEY_IN score=4
DSE,MACD_CROSSOVER,2025-02-24,2025-02-25,2025-03-05,23.873849999999997,22.977,927700,22147770.644999996,-896787.0414449945,-0.04045062433843441,6,SL,88.3,,False,,,,,MACD crossover bullish (hist=0.11) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60 | Money flow: EARLY_MONEY_IN score=3
SIP,MACD_CROSSOVER,2025-02-21,2025-02-24,2025-03-10,74.50443,78.182813925,329900,24579011.457,1137334.8247727938,0.04622637603364894,10,TP,97.7,,False,,,,,MACD crossover bullish (hist=0.56) | Cross xảy ra trên zero line — signal mạnh hơn | Trend xác nhận: giá trên MA20/MA60 | Money flow: EARLY_MONEY_IN score=3
