date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98816273.319617,19925708.31961701,4,0.7983560030120934
2025-01-06,96923911.319617,19925708.31961701,4,0.7944190649311516
2025-01-07,97014888.594915,77114888.594915,1,0.20512315468497122
2025-01-08,97916777.15908301,19227455.159083012,4,0.8036347220880786
2025-01-09,98058694.15908301,19227455.159083012,4,0.8039189148502239
2025-01-10,97793647.15908301,19227455.159083012,4,0.8033874825446964
2025-01-13,98253350.15908301,19227455.159083012,4,0.8043073836367753
2025-01-14,98055016.64024284,58579582.640242845,2,0.402584542357814
2025-01-15,98313014.10351062,39866457.10351062,3,0.5944946102299691
2025-01-16,98547278.79331163,19914413.793311622,4,0.7979202060456771
2025-01-17,98872920.79331163,19914413.793311622,4,0.7985857640946846
2025-01-20,98955386.79331163,19914413.793311622,4,0.7987536157591207
2025-01-21,98824100.79331163,19914413.793311622,4,0.7984862636396544
2025-01-22,98785143.79331163,19914413.793311622,4,0.7984067944975755
2025-01-23,99902285.50607316,39821467.50607316,3,0.6013958308926538
2025-01-24,99851496.69661316,19892208.696613166,4,0.8007820678236476
2025-02-03,99806500.41661316,39194167.41661316,3,0.6072984499706079
2025-02-04,100567680.64251317,19580899.642513167,4,0.8052962987968553
2025-02-05,100831040.57625611,40498334.57625611,3,0.5983544913867255
2025-02-06,100731587.59688011,20230483.596880116,4,0.7991644519905622
2025-02-07,100679678.59688011,20230483.596880116,4,0.7990609040590738
2025-02-10,99553037.27408011,58852945.27408011,2,0.4088282298002452
2025-02-11,99322442.95051512,19580953.95051512,4,0.802854688539318
2025-02-12,98971877.95051512,19580953.95051512,4,0.8021563866828374
2025-02-13,99127360.54351512,38570352.543515116,3,0.6109010435460608
2025-02-14,99747927.83534242,40412273.83534242,3,0.5948560064119582
2025-02-17,100138648.65184242,20188386.651842423,4,0.7983956551877138
2025-02-18,100100665.65184242,20188386.651842423,4,0.7983191568170073
2025-02-19,100708300.65184242,20188386.651842423,4,0.7995360211504763
2025-02-20,101636742.68025827,61135104.680258274,2,0.3984940576796639
2025-02-21,101540938.98232177,82141216.98232177,1,0.191053206661576
2025-02-24,100731585.88512178,27334567.88512178,3,0.7286395558559439
2025-02-25,100100930.29615378,13654280.296153784,4,0.8635948711389906
2025-02-26,100651452.37215379,32635204.372153785,3,0.6757602239907405
2025-02-27,100520828.90932779,29711100.90932779,3,0.7044284131786466
2025-02-28,100313092.90932779,29711100.90932779,3,0.703816321004244
2025-03-03,100331474.90932779,29711100.90932779,3,0.7038705856145492
2025-03-04,99971652.8613278,45639204.86132779,2,0.543478540615562
2025-03-05,99571348.8613278,45639204.86132779,2,0.5416431997432399
2025-03-06,100236340.8613278,45639204.86132779,2,0.5446840490270144
2025-03-07,100312452.8613278,45639204.86132779,2,0.5450295196707077
2025-03-10,99883012.8613278,45639204.86132779,2,0.5430734060386142
2025-03-11,99209537.73617579,72132961.73617579,1,0.27292311422722004
2025-03-12,98845121.73617579,72132961.73617579,1,0.27024257273208213
2025-03-13,98282327.5044758,62353237.5044758,1,0.3655701987558626
2025-03-14,98261578.8056958,31152148.805695806,2,0.6829671456094084
2025-03-17,98005658.3596958,66323388.35969581,1,0.32326980431804464
2025-03-18,97781868.3596958,66323388.35969581,1,0.32172099518776126
2025-03-19,97590048.3596958,66323388.35969581,1,0.3203877908202059
2025-03-20,96667459.28274082,22068055.282740816,3,0.7717116447821972
2025-03-21,96488070.82253082,41622576.82253082,3,0.568624634447437
2025-03-24,96663858.81242083,20790865.812420826,4,0.7849158303025525
2025-03-25,96409412.81242083,20790865.812420826,4,0.7843481750804496
2025-03-26,95796702.81242083,20790865.812420826,4,0.7829688788649506
2025-03-27,95862172.81242083,20790865.812420826,4,0.7831171023725537
2025-03-28,95891879.81242083,20790865.812420826,4,0.7831842920058409
2025-03-31,95504609.53982083,51611886.539820835,2,0.45958748181362746
2025-04-01,95385324.39285584,38634909.39285584,3,0.5949596058012724
2025-04-02,94875595.33147384,19298913.331473842,4,0.7965871701352933
2025-04-03,91716131.44147384,52254814.44147384,2,0.43025492222359124
2025-04-04,90758376.73620585,42476686.736205846,2,0.531980537072995
2025-04-08,89634293.56876585,14132643.56876585,4,0.8423299497761587
2025-04-09,88508571.95036584,39447321.95036585,3,0.554310717243441
2025-04-10,90508420.46214585,34648995.46214585,3,0.6171737912867742
2025-04-11,91917965.46214585,34648995.46214585,3,0.6230443603931248
2025-04-14,91657660.46214585,34648995.46214585,3,0.6219738177099151
2025-04-15,91678380.46214585,34648995.46214585,3,0.6220592544558259
2025-04-16,91038815.46214585,34648995.46214585,3,0.6194041488099877
2025-04-17,90434211.28014585,53501306.280145854,2,0.4083952795871659
2025-04-18,90726942.61406785,68813722.61406785,1,0.24152935576385443
2025-04-21,90783712.61406785,68813722.61406785,1,0.2420036520581284
2025-04-22,90726942.61406785,68813722.61406785,1,0.24152935576385443
2025-04-23,90755327.61406785,68813722.61406785,1,0.24176657808239638
2025-04-24,90755327.61406785,68813722.61406785,1,0.24176657808239638
2025-04-25,90755327.61406785,68813722.61406785,1,0.24176657808239638
2025-04-28,89920821.84586786,34376751.84586786,2,0.6176997591860024
2025-04-29,89675922.30404386,11437117.304043863,4,0.8724616707563195
2025-05-05,89585291.30404386,11437117.304043863,4,0.8723326437012144
2025-05-06,89782320.19804385,22849799.19804386,3,0.7454977867842884
2025-05-07,89789269.19804385,22849799.19804386,3,0.7455174833014271
2025-05-08,91696754.22626387,11415184.226263864,4,0.875511578107807
2025-05-09,92088088.22626387,11415184.226263864,4,0.8760405993203341
2025-05-12,92686134.22626387,11415184.226263864,4,0.8768404322657658
2025-05-13,92915791.22626387,11415184.226263864,4,0.8771448418443084
2025-05-14,93052141.58410487,48239124.58410486,3,0.481590388325409
2025-05-15,92833881.15570486,59191989.155704856,2,0.36238808052821164
2025-05-16,92673111.15570486,59191989.155704856,2,0.36128194664519947
2025-05-19,92392577.70176086,29566883.70176086,3,0.67998637512635
2025-05-20,92232788.13636085,14771938.136360861,4,0.8398407070322823
2025-05-21,93308920.13636085,14771938.136360861,4,0.8416878245426774
2025-05-22,92944258.13636085,14771938.136360861,4,0.8410666948926682
2025-05-23,92894073.13636085,14771938.136360861,4,0.8409808329248641
2025-05-26,92438683.14596087,43390681.14596087,3,0.5306003972660785
2025-05-27,92554824.27256787,37568532.27256787,3,0.5940942833846131
2025-05-28,92576260.27256787,37568532.27256787,3,0.5941882707083151
2025-05-29,92516424.27256787,37568532.27256787,3,0.5939258075746087
2025-05-30,92547578.27256787,37568532.27256787,3,0.5940625030519724
2025-06-02,92397881.71316788,18771594.713167872,4,0.7968395555707563
2025-06-03,93145909.71316788,18771594.713167872,4,0.798471078644539
2025-06-04,92937328.71316788,18771594.713167872,4,0.798018783484701
2025-06-05,92865010.71316788,18771594.713167872,4,0.7978614919762654
2025-06-06,92754985.71316788,18771594.713167872,4,0.797621717378983
2025-06-09,92432124.71316788,18771594.713167872,4,0.7969148196969481
2025-06-10,92951112.71316788,18771594.713167872,4,0.7980487358866377
2025-06-11,93434648.78846487,38597376.78846487,3,0.586905101170242
2025-06-12,94056329.48545188,19281790.485451873,4,0.7949974170697967
2025-06-13,94688076.48545188,19281790.485451873,4,0.7963651686554813
2025-06-16,95237555.48545188,19281790.485451873,4,0.7975400524806909
2025-06-17,95557521.48545188,19281790.485451873,4,0.798217971900962
2025-06-18,95424519.48545188,19281790.485451873,4,0.7979367295803725
2025-06-19,95430108.20180443,39774643.20180443,3,0.5832065586922142
2025-06-20,95575985.20180443,39774643.20180443,3,0.583842707790853
2025-06-23,95283764.21524443,19868330.21524443,4,0.7914825219293163
2025-06-24,95376457.21524443,19868330.21524443,4,0.791685172679398
2025-06-25,95326954.32884443,39565899.32884443,3,0.5849453115605057
2025-06-26,95330539.32884443,39565899.32884443,3,0.5849609201059784
2025-06-27,95497079.32884443,39565899.32884443,3,0.5856847182456841
2025-06-30,95475124.32884443,39565899.32884443,3,0.5855894442978904
2025-07-01,95937514.32884443,39565899.32884443,3,0.5875867786898811
2025-07-02,95710839.32884443,39565899.32884443,3,0.586610047448195
2025-07-03,95988095.49501854,52096895.49501854,2,0.4572567022363498
2025-07-04,96176255.49501854,52096895.49501854,2,0.4583185295905297
2025-07-07,96281440.49501854,52096895.49501854,2,0.4589103026796327
2025-07-08,96404337.47056413,74576272.47056413,1,0.226422021796114
2025-07-09,96432722.47056413,74576272.47056413,1,0.22664972469974218
2025-07-10,96461107.47056413,74576272.47056413,1,0.2268772935939838
2025-07-11,96461107.47056413,74576272.47056413,1,0.2268772935939838
2025-07-14,96461107.47056413,74576272.47056413,1,0.2268772935939838
2025-07-15,96461107.47056413,74576272.47056413,1,0.2268772935939838
2025-07-16,96489492.47056413,74576272.47056413,1,0.22710472859710631
2025-07-17,96517877.47056413,74576272.47056413,1,0.22733202982723813
2025-07-18,96517877.47056413,74576272.47056413,1,0.22733202982723813
2025-07-21,96517877.47056413,74576272.47056413,1,0.22733202982723813
2025-07-22,96546262.47056413,74576272.47056413,1,0.22755919740236866
2025-07-23,96574647.47056413,74576272.47056413,1,0.22778623144034862
2025-07-24,96603032.47056413,74576272.47056413,1,0.22801313205889023
2025-07-25,96546262.47056413,74576272.47056413,1,0.22755919740236866
2025-07-28,96603032.47056413,74576272.47056413,1,0.22801313205889023
2025-07-29,96631417.47056413,74576272.47056413,1,0.22823989937556738
2025-07-30,96631417.47056413,74576272.47056413,1,0.22823989937556738
2025-07-31,96631417.47056413,74576272.47056413,1,0.22823989937556738
2025-08-01,97412736.70435676,97412736.70435676,0,0.0
2025-08-04,97412736.70435676,97412736.70435676,0,0.0
2025-08-05,97412736.70435676,97412736.70435676,0,0.0
2025-08-06,97412736.70435676,97412736.70435676,0,0.0
2025-08-07,97406629.04985678,48660879.049856775,1,0.5004356528450429
2025-08-08,97406629.04985678,48660879.049856775,1,0.5004356528450429
2025-08-11,97589129.04985678,48660879.049856775,1,0.5013698808091966
2025-08-12,97945004.04985678,48660879.049856775,1,0.5031816117431879
2025-08-13,97671254.04985678,48660879.049856775,1,0.5017891443779601
2025-08-14,97406629.04985678,48660879.049856775,1,0.5004356528450429
2025-08-15,97224129.04985678,48660879.049856775,1,0.4994979175909783
2025-08-18,97497879.04985678,48660879.049856775,1,0.500903204007408
2025-08-19,96786129.04985678,48660879.049856775,1,0.4972329245155529
2025-08-20,96694879.04985678,48660879.049856775,1,0.4967584682042285
2025-08-21,96786129.04985678,48660879.049856775,1,0.4972329245155529
2025-08-22,94998038.15110677,71621252.15110677,1,0.2460765133151084
2025-08-25,94345443.15110677,71621252.15110677,1,0.24086156406731998
2025-08-26,94061359.41127677,94061359.41127677,0,0.0
2025-08-27,94061359.41127677,94061359.41127677,0,0.0
2025-08-28,94061359.41127677,94061359.41127677,0,0.0
2025-08-29,94056769.89400879,46986081.894008785,1,0.5004497608523372
2025-09-03,93893451.5585748,23471689.55857479,2,0.7500178215950221
2025-09-04,95391563.5585748,23471689.55857479,2,0.7539437589345928
2025-09-05,94948711.5585748,23471689.55857479,2,0.7527961235777815
2025-09-08,94000765.5585748,23471689.55857479,2,0.7503032084994152
2025-09-09,93457631.37229279,7818147.372292791,4,0.9163455433494903
2025-09-10,93931559.37229279,7818147.372292791,4,0.916767618630646
2025-09-11,93776631.37229279,7818147.372292791,4,0.9166301107441706
2025-09-12,94571432.62982279,64.62982279155403,5,0.9999993166031116
2025-09-15,96244052.9753668,8189966.975366796,4,0.9149041761836133
2025-09-16,95169745.69560415,16509331.695604146,3,0.8265275211682456
2025-09-17,93916240.30400413,61976810.30400414,2,0.3400842058478171
2025-09-18,93778094.30400413,61976810.30400414,2,0.33911207341139316
2025-09-19,92908743.51758915,30958451.517589148,3,0.6667864579211729
2025-09-22,91828855.58585516,15463774.585855152,4,0.8316022290902085
2025-09-23,91863825.58585516,15463774.585855152,4,0.8316663334317289
2025-09-24,91702440.65045515,44857686.650455154,3,0.5108343209594552
2025-09-25,91885432.35751116,22407910.35751116,4,0.7561320681353966
2025-09-26,91445581.35751116,22407910.35751116,4,0.7549590693736606
2025-09-29,90751537.35751116,22407910.35751116,4,0.7530850604851319
2025-09-30,90343814.35751116,22407910.35751116,4,0.7519707296302774
2025-10-01,90293479.35751116,22407910.35751116,4,0.7518324632414651
2025-10-02,90264207.35751116,22407910.35751116,4,0.7517519843855746
2025-10-03,89523643.47791116,44701074.47791116,3,0.5006785610893887
2025-10-06,91627221.55211116,22330600.552111164,4,0.7562885769769732
2025-10-07,91326655.19211116,30625657.192111164,3,0.6646580658441039
2025-10-08,91374605.19211116,30625657.192111164,3,0.6648340408396617
2025-10-09,92270668.45539117,15298328.455391169,4,0.8342016080355239
2025-10-10,92341246.45539117,15298328.455391169,4,0.8343283305929643
2025-10-13,92897819.81972016,39030878.819720164,3,0.5798515089432188
2025-10-14,92367168.81972016,39030878.819720164,3,0.5774377485153884
2025-10-15,92110332.96404018,19496187.96404017,4,0.7883387527037659
2025-10-16,92040499.96404018,19496187.96404017,4,0.7881781610089336
2025-10-17,91033820.55604017,33749328.55604017,3,0.629266042555424
2025-10-20,88617560.66675816,50076145.666758165,2,0.4349184824092939
2025-10-21,88685088.07989818,37540586.07989818,3,0.5766978768056574
2025-10-22,89706485.76911819,18752285.769118182,4,0.7909595319854371
2025-10-23,90017583.24939817,36648611.24939818,3,0.5928727485622295
2025-10-24,90074743.84384818,18306431.843848184,4,0.7967639866333247
2025-10-27,89667752.84384818,18306431.843848184,4,0.7958415231423508
